ARKG,BBC,BBH,BBP,BIB,BIS,CURE,FBT,FHLC,FXH,IBB,IHE,IHF,IHI,IXJ,IYH,LABD,LABU,PBE,PJP,PPH,PSCH,PTH,RXD,RXL,RYH,SBIO,UBIO,VHT,XBI,XHE,XHS,XLV,XPH,ZBIO
-0.004368661351953403,-0.018398884978561444,0.023555268611568186,0.0064191530118576905,0.02227879222833028,-0.028824803650378237,0.06875634094432195,0.008940690308727944,0.020021866501548097,0.013240156558701251,0.013109738136160207,0.009785889923251287,0.012220438166539062,0.015672728295575294,0.019052006481392797,0.023394385024000656,-0.010627282136343695,-0.011904745156036657,0.007111356931110283,0.014661999827833257,0.02063543525610341,0.006710550227556378,0.012439792021141158,-0.026669631903143,0.047740105914702735,0.014701406801347669,-0.008113026856908139,0.031200423056583805,0.02070042326214447,0.00023483302485215337,0.02005583297340181,0.013356808096448436,0.02324627793414301,-0.0025897355313895484,-0.04520602144804532
-0.04519527343851177,-0.07386931137394433,-0.03309041727735216,-0.04853012535319505,-0.07285185686123019,0.07267882910439705,-0.04990548991831131,-0.04731385358448485,-0.02016700326172466,-0.02455483952548586,-0.03623237541565963,-0.03138603793362145,-0.00335720281587592,-0.010999338469324313,-0.013556636624340382,-0.01807917583027183,0.2221067999709664,-0.2064811917979792,-0.04858778945807893,-0.028655365090120483,-0.01833107086953673,-0.0042171771241196025,-0.027645522536545456,0.026085161624597224,-0.0384371646667916,-0.014304974724335838,-0.06807395237648772,-0.11794866666666665,-0.020002753743287114,-0.07144534636408588,-0.017330492657273475,0.0047236623379941405,-0.01658170766018359,-0.0538372744453202,0.10822051298720664
-0.014705864888456025,-0.040000050955517515,-0.002217170001073744,-0.01632181174122015,-0.024289210847961318,0.0227030382985858,-0.00024883059678353976,-0.008304959939787152,-0.001097273918073265,-0.004269115265714761,-0.012504524266700158,-0.006139367068272272,-0.0008602261299858697,0.005120883006463389,0.00026947897934459904,0.0018726761533438675,0.10320383545004397,-0.10890044182153416,-0.01484355201161199,0.0032777884358027786,-0.0023341883760687,0.0042350370253828465,-0.003001137213692348,-0.012817799453009569,-0.003573917773066496,6.200195198575251e-05,-0.03708951175862225,-0.02848848671578568,-0.0007794905828069482,-0.03545666203410018,0.013510643996375388,7.61076397887564e-05,0.0007966851256212017,-0.024132340773896303,0.03474189000817144
-0.043376893240861934,-0.05083950546606024,-0.06778303052861456,-0.04977781052542946,-0.1326144001976458,0.13596943162900654,-0.1436753817620255,-0.06565617443927624,-0.04917590737633208,-0.04538733065327233,-0.0665275493889758,-0.03946707729568906,-0.035942509305260585,-0.04561390562634759,-0.05271207704241807,-0.04828086404445392,0.13878167521742046,-0.16157463379844936,-0.05399101262903547,-0.03845192284130945,-0.05023383292734825,-0.038090030282971435,-0.061628628986511926,0.07812154616350284,-0.09418153871547742,-0.048682135801319394,-0.05174944732475339,-0.19030515800749004,-0.04865630891885926,-0.0504850842469066,-0.031036861776009013,-0.04094637033261715,-0.0486867613581498,-0.034405689121158774,0.1964609265713379
0.028815111255273317,0.04897625677859193,0.035839201062308416,0.04427824343298393,0.07353520601064377,-0.0885495217949308,-0.006978557836973141,0.03800304841452637,0.006934325712390797,0.011770202880594927,0.03954825939597247,0.009647001198285076,-0.0038698036653216326,0.004087152086729743,0.006920191193005725,0.002814519380748037,-0.18483408306269053,0.15276808535329495,0.051194478797243724,-0.003658983930181872,-0.0004349501968200666,0.003252740484856298,0.04440319095053183,0.014652692298847704,0.00718582250700673,0.006518667609382243,0.04744183061556993,0.09682187730968222,0.006113593475721709,0.05436616328587957,-0.005251115343835266,-0.006878526343119826,0.0012549656692981673,0.0069377647235496715,-0.13158900376808752
-0.02326890942411847,-0.026858235419013332,-0.04457229317415151,-0.042102126135411685,-0.0884563284084346,0.0807370437332967,-0.12972200869529438,-0.03790689401802856,-0.04246792454277743,-0.04224708274155582,-0.0457994029638825,-0.04158060800157838,-0.027267040559759443,-0.045356485659403915,-0.03954066363896341,-0.04353755209418702,0.10935776116359612,-0.13434655148044522,-0.04310964901553942,-0.03397195270183185,-0.03841689054282271,-0.02072189144696264,-0.04526349749008244,0.06607327112300407,-0.09085613860028688,-0.03704632854368102,-0.024274694266769103,-0.13679245283018865,-0.04371974921360237,-0.04527591281641466,-0.029982975589968375,-0.024440708881448826,-0.04345387019543318,-0.027900590603258942,0.11965068041420115
0.05046089269406166,0.07092431534943894,0.05909746449053194,0.048316662130550365,0.10122996624489698,-0.1010540022319386,0.08243612595665165,0.05160653040303465,0.030866276562593494,0.034201678120504966,0.052328686334158936,0.02209236542229939,0.026495310884232612,0.02184147686112213,0.026563562333783708,0.030232701724409224,-0.1766907731925631,0.1776687261155283,0.039962152183799934,0.030006738992583375,0.017186731560673702,0.03454742167309713,0.04791733748870074,-0.04731858851492572,0.05957719302296623,0.01849601292446676,0.05339808044398027,4.757220921155347,0.03161581095904696,0.06324573046561889,0.026774020356752377,0.020238320025738967,0.028392418257257364,0.00875037487122487,-0.15249609212262286
0.011547308274720327,0.05795620003671514,-0.005686093699540351,-0.016354550304193544,0.009327380608957558,-0.014827547760349032,0.0245569775587044,0.01160709506258356,0.006395331425331522,0.011590171713648149,0.005694316000566654,0.02980287753291487,0.005312357340560786,0.007493712071673559,0.0,0.0073527100219909994,-0.08517731130758309,0.07513408632994922,-0.007612627658959686,0.01436861301970824,0.014821418144368041,0.01780981541059126,0.018581386630818875,-0.02454227034924673,0.014359223857625497,0.003169604282159246,0.04320282448710139,-0.7967457627118644,0.009689592161991344,0.025032409076771168,0.010599874101692348,0.006078970765440208,0.00453053018759134,0.021512872276881832,-0.0225494321347492
-0.08675791349451062,-0.17233176385884652,-0.11605032230107135,-0.12303497873096406,-0.2474464919126092,0.3045152526716547,-0.16535187114365352,-0.11625750810704767,-0.06435335259816405,-0.07867397003779357,-0.13039590269160942,-0.10056114556208796,-0.04815049818677235,-0.042599852793563965,-0.048696781774862814,-0.06806083275040896,0.5480448674944178,-0.3998891454477306,-0.13525436446185868,-0.08969492079029177,-0.06250904109819354,-0.058509795204182515,-0.10374366903959913,0.14636574532648847,-0.12963810298612458,-0.05655560436967653,-0.1731087875440266,-0.3529019346230821,-0.07469139479731486,-0.1497691464363561,-0.05594538260891757,-0.04833030893502617,-0.05395120686928361,-0.14718900043301936,0.4717513583009704
-0.047999993384486815,-0.047570152975621637,0.02285858153640656,0.003791785282779969,0.022782356160645542,-0.05124769551431823,0.050890463870490184,0.003039759406431173,0.014246025349756131,-0.01110930175577342,0.017057695005139182,0.002184700736454784,-0.017659190959413786,0.013430095550075157,0.01124165291315368,0.022068172653903397,0.026969301934392988,-0.12615515918057355,0.022866840868822364,-0.012148223629025831,0.004362142401272393,-0.04341528451171445,-0.012743380530973512,-0.04633335354009838,0.03860391986441257,0.008943280952368812,-0.010350612513226635,4.134020515463917,0.02380129886689032,-0.029925836617342137,-0.015340116775456212,-0.04261364176730307,0.0210825993697022,-0.011764555604919466,-0.08637238939948731
