Alternatives ETF List (35),Broad Asia ETF List (44),Commodity ETF List (125),Consumer Discretionary Equity ETF List (31),Consumer Staples Equity ETF List (26),Crude Oil ETF List (22),Currency ETF List (36),Developed Asia Pacific ETF List (108),Developed Markets ETF List 1 (100),Developed Markets ETF List 2 (100),Developed Markets ETF List 3 (93),Emerging Asia Pacific ETF List (114),Emerging Markets ETF List (79),Energy Equity ETF List (80),Financials Equity ETF List (51),Global ETF List (72),Gold ETF List (17),Healthcare Equity ETF List (49),Industrials Equity ETF List (37),Investment Grade Corporate ETF List (50),Junk ETF List (43),Materials Equity ETF List (62),Municipal Bond ETF List (29),Preferred Stock ETF List (12),Real Estate ETF List (48),Target Maturity Date Corporate Bond ETF List (24),Technology Equity ETF List (75),Telecom Equity ETF List (10),Total Bond Market ETF List (82),Treasuries ETF List (51),Utilities Equity ETF List (24),Volatility ETF List (18)
0.004365962426443303,-0.011742946674560394,-0.12177742932789042,-0.0017962527908731464,-6.333079670848944e-05,-0.0971266714633479,-0.006992610122058626,0.003902234483298718,-0.0022364882237476116,0.0037287104387008093,0.008020101453000548,-0.02277656658272694,-0.021274612275188915,0.003299400091892846,0.01608483767239715,-0.0081212743454565,1.3278518724617605,0.03146150181032194,0.019253349791107908,-0.0005252322325433416,-0.014240369323999757,-0.01490809092284726,0.20626893309140706,0.00595541887438996,0.023924035876128492,0.004125798846485295,0.013090392732405587,-0.0022391188796912673,-0.005836905812443967,0.035483486682395995,-0.012563482594568604,99.07394228262312
-0.0005534160858797702,-0.026394102739238673,-0.032176197315990286,-0.02189359078223165,0.0007228977888014771,-0.13413795130506148,-0.00374251803095358,0.005749831485465667,-0.02348893716552907,-0.03354772618658523,-0.017491463225487447,-0.051609936186496654,-0.05818561600266081,0.0027260627876536463,-0.028285667009179116,-0.060292316861493125,-0.009191188196243727,-0.01213580232811511,-0.028763067025220784,-0.009509435411183816,-0.017952821838029247,-0.060206520617868985,0.005958051901360295,-0.0037083138739866656,-0.03141520979200085,-0.007293536588347272,-0.02884264279154742,-0.04060232702628018,-0.007208661014992013,0.017870409183599258,0.006643245538350731,0.0014202850779381868
-0.006286279864598966,-0.04862593308530129,-0.06120867258679226,-0.04894348774177436,-0.0038566709553558343,-0.045287838521287406,-0.004771264436584025,-0.0256224336210731,-0.042141474755839105,-0.04135927542599007,-0.052983377990300874,-0.017903593031391274,-0.05185390832215757,-0.054701562905410804,-0.06401113696581509,-0.05055345271422973,0.08669363727828852,-0.07324753013725797,-0.05800048667038458,-0.009967945757582116,-0.007161666304982795,-0.014995139668958787,0.014169682256573706,0.00546025056159562,-0.05962672752768754,0.019247905699643745,-0.06028378968416741,-0.028684158500623818,0.009829075466297847,-0.13453887029627745,0.05293596432512245,0.11631196003234437
0.00968308795032157,-0.0033224118989229833,0.018627060892218193,0.006506557851438598,0.013510563311413945,-0.02348292034754114,0.02187373621549217,-0.010572416849893598,-0.00615921471073611,-0.0064162397607934575,0.008340862902964447,0.01337388087087465,0.003266297432642887,0.005544623824504787,-0.015172685514699292,0.01411091001246459,0.17991602702866008,-0.0007470172579942189,0.028648078048866564,0.0026925182705475293,0.010095058887285369,0.03877365717526228,0.0014594450218408388,-0.0011790774870569158,0.04222949133416526,0.006738910391312884,-0.000636317359738716,0.049945450014162986,0.0065387775418036306,-0.05852211497945485,0.01704592320209348,-0.0023195138711551767
0.012918338667388979,0.09251927459243345,0.07050762258931922,0.05916444714543032,0.043551978837893406,0.04312522585514718,0.047225564115746,0.07124174427762464,0.06686262457016534,0.09119016404591357,0.06553167149246411,0.1088984712511755,0.1531136521220584,0.08246590186175025,0.06957646478161197,0.1280260856786878,-0.0076373677719096585,0.054195948100315194,0.05945610159565795,0.04459402421203891,0.020481545540385695,0.06444928645482348,0.006901928837236089,0.021737281416664807,0.09205210688944425,0.025080750400119006,0.0813348676366086,0.07026757263480715,0.020540612382545308,0.010671204494007843,0.06375879503938703,-0.15518588856653306
0.0038943230623475523,0.0029598927747887718,0.11076783449235421,-0.002753145916352666,-0.0006122758557618997,0.12339168961299092,0.028984213755959137,0.010055482840781971,0.00799617370707458,0.014613218841493487,0.012064954042910811,0.0007187868491024006,0.03837897174926541,0.0023356878465420243,0.01439900045208029,0.0501821021304373,0.08485432068751486,0.03924831241937137,0.04196300702373086,0.01785894115301515,0.02406293288773047,0.0706021187775124,0.007691345056930319,0.012441081294907726,0.006742384503884924,0.010485743104364443,-0.03540035072896397,0.013533561702532688,0.013073747112768383,0.018733278947133107,-0.013403947125775653,-0.0665100701928403
0.0024025938584836264,-0.006976413315753669,-0.027326015572232208,0.0014271385965977743,0.01116352325815665,0.0016267013072752356,-0.026523037057553933,0.019135541930267067,0.009637051732576883,-0.008550211193756254,0.016325532714117956,-0.026828604182653832,-0.058231414046596305,-0.0065270918942189945,0.033273576625930626,-0.014469211958598207,-0.09979740648407022,0.012418428185980867,0.012299625372327382,-0.007373000289549976,0.010138311951028213,-0.01861040838922203,0.004019337776999769,0.014597791096364141,0.054967675135337825,0.0029758901988202746,0.05639232864963676,-0.007711325688886016,5.870493567855476e-05,0.0010084823191883348,0.02261102177176468,-0.12973074610462987
0.0012639177176158932,0.013931151119734725,0.062282621267457684,-0.008913764208022468,0.045310731134267056,-0.006484115444549342,0.05308450443822273,0.0014225628517358917,-0.005546576827445905,-0.009202546405800805,-0.026670693438438014,0.04155903936991139,0.052048530704185414,-0.016106462262407643,-0.02302968648947854,0.056299986497402754,0.14547297203781526,0.023912153995440655,0.00539064977474614,0.019278749016976366,0.013358192674964233,0.01304643725712859,0.018696076008313217,0.010515211778312949,0.04562988981191105,0.02223167091814952,-0.025572997845771505,0.030734617082597247,0.02347818794915859,-0.16486198119756218,0.07702418022900724,-0.09525732481999005
0.011924743590592595,0.06052101457244935,-0.007614353723974876,0.04667582126734264,0.01224251513987526,-0.1371468043328641,0.00736589449925486,0.050561060818045414,0.05192890535384921,0.04135338258795573,0.0392464875156026,0.06356284641558371,0.06210077800590502,0.04706303269658261,0.03122288665519298,0.055958210104565344,0.026568183075042252,0.04928196329837757,0.03949843252504224,0.017909720929871014,0.016650961270044548,0.03295751397326026,-0.0003574545238436774,0.0191131382816735,0.03924489360210268,0.009833311324733448,0.07938838573171451,0.047750889259359275,0.014219901199924648,0.004337199896871949,-0.002671654603191432,-0.15621593234825712
-0.003677103715140936,0.0012588299039341575,0.029849262257627063,-0.012924050076101912,-0.01253487209722021,0.05602058020971619,-0.0030916041495038095,-0.006227834893840626,-0.0017970268947077744,0.008251678471786499,0.015766402889504646,0.016898833400638413,0.026451749280875743,0.0023001440022723555,0.03027406317585169,0.020691333477352768,-0.21633901100841854,-0.01281328005608764,0.009866245401142153,0.0033514399846671775,0.011345613936476564,-7.812123791188855e-05,-0.0008191984014002736,0.003496771620366456,0.011350000662019346,-3.9332459327499385e-05,0.024198439688054175,-0.013571492022940928,0.0035132450659636203,0.05725286305063095,-0.06200474906062642,-0.24054092127722343
