Name,Riskiness R
Alternatives ETF List (35),[0.18330727]
Broad Asia ETF List (44),[1.54145281e+12]
Commodity ETF List (125),[0.18978647]
Consumer Discretionary Equity ETF List (31),[0.11603313]
Consumer Staples Equity ETF List (26),[0.05652367]
Crude Oil ETF List (22),[0.18875142]
Currency ETF List (36),[0.07194678]
Developed Asia Pacific ETF List (108),[0.10976472]
Developed Markets ETF List 1 (100),[0.08245275]
Developed Markets ETF List 2 (100),[0.11489919]
Developed Markets ETF List 3 (93),[0.42154871]
Emerging Asia Pacific ETF List (114),[0.30053535]
Emerging Markets ETF List (79),[0.78009763]
Energy Equity ETF List (80),[0.30524259]
Financials Equity ETF List (51),[0.06524665]
Global ETF List (72),[0.13101328]
Gold ETF List (17),[0.35012378]
Healthcare Equity ETF List (49),[0.08855232]
Industrials Equity ETF List (37),[0.09039733]
Investment Grade Corporate ETF List (50),[0.0590648]
Junk ETF List (43),[0.04106549]
Materials Equity ETF List (62),[0.204656]
Municipal Bond ETF List (29),[0.04977693]
Preferred Stock ETF List (12),[0.02811012]
Real Estate ETF List (48),[0.0924008]
Target Maturity Date Corporate Bond ETF List (24),[0.00996884]
Technology Equity ETF List (75),[0.07192577]
Telecom Equity ETF List (10),[0.08837729]
Total Bond Market ETF List (82),[0.06264164]
Treasuries ETF List (51),[0.08337277]
Utilities Equity ETF List (24),[0.07376387]
Volatility ETF List (18),[0.66607887]
