,Date,AUSE,DBJP,DBKO,DEEF,DFJ,DIM,DLS,DOL,DOO,DTH,DVYA,DWM,DXJ,DXJF,DXJS,ENZL,EPP,EWA,EWH,EWJ,EWS,EWT,EWV,EWY,EZJ,FAUS,FDT,FDTS,FHK,FJP,FKO,FNDC,FNDF,FPA,GSIE,GWX,HAUD,HEWJ,HEWY,HFXI,HFXJ,HJPX,IDHQ,IDLB,IDOG,IPAC,ISCF,ISZE,IVAL,IVLU,JHDG,JPIN,JPMV,JPN,JPNL,JPXN,KORU,PAF,PDN,PXF,SCIJ,SCIX,SCJ,VPL,ZJPN
0,2013-12-09,-0.031239143143977733,-0.008632293964707738,,,-0.013027875591346492,-0.015619203141927043,-0.013866090912026759,-0.021498506057946662,-0.017449298099044476,-0.02383010852238776,-0.02778782056887087,-0.018728824571513716,-0.010026123992396654,,-0.011266745549011671,-0.0010483256674781113,-0.03271407177013645,-0.04146537251314178,-0.017374311024968777,-0.012562732410560783,-0.019578350687011043,-0.011134410304038741,0.022754521483153586,-0.018579664924019336,-0.02372732835350622,-0.01911271653814462,-0.010377458308113232,-0.011357617564442738,-0.015211054603150167,-0.009870607765945064,-0.005494531559835366,-0.011210802450935566,-0.019911495276045924,-0.021230742715092486,,-0.011786110576215737,,,,,,,-0.0015625665204602364,,-0.01804937919359847,,,,,,,,,0.008481539242950512,-0.04006443060694579,-0.008147348404150155,-0.07570337240545778,-0.0326449111438433,-0.020117063589895276,-0.018284378857593177,,,-0.013868387219410935,-0.020019884801656174,
1,2013-12-16,0.0279470236025908,0.015238156259665457,,,-0.010000140453869018,0.02424665683539125,0.013895821852034534,0.024389931623821512,0.018635870243383774,0.02796266543402426,0.009274838897021786,0.023520431822883766,0.012760694916740523,,0.004143602261389565,-0.03306234934476192,0.00021789080538161642,0.007979896230998904,-0.012770203286268551,0.0016965016422070278,-0.017665186293662993,-0.02322319564078278,-0.024590193813359664,-0.007059317719920837,0.01805099734953229,0.030271260366798287,0.0022183996269268405,-0.002521453393463861,0.0050598403429121,0.001550633621262174,-0.007366464642352915,0.015495138824227522,0.02483064551495574,0.008088362044258118,,-0.011926563200043703,,,,,,,0.009389371766402713,,0.017674136889889218,,,,,,,,,0.03345019511040975,0.0299168141273334,-0.0013691579674283054,0.044491893854841244,0.009120545904803412,0.006345500410166937,0.018147467284315617,,,-0.017813699950984585,0.0005026692460411232,
2,2013-12-23,0.017253506807750698,0.029567482060644,,,0.016969843141482158,0.015839798633912373,0.015826316317573634,0.015348476706922139,0.015497455494816953,0.013385347211052515,0.02750186400724067,0.017894287990809984,0.004000012875958714,,0.03198083194603832,0.033096223319209785,0.03236132800995849,0.03425873222033111,0.023871614690625837,0.024621678773444587,0.04035361889801499,0.039446575608538,-0.03301313062678625,0.04486441016346156,0.0322169552401885,0.015212326869157904,0.028322629630281433,0.035944024523075026,0.008737355147195123,0.024213316719846813,0.0428757435708829,0.013770065200545436,0.017253975555935823,0.025232018465536927,,0.05078595614045053,,,,,,,0.02433484909538793,,0.011114856315277793,,,,,,,,,0.01942061129159225,0.054713130230767563,0.024447219233822474,0.06982796357285583,0.030928168830022792,0.036185193574447404,0.030660713217475214,,,0.03477753836772466,0.030907631455088836,
3,2013-12-30,0.009244504272971998,-0.006002124143732319,,,0.010023364084386687,-0.0013891401446520363,0.01037523647313841,-0.004881780112331961,-0.004780759177270614,-0.002914888420694674,0.0013005764179023704,-0.002617739905459035,0.007258505027885142,,-0.0018235384673727162,0.016081474737750758,0.001993061815520619,0.009268048976428992,-0.014504218482029102,0.0,-0.013036774189067027,-0.011299447820718431,0.0006207287550837349,-0.03890804426444663,-0.003255840934873284,-0.002338004648355754,-0.003937990019104426,0.0019093017624373695,0.014225406257036062,-0.004112674291955546,-0.0364157073755189,0.006962683630357955,-0.0044453169275619625,-0.014321521561380866,,0.005135967735888561,,,,,,,-0.0030501454610114,,-0.0011094391179680774,,,,,,,,,0.007196796673902858,-0.006217200434829484,-0.001733471165568333,-0.10753689250566308,-0.02235647642720196,-0.0028963695269674625,-0.008022002101740342,,,0.003557322793836603,-0.005922127464112885,
4,2014-01-06,-0.0011948309031372885,-0.0018378310963269556,,,0.02520343128206285,0.018041288819623212,0.019541870728896474,0.01019412149717513,0.010293423953520214,0.01248371444456709,0.0018551736200086931,0.00933371111935933,0.00040058944268989496,,0.01572457391887979,0.0234767599838013,0.0025851499840061397,-0.002866523094484557,0.01691533535412717,0.005828220858895684,0.0054389070435109325,0.0021428520632132742,-0.00930527943921535,-0.010120827001066613,0.011601696473647779,0.0,0.022138544531070392,0.024503266502269846,0.00831177198658632,0.014996725098416791,0.0011117124568103833,0.015045899121590411,0.016757789905642584,0.010533952247087064,,0.01863542150591447,,,,,,,-0.001529851831572737,,0.009698700635275424,,,,,,,,,-0.022277023043665307,0.01309866564689898,0.004051720880211392,-0.03185247712506539,0.00544487849825037,0.012345478357139526,0.017560245393037553,,,0.02089552728088923,0.002813232526922412,
5,2014-01-13,-0.02956257731294208,0.0018412149383957611,,,0.009291531065273344,0.0021940732839300864,-0.0029850643710081586,-0.0025227008764089156,0.0031839198973188996,-0.0034013111562524495,-0.02296304067674693,-0.004253795350697335,0.004403341446637435,,0.011527982912284771,0.005154562690706172,-0.01783421571218476,-0.026283411575240733,0.00831686808413511,-0.0024834263551980615,-0.018547053677459593,0.0049892968225076885,0.0037571005666926184,-0.004122712245564109,-0.003340396808807672,0.0043522512774394366,0.00019363924692227487,0.001328727790549448,-0.007212744142647474,0.006209911184815698,-0.016284223116856754,0.0007230903529715487,0.002866301100060012,-0.011862093329739521,,-0.000590185108361628,,,,,,,0.00408589342094308,,0.00274461304723336,,,,,,,,,-0.011177230524069071,-0.001157879546769379,0.0007685568302725734,-0.01645025284081465,-0.02148020110104202,-0.00035858524833438205,0.0018165450590077556,,,0.008954608919347002,-0.0054455510258964454,
6,2014-01-20,-0.032752070974902354,-0.051456903883123094,,,-0.027234283334011476,-0.025597744562114867,-0.02300663023060461,-0.025097407106450514,-0.019890131970377093,-0.023464262249272824,-0.02729300898002413,-0.027488734794896993,-0.04942189967155771,,-0.050797641911934546,-0.020256231868046922,-0.039378670610594385,-0.0337410015552347,-0.0557980823366541,-0.030705274355232216,-0.03543314470982842,-0.017730454721836104,0.059731650520274335,-0.045537337350369786,-0.06166917458325132,0.0,-0.03518968839073993,-0.022558340375196027,-0.05319156422072938,-0.017024927580466597,-0.05191872301217233,-0.02781791051517235,-0.028224248226186112,-0.05674787674074347,,-0.029229257442168203,,,,,,,-0.023397578725840595,,-0.021211040222133788,,,,,,,,,-0.0203093596281525,-0.09138325531799137,-0.029377923416986806,-0.1320422686008719,-0.040951846857420794,-0.027628102221459457,-0.030825164366689493,,,-0.023908660355850767,-0.03666821794869538,
7,2014-01-27,0.01474599103600431,-0.029338746182719026,,,-0.017350284355450742,-0.015900499102846244,-0.006935596058807768,-0.016962599689327607,-0.013816692900254144,-0.012887612571642943,0.0015586850434712854,-0.016424711102070867,-0.022851182525958344,,-0.020583166495072282,-0.013870947861496808,-0.0009107482544344277,0.005674457917189167,-0.017471830590247747,-0.02996587242952092,-0.0024490521014132417,-0.02021659866880775,0.05577632137250237,0.024288732511665755,-0.05679241145844907,-0.04000006303300414,-0.013827658635988095,-0.012489800396531324,-0.0049328479254361745,-0.04762942717329717,0.02023804447788369,-0.011148282804134811,-0.01874999093487638,0.013883698182204673,,-0.009124223410642575,,,,,,,-0.011458847057222752,,-0.02411752469181632,,,,,,,,,-0.027577147335159237,-0.09249409739611189,-0.02769519163903529,0.04082156658843371,0.003077505513379219,-0.008487216325344984,-0.01660417891061163,,,-0.018185112453680808,-0.016190244408868047,
8,2014-02-03,0.023143164894458754,0.009409965349708498,0.0,,-0.004614701917619642,0.020196716664611765,0.014292857461133375,0.022939413860302196,0.02320496721180556,0.02190739675026913,0.011867584453293728,0.0262134769970169,0.008367227235256142,,-0.0014012177953001263,0.024946975126035758,0.02393423413130808,0.033420207155947575,0.0031382262682167284,0.009708825706571618,0.013911824634606546,0.006632302587826192,-0.021466426709719478,0.0030488099971226388,0.015147782663855835,0.03541662720079282,0.019914755806045428,-0.0010997418457955412,0.009363861876589228,0.008411051689396308,0.0070009798501936785,0.015031998870790764,0.024353664443974188,0.012552173954218591,,0.007980524084825573,,,,,,,0.007376557202053066,,0.029369787052476875,,,,,,,,,-0.029271696032820184,0.026007465910565287,0.00467944627967791,0.014372640602435722,0.017257735063934205,0.019352279888236287,0.02164081361776972,,,-0.008316003008362506,0.013480328023343448,
9,2014-02-10,0.0499736899796077,-0.011299480989713223,0.002837389102252345,,0.0010077453212808806,0.022378866503235877,0.02273797198645561,0.026989677926105782,0.03209261199713984,0.03053283169272923,0.020957653098721735,0.027057609062858375,-0.003191464741943289,,-0.005611946700939295,0.020196702715494973,0.037845189884441674,0.044519112853278954,0.031282553749410885,-0.0052446948893208455,0.016949177484537312,0.026354213974193852,0.011823424378077861,0.025498128737720376,-0.011688718825316202,0.04258880095456153,0.020920572563810445,0.025048035063947215,-0.00873119697469092,-0.003381380065217462,0.02858264776087635,0.016660491158312567,0.02194573292234718,0.045830138817343206,,0.021315307916211865,,-0.007136803481184173,,,,,0.02981181401226074,,0.021920469294133434,,,,,,,,,-0.011081303856276634,-0.018725702815089895,-0.005467846948836406,0.11311236352412692,0.03656934674968663,0.01569910646105591,0.017458283694180378,,,-0.007242271807552779,0.011746351242994044,
