ACIM,ACWF,ARKQ,BJK,CIL,CIZ,CUT,DBAW,DBEZ,DEW,DNL,DOO,DUST,EFAD,EFZ,EUMV,EXI,FAN,FILL,FPA,FYLD,GEX,GHII,GOEX,GRES,GRID,HAP,HAWX,IDHQ,IMTM,IPKW,IQDE,IQDY,ISCF,ISRA,IVAL,JDST,KLDW,LOWC,LVL,MOTI,NLR,PIO,PIZ,PZD,RING,SEA,SGDJ,SILJ,TOLZ,VEGI,YMLP
-0.057904436615423126,-0.04468339416605449,-0.05487179487179489,-0.11382562304010095,0.08494855727316457,-0.06130792369896947,-0.05236016613489874,-0.08141800923014661,-0.08445764268871336,-0.06777693912723247,-0.08066782668371686,-0.06604883844175448,-0.2557529831302298,-0.06342207970922455,0.07485597516993843,-0.057813795517118814,-0.0575040101843036,-0.05226479112584898,-0.04999951746032815,-0.0849650618633544,-0.06712316364718962,-0.09986271409996696,-0.06273372470575213,0.04637336312076204,-0.021720307363827587,-0.0395808473785806,-0.06735087052704343,-0.06572000760420488,-0.05376822011045263,-0.06214161362578545,-0.06399997007978181,-0.07211325112770993,-0.09219282551685393,-0.04497638224952328,-0.08204982457864654,-0.06525912696271972,-0.9990076404199396,-0.049667575301533984,-0.052156293573367006,-0.08527116304780905,-0.0742547345271285,-0.03714114606707156,-0.08246514318612334,-0.06124941323183886,-0.06851606253452637,-0.4990907680917797,-0.06476068717967094,0.059410939284844574,-0.04145085679103324,-0.03686643671340351,-0.07585675124826037,-0.11876241906429227
-0.011219429207863715,-0.03378083654861765,-0.058600108518719385,-0.10330195158918216,-0.03661812580019274,-0.04940929633133063,-0.06446204632983156,-0.04156057571381997,-0.04451250576528285,-0.0523573366882366,-0.04704618044358859,-0.05409432210351972,-0.03091984724784028,-0.02459915224921333,0.04017861783979937,-0.01641457702801113,-0.03585420038959634,-0.053308770181137694,-0.05991067427071092,-0.0217625871255309,-0.04405284475240124,-0.052420890655424865,-0.02216315595151884,0.025000038596143,-0.06882763957786919,-0.04060602268730616,-0.07290243842257008,-0.048111128247039114,-0.025875395272685404,-0.054338465417075994,-0.02952605261727386,-0.057053199964271877,-0.057044204216015415,-0.037560612242539634,-0.06937720945795764,-0.053346720376376215,689.4208108992101,-0.03950612601634663,-0.04094972676403029,-0.07521205796475855,-0.031396369659543406,-0.03002506145533315,-0.04872296651370242,-0.02305368250798157,-0.05310372819154604,0.9491829013529688,-0.08858392765620267,-0.060791789005704124,-0.014414506130944244,-0.06698587816538247,-0.09791670649811596,3.05173935037777
0.054760654910231576,0.07126843082989515,0.09106628242074916,0.13716220465233095,0.0806550676888186,0.018518409111202474,0.09753921304514453,0.068584055313729,0.0927710962687666,0.08826215338039993,0.06376198044772524,0.06657932572538014,-0.3582389763504392,0.058735063921237125,-0.06609452152167497,0.05941461093746968,0.09078126146470528,0.10014625404712832,0.11435368586720987,0.06868546796006626,0.07391358634811045,0.06055120030118071,0.06441053636223312,0.11197333156134416,0.0653314001228143,0.04533898504053914,0.08753716671159811,0.07973715795017093,0.055013927576601375,0.04747464333831068,0.07966382565603969,0.08167207845632349,0.09240814167587434,0.047395315205415636,0.0409154023302392,0.08626988937051397,-0.24636927622038304,0.06683792532162892,0.09203826028926276,0.08999262062102134,0.07034379545340974,0.03718836299507181,0.08317936549255872,0.03383807655470315,0.10943269073306633,0.09124774215095836,0.08048288690002324,0.06823892439255108,0.13711149393758182,0.08252365731412657,0.07113175461286039,-0.7806078379713368
-0.0057687209090225644,-0.0004183760722055919,0.041204384574749085,-0.044266378496118204,-0.019445178885774687,-0.008320467146879694,0.0354667302972639,0.006211214021920759,0.024255865637242097,-0.014379469548155138,-0.0021733609557839048,-0.02256391321294339,0.1862805582293415,-0.00916667305659598,0.007965840820488616,-0.011546416721689576,-0.01790575153307405,-0.0053146149405010465,0.0005344771684133547,-0.0135981903219529,-0.015421796199435563,-0.0013277851150958564,-0.043177908881376,-0.0837487395985759,-0.021486066392676497,0.003028462534363409,-0.021828025095688947,-0.009716891059908287,0.0029700565003459023,-0.0013283050138854216,-0.002224714519003125,-0.023608033921900525,-0.037663854438910835,0.0012230166630343908,-0.00532969771426137,-0.014894258744437509,0.19476933996534865,0.017791152235599537,-0.00988326455412633,-0.026652489767267112,-0.014188930143838912,-0.04227985943102306,-0.010119619124761337,0.024117167308355933,0.017453720630984826,-0.09215014758891307,-0.03603627602591435,-0.0746829881068191,-0.12700966983151513,-0.04352239201052175,-0.0008623945758000196,3.0897096733327434
-0.03559660061033471,-0.02009210713001325,-0.026889854230839897,-0.013677222461946309,-0.016914623048362245,-0.025792383404253216,-0.07204724291251226,-0.048148246580810884,-0.06135642933316213,-0.026458906103904983,-0.013940207229917264,-0.03500763682285783,-0.12360736908550495,-0.01679398890324443,0.017325182504487644,-0.017104667818514385,-0.013710667870029121,0.011576120725324159,-0.1271366031047571,-0.029692506396807487,-0.01908952614371596,0.041025654584779234,-0.03384479176144861,-0.10609357595666792,-0.04666058889623078,0.008152244888730047,-0.08158992007121034,-0.055034251264452716,-0.005429298965093249,-0.007433574687618269,-0.03344484494773641,-0.03786487629171857,-0.01275284584171078,0.017915372990480755,-0.036838589662904174,-0.026499758173490262,-0.14343304332769233,-0.020123813244475024,-0.035239416373961274,-0.04381177380490105,-0.03616183750160469,-0.02466998916015012,-0.02741646667690158,-0.003364301205391561,-0.011099840095390136,0.030075015012571125,-0.1542054419769949,-0.02284264635888676,-0.06629819562494119,-0.048941717053314286,-0.03150628341459145,-0.2112940202078884
-0.04829487783099677,-0.09330588890313066,-0.161887330552659,0.010071589839822127,-0.07124312985921206,-0.05751766640039365,-0.09044001658329567,-0.02715609636528044,-0.047259638576880064,-0.032142616675510056,-0.04537131885440605,-0.02046491320426536,-0.17736081032776058,-0.06835569663004963,0.055572254614118376,-0.013158529948277157,-0.04294150348845005,-0.04105565625126073,-0.0027330148948630515,-0.040732757039804716,-0.04191603027651243,-0.0998423107062484,-0.04087372037631569,0.0925705078996924,0.022360734617001384,-0.08229269894856707,-0.007854403930403805,-0.034763389029427716,-0.050994393868663314,-0.03797961234312327,-0.04297986078473455,-0.01258625572777864,-0.05189383245357049,-0.07689895045609038,-0.05694073702560186,-0.0571441450279629,-0.05043730917273834,-0.04539456320929036,-0.060690435026432024,-0.036060139097249366,-0.054869092039152544,0.042194205122108766,-0.05255576913012895,-0.060567198830755835,-0.08472179429116168,0.09163579246342586,-0.07529590748781045,0.03281022640737257,-0.0009377782868417166,-0.012525522918677284,-0.05266541709513988,-0.08760683098465004
-0.0069468823231329,0.016942670625135603,0.04572304536715098,0.01464363462601131,-0.00576543701326374,-0.0011202349159658476,-0.010416653433742113,-0.03945557166410296,-0.04073484361727964,0.002911737868546645,-0.01250277899920175,-0.02812306206469709,-0.6909492089852893,0.0023802181619699755,0.030568730371929524,-0.028559188119525094,0.0205672411867336,-0.036011023068121935,-0.013108588265052179,-0.002690235433731927,-0.009895871959487029,0.016102673106488476,0.03899292521979143,0.3517711874027525,0.04915665000134069,0.024861066142079044,0.04455830528701859,-0.0029124044980435447,-0.0210524176142792,-0.014930050379501025,0.016949680697300334,-0.005825292819881908,-0.024216853446708483,-0.009190439550870752,-0.006350437842500395,-0.026233992815734783,-0.6933427464039099,0.006807857698807386,0.01554955870496843,0.0,-0.01307973103565882,0.006380616615010397,-0.01774837791372983,-0.01577290542241799,0.038304047236138686,0.3835846218655619,-0.03530433069786865,0.3724892298002858,0.36969698722420463,0.0040138569366309496,0.018060805485094825,-0.1639343614328237
0.07904851047396542,0.07594939270835352,0.12760268456886886,0.09140472322154504,0.08083121509694959,0.0250466620660486,0.10334913095128986,0.03965993084221119,0.03741415990097662,0.07732920049027693,0.09753820583529008,0.06566499780869453,-0.2309523951292093,0.04995528273370771,-0.06701439644639802,0.048552501596581976,0.07526718982281748,0.11494268728212535,0.10056898888088613,0.09248537493294068,0.07101520528318209,0.06599807592918427,0.06983380049685291,0.046436793692648345,0.08222325403042602,0.10916060999236407,0.07550020045950794,0.046737730527113365,0.06344058801615532,0.04926921493171748,0.0867576078357614,0.08251968611311393,0.0953773493719118,0.08012365312532249,0.05000005084346579,0.06484021473156397,-0.3418013336909708,0.07559857789655933,0.06977524541432391,0.1056421901593053,0.1064257179874032,0.06602535256943873,0.08569924632932832,0.05586067258113984,0.07951299387665102,0.03631971788618911,0.0603842977755204,0.06311904092897973,0.2831858060071463,0.07424334428405809,0.04388415675613632,0.2003473025291196
0.017504113849360174,0.006487978513706805,-0.00216301767343692,-0.04701733505102743,0.002116546507006593,0.015980458073211218,0.01821342019590057,0.002270580462127917,0.015010271978120243,0.021297872933166262,0.01830985429630341,0.03507258926098852,-0.5913312714342152,0.01881663523080641,-0.022078290882277102,0.015293005539872685,0.007525103372466123,0.031066647065526733,0.10057495480710048,-0.01728385998662616,0.024066813058367262,-0.018253717960052675,0.10390771353095092,0.6036907819330665,0.051782759458573566,0.04604294399331633,0.08915412419451074,0.0200003178417562,0.017694502554179405,0.030043727522039845,0.03404111275377695,0.016796986787633434,0.029837735650895432,-0.002044783088075361,-0.029717203442650095,0.004288165370936365,-0.6842105503520797,-0.00937130436871928,0.007522481830143732,0.06412622387429796,0.0297641205721832,-0.020713670568239195,0.03185946742704482,0.001301156486372624,-0.001990806175573598,0.30373806844463136,0.07758387439173735,0.32967182379666643,0.5689655253470185,0.037152477812687865,0.0465116521863091,0.11881173739239335
0.003982143220761767,-0.0042973917435448926,0.02516649043036893,0.030527236238319974,0.004163948880438156,-0.005677997423340269,0.004684923909465824,0.01812422434215659,0.025179849567359858,-0.0031371934611086586,-0.013874301526582184,-0.025095030024664188,0.2878787462771225,-0.008073564609259391,-0.0015051649420901516,0.002092103864407008,-0.001831916717171754,0.021757232514445637,-0.026631915315381283,-0.03481700002994168,-0.003357209456999684,-0.0245352230880898,0.016894517495247962,-0.1564383662189311,-0.025423752685253348,0.005502319091292976,-0.03416045949770901,0.0,0.011922789651389513,0.007533388930737002,-0.03575216574167238,-0.016926745418725502,-0.013437248825297805,0.02073440759525009,-0.0011070168213426538,0.001281234207237925,0.19277782765616325,0.024832400947283072,0.007270627633975281,-0.021649499150969358,-0.035953515710477016,-0.0018848567996612984,0.0,0.019489043669287397,0.022606453869719673,-0.13620060280011592,-0.02912607408684658,-0.13826718654840822,-0.14212449816615702,0.004646362242394336,0.017948740854233168,0.013274404430371456
