,Date,DBO,DTO,OLEM,OLO,SCO,SZO,UCO,USL,USO
0,2006-04-01,,,,,,,,,69.620003
1,2006-05-01,,,,,,,,,67.730003
2,2006-06-01,,,,,,,,,69.769997
3,2006-07-01,,,,,,,,,69.519997
4,2006-08-01,,,,,,,,,64.800003
5,2006-09-01,,,,,,,,,57.0
6,2006-10-01,,,,,,,,,52.099998
7,2006-11-01,,,,,,,,,54.580002
8,2006-12-01,,,,,,,,,51.599998
9,2007-01-01,23.031129999999997,,,,,,,,48.240002000000004
10,2007-02-01,24.595436,,,,,,,,51.18
11,2007-03-01,25.584906,,,,,,,,53.349998
12,2007-04-01,24.981802,,,,,,,,51.240002000000004
13,2007-05-01,24.510624,,,,,,,,48.959998999999996
14,2007-06-01,25.537788,,,,,,,,53.0
15,2007-07-01,26.235129999999998,,,,,,,,58.529999
16,2007-08-01,25.085461,,,,,,,,55.779999
17,2007-09-01,27.676933000000002,,,,,,,,62.549999
18,2007-10-01,31.851559,,,,,,,,73.269997
19,2007-11-01,31.248451,,,,,,,,69.910004
20,2007-12-01,32.709103000000006,,,,,,,54.029999,75.760002
21,2008-01-01,32.658367,,,,,,,52.299999,72.349998
22,2008-02-01,36.436058,,,,,,,59.029999,80.41999799999999
23,2008-03-01,36.641579,,,,,,,57.77,81.360001
24,2008-04-01,41.711113,,,,,,,65.510002,92.5
25,2008-05-01,46.389175,,,,,,,75.08000200000001,103.059998
26,2008-06-01,51.762096,23.049999,,24.620001000000002,,24.07,,83.91999799999999,113.660004
27,2008-07-01,45.890053,28.799999,,22.85,,27.139999,,74.18,99.989998
28,2008-08-01,43.208484999999996,32.77,,21.65,,28.6,,69.58000200000001,92.870003
29,2008-09-01,37.600677000000005,40.68,,17.93,,32.470001,,60.66,82.010002
30,2008-10-01,26.708031,67.779999,,13.3,,42.759997999999996,,42.34,55.59
31,2008-11-01,21.92231,100.959999,,11.02,66.849998,53.419998,896.0,34.57,42.09
32,2008-12-01,18.878632999999997,146.029999,,9.67,79.150002,66.300003,547.599976,29.889999,33.099998
33,2009-01-01,18.897318,179.899994,,9.49,87.875,73.0,414.399994,29.08,29.219998999999998
34,2009-02-01,17.814659,196.889999,,8.95,103.525002,77.25,314.0,27.5,27.049999
35,2009-03-01,19.261484,172.0,,9.68,79.599998,71.360001,336.799988,30.24,29.049999
36,2009-04-01,19.11385,173.929993,,9.61,80.224998,72.0,303.600006,29.83,28.629998999999998
37,2009-05-01,24.527143,80.900002,,12.22,47.424999,52.919998,488.0,36.049999,36.400002
38,2009-06-01,24.891312,74.489998,,12.44,42.0,50.610001000000004,526.400024,37.720001,37.93
39,2009-07-01,25.43264,78.870003,,12.68,42.299999,51.700001,487.60000599999995,37.98,36.810001
40,2009-08-01,24.733831,81.550003,,12.37,43.450001,52.98,458.39999400000005,37.040001000000004,36.049999
41,2009-09-01,24.477932,81.5,,12.23,41.674999,52.849998,448.39999400000005,36.599998,36.189999
42,2009-10-01,26.534983,66.93,,13.25,34.375,48.099998,528.0,39.779999,39.32
43,2009-11-01,27.263319,67.58000200000001,,13.65,33.950001,48.240002000000004,518.400024,40.77,39.150002
44,2009-12-01,27.135365999999998,66.900002,,13.58,34.125,48.0,507.200012,40.459998999999996,39.279999
45,2010-01-01,24.743675,79.07,,12.36,40.875,52.41,416.399994,36.990002000000004,35.639998999999996
46,2010-02-01,26.574352,64.860001,,13.27,33.549999,47.77,486.0,39.490002000000004,38.82
47,2010-03-01,27.676696999999997,59.900002,,13.76,30.674999,45.919998,522.400024,40.869999,40.290001000000004
48,2010-04-01,29.064467999999998,56.790001000000004,,14.51,28.174999,44.66,560.400024,43.509997999999996,41.330002
49,2010-05-01,24.349981,76.099998,,12.22,38.400002,52.200001,390.399994,37.16,34.040001000000004
50,2010-06-01,23.434641,76.410004,,11.69,38.099998,52.080002,381.200012,36.599998,33.959998999999996
51,2010-07-01,24.615725,70.389999,,12.33,34.525002,50.189999,410.0,38.259997999999996,35.34
52,2010-08-01,23.375587,83.82,,11.76,40.174999,55.07,343.600006,35.939999,31.92
53,2010-09-01,24.901152,68.540001,,12.48,33.450001,50.439999,403.600006,38.490002000000004,34.84
54,2010-10-01,24.930679,67.139999,,12.49,32.200001,49.619999,409.600006,38.630001,35.169998
55,2010-11-01,25.344058999999998,63.75,,12.89,30.200001,48.099998,425.60000599999995,39.290001000000004,36.040001000000004
56,2010-12-01,27.77512,53.349998,,14.0,25.424999,44.310001,500.0,43.099998,39.0
57,2011-01-01,28.611719,54.110001000000004,,14.31,25.049999,44.529999,492.799988,44.23,38.610001000000004
58,2011-02-01,29.536901,51.860001000000004,,14.69,24.620001000000002,43.610001000000004,491.299988,45.200001,39.189999
59,2011-03-01,31.751428999999998,42.75,,15.88,20.65,40.91,569.900024,48.400002,42.599998
60,2011-04-01,33.680534,37.57,51.040001000000004,16.76,18.129998999999998,37.419998,636.599976,51.240002000000004,45.150002
61,2011-05-01,30.235708000000002,45.119999,46.110001000000004,15.08,21.23,41.119999,502.89999400000005,46.77,40.5
62,2011-06-01,28.296764000000003,52.41,42.43,14.11,24.4,44.400002,421.799988,43.57,37.240002000000004
63,2011-07-01,28.36566,51.84,43.709998999999996,14.13,23.809998999999998,43.630001,424.10000599999995,43.740002000000004,37.419998
64,2011-08-01,25.836176000000002,59.919998,39.110001000000004,12.93,26.610001,47.509997999999996,351.799988,39.950001,34.509997999999996
65,2011-09-01,22.676783,74.07,36.049999,11.41,32.625,52.900002,270.899994,35.130001,30.49
66,2011-10-01,25.934601,48.330002,40.290001000000004,12.96,22.870001000000002,44.799999,364.700012,40.400002,35.740002000000004
67,2011-11-01,28.247553000000003,40.209998999999996,43.27,14.1,19.120001000000002,40.049999,426.200012,43.790001000000004,38.779999
68,2011-12-01,28.119602,41.419998,43.970001,14.02,19.344998999999998,40.740002000000004,409.399994,43.48,38.110001000000004
69,2012-01-01,28.237710999999997,42.02,43.5,14.1,19.370001000000002,41.169998,402.5,43.849998,37.82
70,2012-02-01,30.619559999999996,35.07,46.560001,15.32,16.424999,37.75,467.5,47.209998999999996,40.919998
71,2012-03-01,29.438477000000002,37.919998,45.099998,14.84,17.58,39.110001000000004,429.10000599999995,45.810001,39.23
72,2012-04-01,29.714064,37.049999,45.349998,14.64,17.075001,38.84,436.200012,46.040001000000004,39.68
73,2012-05-01,24.310612,50.16,37.470001,12.17,24.825001,45.700001,293.100006,38.259997999999996,32.610001000000004
74,2012-06-01,24.172817000000002,52.52,36.849998,12.2,24.709999,46.34,275.399994,37.740002000000004,31.83
75,2012-07-01,24.596039,49.450001,37.720001,12.4,22.795,44.75,288.700012,38.619999,32.68
76,2012-08-01,26.790884000000002,39.900002,41.240002000000004,13.41,18.665001,41.5,345.700012,42.16,35.889998999999996
77,2012-09-01,25.698383,43.77,39.459998999999996,12.8,20.360001,42.73,312.100006,40.32,34.119999
