Name,Riskiness R
AGG,[0.03557852]
AGND,[3.57925237e+11]
AGZD,[1.6325279e+10]
BIV,[0.0509508]
BLV,[0.11631503]
BND,[0.04114058]
BNDX,[0.0166123]
BOND,[0.03258974]
BSV,[0.01831145]
BYLD,[0.02695506]
FTSD,[0.01692888]
FWDB,[0.063567]
GBF,[0.04169704]
GVI,[0.02562005]
HOLD,[0.00998856]
ILTB,[0.08949934]
ISTB,[0.00878512]
IUSB,[0.02364671]
LDUR,[0.01482926]
MINC,[0.01040423]
MINT,[0.00144952]
NEAR,[0.00259871]
RAVI,[0.00538843]
SAGG,[4.75488121e+11]
SCHZ,[0.03098209]
SPAB,[0.0318875]
ULST,[0.00673877]
XMPT,[0.05891725]
