CGW,CHII,EXI,FIDU,FIW,FXR,IEV,ITA,IYJ,IYT,PHO,PIO,PPA,PSCI,RGI,SEA,SIJ,UXI,VIS,XAR,XLI,XTN,_PRN
0.008394212560621596,-0.010309120892016448,0.0016943554192955224,-0.0007330819825123548,0.005979061288591362,0.00349154247812642,0.0033883304988588203,0.008842246180836141,-0.0015872847680535461,-0.006653046071135415,0.013112168366205393,0.006102825864246036,0.003824109084332564,0.01057735208301908,0.0,0.028504994780685182,-0.0007546356925245897,0.003009717519427941,-0.0013028138415051645,0.00851305201811773,-0.002118357484818821,-0.004174001604903775,0.007509342185798588
-0.031849435063819445,0.01475670073111092,-0.035381965283845226,-0.03851799706946521,-0.031500893785425685,-0.036186530565356985,-0.02680448966162973,-0.02804703745891184,-0.03795724635293452,-0.021372948019111392,-0.03768554714769747,-0.032495938252121534,-0.023174570783492467,-0.027475169680072967,-0.03947207113237287,-0.026351728151496046,0.07760574921980558,-0.07250022567347263,-0.03753136094460488,-0.025716568543604462,-0.03878795810641871,-0.022515099742906552,-0.03540378299953968
-0.0018691010609484023,-0.050470366308566654,-0.007891311570903496,0.0,-0.009205340683815623,0.0007219681226657902,-0.018217267763812047,-0.0010441346217974195,0.001239417075810926,0.002845454907270905,0.005933423257298408,-0.0031346987984039853,0.007799736967379539,-0.01883412969652707,0.004707327714352316,-0.02146531494960327,-0.009987777934412984,-0.006157451946425483,0.000729805606845927,-0.005138088478576911,0.004416567844297102,-0.003920470592259084,-0.011590314659625213
0.02434451079410773,0.027026911413492567,0.015466393462076115,0.003052288684872616,0.002787392059159835,-0.003246625282169616,0.02628677144611425,-0.004086028551276891,0.005673574125457333,-0.006517908515607789,0.007864715135101355,0.01617278164430326,0.006127063759870213,-0.014625081602670394,0.007344343849114931,0.025274446055822433,-0.003539869244335685,0.01333621543535512,0.004063618042921186,-0.0035441215972768867,0.00879482860610069,-0.01020919450950511,-0.002823131143741855
0.02559407757634489,0.02982455987408517,0.01581073531721723,0.023202618497941214,0.03489796842807544,0.02424893711592293,0.027765665500556792,0.028814309112481142,0.020617573047018462,0.010882902617525841,0.02809215068940031,0.029619708529608,0.02307689235938716,0.024814578698901763,0.017473751892374753,0.01906940298922054,-0.02877436357357309,0.041139802067280365,0.020545535334174803,0.02764222241642733,0.017832231012679146,0.012675506510380104,0.01807492182346351
0.006417140264765927,-0.015332152588812181,0.0001426776908940444,0.0007436825628527894,0.002089190507253669,0.01236767701472124,0.0069110349696151424,0.00825361743477625,0.00030153005449719207,0.0009161512983418519,0.0037949632731608296,0.015027806803267194,0.013157938260546228,0.0049784241602315316,0.008153831466367787,-0.0059329836655107136,-0.026700854766950444,0.005474203984864393,0.001728539523016474,0.016613869505738815,0.000389333041086402,0.014602832976542628,0.007914585237680249
0.025150647211216938,0.006920437039812824,0.014848720038986657,0.013744418577978607,0.020547774069158985,0.018499132203997088,0.009359555541717121,0.008462142047830001,0.01446804228314019,0.004958621165470432,0.013610659703251891,0.023688650055099302,0.00896734814276955,0.024093682556253267,0.009804060208520584,0.017447019504757525,-0.017286707245816532,0.020194012600443498,0.014007266416089964,0.0019455970765034445,0.013037613377819885,0.007861790719466227,0.02207125385384149
0.014858350622387209,0.0017181235711357422,0.007034475808335165,0.01685587122460138,0.017507900118781186,0.016106759130675163,-0.0018546437619665905,0.019336142901878028,0.015549260853684087,0.03491686046236995,0.010070817635709809,0.011983458195154187,0.01685538597921066,0.025065812398792426,0.019417460790178642,0.0018049156135894566,-0.03824093636975685,0.02852720260553185,0.01911924159448666,0.020970689165372862,0.01805607996058578,0.04488176838442473,0.019933435695076426
-0.026557811398154257,-0.0617495806051597,-0.03338948492925839,-0.031711708049960215,-0.02638380731735554,-0.02765600529257611,-0.03468212627442165,-0.032301429197400346,-0.03189036735718626,-0.016282435538044274,-0.0254800354679844,-0.026541287195021468,-0.03254962592094144,-0.026597775102053696,-0.028690706036632718,-0.02702706180027788,0.06500995269754042,-0.06339617693832439,-0.031234691475142188,-0.030334465052552332,-0.03113195524796505,-0.016308660304724974,-0.035423224390254124
-0.0010493543299523991,0.05301672555967184,0.008093767053088738,0.009304062419354523,0.007953028693877021,0.01664938806688469,0.004918799881602477,0.0028663771769782192,0.013398041974244898,0.0043246728520843145,0.0068208603732800785,0.004194698778326054,0.005296026361916087,0.015204734407220118,0.007476724026247945,0.00324077808486998,-0.030987424668914607,0.031224688096955205,0.011659675352460418,0.004314969013501666,0.005842355826800642,0.0012843329452743323,0.01667346719602125
0.005952434487876189,0.015624854720559866,0.012759873039950034,-0.00019759123979835736,-0.014611174706042937,-0.009894209595860366,0.02042985937809517,-0.010510738438895256,-0.010835118493758691,-0.011210427300157295,-0.014301771593395334,0.006265383684456308,-0.010535990699095528,-0.029833924242968293,-0.0013348821715229527,0.004614650639558602,0.0038527947307965276,-0.01738602318471997,-0.004409668667400433,-0.022437572142268623,0.00590213122144756,-0.017880252268536144,-0.02570659567448977
0.007309495762581919,0.03076913784142238,0.010475514533137834,0.014073914942335054,0.015637577591997125,0.01779902547449207,0.007716376867004927,0.00969653313992445,0.015554159492990056,0.019409375823823263,0.017563609602710657,0.0058116264463391,0.007203092936264119,0.013661825616027138,0.014167012775244653,0.018075567059482392,-0.01899830221533136,0.028977255511275408,0.013891732103256164,0.008806326033731503,0.015658312954849988,0.024149468922962998,0.0008523698066916611
