,Date,DBO,DTO,OLEM,OLO,SCO,SZO,UCO,USL,USO
69,2007-08-06,24.887566,,,,,,,,53.639998999999996
70,2007-08-13,24.8216,,,,,,,,54.029999
71,2007-08-20,24.8216,,,,,,,,53.639998999999996
72,2007-08-27,25.085461,,,,,,,,55.779999
73,2007-09-03,25.754532,,,,,,,,57.759997999999996
74,2007-09-10,26.536684,,,,,,,,59.790001000000004
75,2007-09-17,27.884253,,,,,,,,62.139998999999996
76,2007-09-24,27.676933000000002,,,,,,,,62.549999
77,2007-10-01,27.771168,,,,,,,,62.279999
78,2007-10-08,28.430816999999998,,,,,,,,64.0
79,2007-10-15,29.571064,,,,,,,,67.139999
80,2007-10-22,30.984596000000003,,,,,,,,71.16999799999999
81,2007-10-29,32.45467,,,,,,,,74.349998
82,2007-11-05,32.859879,,,,,,,,74.769997
83,2007-11-12,32.219078,,,,,,,,73.900002
84,2007-11-19,33.538376,,,,,,,,76.760002
85,2007-11-26,31.248451,,,,,,,,69.910004
86,2007-12-03,31.144790999999998,,,,,,,50.330002,69.43
87,2007-12-10,32.501789,,,,,,,52.439999,72.260002
88,2007-12-17,31.663088000000002,,,,,,,52.959998999999996,73.800003
89,2007-12-24,33.969795,,,,,,,54.369999,75.889999
90,2007-12-31,34.7038,,,,,,,55.610001000000004,77.309998
91,2008-01-07,32.775814000000004,,,,,,,53.150002,73.089996
92,2008-01-14,32.129887,,,,,,,51.610001000000004,71.540001
93,2008-01-21,32.364769,,,,,,,52.32,71.910004
94,2008-01-28,31.875431,,,,,,,51.919998,70.470001
95,2008-02-04,32.795383,,,,,,,52.669998,72.900002
96,2008-02-11,34.292759000000004,,,,,,,55.560001,75.93
97,2008-02-18,35.408446999999995,,,,,,,56.77,78.599998
98,2008-02-25,36.436058,,,,,,,59.029999,80.41999799999999
99,2008-03-03,37.845345,,,,,,,59.860001000000004,83.730003
100,2008-03-10,39.049118,,,,,,,61.32,86.510002
101,2008-03-17,36.524136,,,,,,,57.990002000000004,81.300003
102,2008-03-24,37.864917999999996,,,,,,,60.27,84.370003
103,2008-03-31,38.129162,,,,,,,60.619999,84.879997
104,2008-04-07,39.880989,,,,,,,62.52,88.480003
105,2008-04-14,42.210236,,,,,,,66.489998,93.790001
106,2008-04-21,42.914879,,,,,,,67.75,95.660004
107,2008-04-28,42.210236,,,,,,,65.230003,93.400002
108,2008-05-05,45.987922999999995,,,,,,,74.269997,102.120003
109,2008-05-12,45.987922999999995,,,,,,,74.099998,102.269997
110,2008-05-19,47.955055,,,,,,,77.400002,106.949997
111,2008-05-26,46.389175,,,,,,,75.08000200000001,103.059998
112,2008-06-02,49.472,,,,,,,81.349998,112.16999799999999
113,2008-06-09,49.501366,,,,,,,81.220001,109.199997
114,2008-06-16,49.14904,25.17,,24.91,,25.0,,79.870003,109.139999
115,2008-06-23,51.693591999999995,23.09,,24.620001000000002,,23.959999,,83.900002,113.75
116,2008-06-30,53.621582,21.77,,26.549999,,23.450001,,87.339996,116.82
117,2008-07-07,53.75859499999999,21.610001,,26.610001,,23.459999,,87.849998,117.389999
118,2008-07-14,48.189938,27.07,,24.440001000000002,,26.059998999999998,,77.470001,104.440002
119,2008-07-21,45.81176,29.049999,,23.24,,27.059998999999998,,73.339996,99.269997
120,2008-07-28,46.144512,28.33,,23.08,,26.809998999999998,,74.599998,101.040001
121,2008-08-04,42.454906,33.009997999999996,,22.08,,28.9,,67.980003,92.68
122,2008-08-11,42.337463,33.52,,21.41,,29.35,,68.050003,91.800003
123,2008-08-18,43.267204,33.209998999999996,,21.530001000000002,,28.98,,69.220001,92.540001
124,2008-08-25,43.208484999999996,32.77,,21.65,,28.6,,69.58000200000001,92.870003
125,2008-09-01,40.047363,37.970001,,20.4,,31.18,,64.339996,86.059998
126,2008-09-08,37.982365,41.369999,,19.09,,32.549999,,60.599998,81.489998
127,2008-09-15,39.146984,40.119999,,16.889999,,31.51,,62.41,82.629997
128,2008-09-22,39.489521,37.720001,,19.26,,31.58,,63.439999,86.209999
129,2008-09-29,34.547215,47.75,,17.219998999999998,,34.950001,,55.290001000000004,75.25
130,2008-10-06,30.808676000000002,56.5,,15.87,,39.130001,,48.950001,66.5
131,2008-10-13,28.058601,64.290001,,13.85,,40.709998999999996,,44.970001,59.369999
132,2008-10-20,25.063858,70.510002,,12.94,,43.959998999999996,,40.169998,53.0
133,2008-10-27,26.708031,67.779999,,13.3,,42.759997999999996,,42.34,55.59
134,2008-11-03,24.652815,81.309998,,12.0,,47.18,,39.98,50.040001000000004
135,2008-11-10,23.204373999999998,90.43,,11.61,,50.060001,,37.240002000000004,46.18
136,2008-11-17,20.71854,103.860001,,10.38,,54.349998,,33.650002,41.0
137,2008-11-24,21.92231,100.959999,,11.02,66.849998,53.419998,896.0,34.57,42.09
138,2008-12-01,18.986286,138.220001,,9.2,97.949997,63.599998,579.599976,29.76,34.25
139,2008-12-08,20.787048000000002,119.889999,,10.49,72.375,58.41,709.599976,33.099998,38.099998
140,2008-12-15,18.9765,142.199997,,9.55,92.5,64.5,544.0,30.780001000000002,33.060001
141,2008-12-22,17.125694,160.300003,,8.53,112.25,70.540001,418.0,28.370001000000002,29.1
142,2008-12-29,20.462252,126.209999,,10.24,68.0,60.630001,626.400024,32.0,35.630001
143,2009-01-05,19.930765,156.100006,,9.86,77.574997,67.010002,518.0,30.66,32.369999
144,2009-01-12,19.28117,174.729996,,9.65,89.449997,71.269997,442.39999400000005,30.389999,29.860001
145,2009-01-19,19.320538,155.58999599999999,,9.65,74.400002,67.709999,509.200012,29.07,32.330002
146,2009-01-26,18.897318,179.899994,,9.49,87.875,73.0,414.399994,29.08,29.219998999999998
147,2009-02-02,18.976057,183.25,,9.5,93.5,72.599998,386.0,30.01,28.200001
148,2009-02-09,17.794973000000002,215.38999900000002,,8.85,118.175003,80.129997,301.200012,27.700001,25.6
149,2009-02-16,16.357992000000003,230.72000099999997,,8.21,129.625,83.199997,258.799988,25.67,24.35
150,2009-02-23,17.814659,196.889999,,8.95,103.525002,77.25,314.0,27.5,27.049999
151,2009-03-02,18.139456,185.0,,9.07,92.449997,74.019997,327.200012,27.85,27.99
152,2009-03-09,18.041033,192.699997,,8.98,92.800003,75.230003,309.600006,27.719998999999998,27.629998999999998
153,2009-03-16,20.265406,147.720001,,10.11,73.0,66.349998,382.0,31.51,30.76
154,2009-03-23,20.294933,148.25,,10.19,72.074997,66.400002,381.200012,31.52,30.75
155,2009-03-30,20.688625,149.520004,,10.37,68.224998,67.32,378.399994,32.18,30.93
156,2009-04-06,20.855946,151.5,,10.4,68.550003,67.16999799999999,367.600006,32.43,30.690001000000002
157,2009-04-13,20.029188,165.16000400000001,,9.98,74.875,70.18,336.0,31.33,29.450001
158,2009-04-20,19.359909,170.630005,,9.71,78.625,71.300003,311.600006,30.26,28.9
159,2009-04-27,19.901237,162.449997,,9.99,73.925003,69.269997,326.799988,30.93,29.620001000000002
160,2009-05-04,21.800812,126.309998,,10.95,60.700001,62.110001000000004,392.399994,33.099998,32.490002000000004
161,2009-05-11,20.983895999999998,142.350006,,10.52,65.125,65.260002,363.200012,31.969998999999998,31.299999
162,2009-05-18,22.617727,112.699997,,11.33,55.5,59.25,420.39999400000005,33.880001,33.700001
163,2009-05-25,24.527143,80.900002,,12.22,47.424999,52.919998,488.0,36.049999,36.400002
164,2009-06-01,25.324373,76.650002,,12.54,44.224998,51.259997999999996,513.599976,37.779999,37.400002
165,2009-06-08,25.757437,67.769997,,12.86,39.875,48.459998999999996,567.599976,39.279999,39.43
166,2009-06-15,25.058629999999997,74.059998,,12.5,42.700001,50.549999,528.0,37.950001,37.970001
167,2009-06-22,24.63541,76.089996,,12.29,43.299999,51.139998999999996,513.200012,37.43,37.509997999999996
168,2009-06-29,24.035027,81.75,,12.01,46.200001,53.029999,476.39999400000005,36.360001000000004,36.049999
169,2009-07-06,22.253560999999998,96.440002,,11.13,56.625,57.880001,382.399994,33.209998999999996,32.380001
170,2009-07-13,23.729914,88.870003,,11.82,50.200001,55.43,427.200012,35.400002,34.240002000000004
171,2009-07-20,25.383429,81.059998,,12.69,44.775002,52.700001,477.200012,37.889998999999996,36.220001
172,2009-07-27,25.43264,78.870003,,12.68,42.299999,51.700001,487.60000599999995,37.98,36.810001
173,2009-08-03,26.111763,74.66999799999999,,13.05,40.075001,50.830002,512.799988,39.09,37.650002
174,2009-08-10,25.285006,81.589996,,12.63,43.275002,52.900002,472.0,37.650002,36.029999
175,2009-08-17,26.101921,72.75,,13.05,38.950001,49.939999,518.400024,39.240002000000004,38.23
176,2009-08-24,25.688541,74.910004,,12.86,40.049999,50.610001000000004,500.0,38.400002,37.66
177,2009-08-31,23.907076,85.959999,,11.95,46.075001,54.380001,432.0,35.759997999999996,35.130001
178,2009-09-07,24.30077,82.809998,,12.16,43.775002,53.32,448.0,36.389998999999996,35.82
179,2009-09-14,25.117685,77.08000200000001,,12.6,40.625,51.009997999999996,478.39999400000005,37.779999,37.119999
180,2009-09-21,23.218110999999997,91.33000200000001,,11.6,47.724998,56.119999,399.200012,34.66,34.0
181,2009-09-28,24.162975,82.68,,12.1,42.375,53.299999,441.60000599999995,36.25,35.869999
182,2009-10-05,25.137370999999998,76.769997,,12.54,39.424999,51.900002,472.39999400000005,37.669998,37.16
183,2009-10-12,27.0271,62.369999,,13.58,33.224998,46.619999,556.799988,40.700001,40.450001
184,2009-10-19,27.597958000000002,59.970001,,13.82,32.075001,45.82,574.0,41.43,40.91
185,2009-10-26,26.534983,66.93,,13.25,34.375,48.099998,528.0,39.779999,39.32
186,2009-11-02,26.93852,65.769997,,13.45,33.525002,47.650002,537.599976,40.400002,39.700001
187,2009-11-09,26.653090999999996,67.809998,,13.3,34.424999,48.369999,519.200012,40.0,39.119999
188,2009-11-16,27.076313,66.720001,,13.5,33.724998,48.009997999999996,527.599976,40.52,39.419998
189,2009-11-23,26.93852,69.550003,,13.38,35.049999,48.98,504.799988,40.110001000000004,38.5
190,2009-11-30,27.105840999999998,70.400002,,13.5,35.275002,49.77,496.799988,40.450001,38.330002
191,2009-12-07,25.285006,79.879997,,12.63,40.799999,52.75,428.0,37.630001,35.48
192,2009-12-14,25.757437,75.879997,,12.86,39.049999,51.330002,446.0,38.41,36.66
193,2009-12-21,26.515299,70.550003,,13.26,36.125,49.389998999999996,479.200012,39.650002,38.200001
194,2009-12-28,27.135365999999998,66.900002,,13.58,34.125,48.0,507.200012,40.459998999999996,39.279999
195,2010-01-04,28.188498,61.169998,,14.06,31.325001,46.150002,546.799988,42.060001,40.93
196,2010-01-11,26.692460999999998,69.709999,,13.34,35.424999,49.049999,483.200012,39.830002,38.400002
197,2010-01-18,25.147211,76.66999799999999,,12.55,39.400002,51.509997999999996,432.0,37.68,36.34
198,2010-01-25,24.743675,79.07,,12.36,40.875,52.41,416.399994,36.990002000000004,35.639998999999996
199,2010-02-01,24.310612,81.010002,,12.12,41.224998,53.240002000000004,404.0,36.25,35.209998999999996
200,2010-02-08,25.078314000000002,75.940002,,12.54,38.549999,51.540001000000004,429.200012,37.459998999999996,36.310001
201,2010-02-15,26.761358,63.970001,,13.36,33.25,47.389998999999996,492.799988,39.73,39.09
202,2010-02-22,26.574352,64.860001,,13.27,33.549999,47.77,486.0,39.490002000000004,38.82
203,2010-03-01,27.312528999999998,61.689999,,13.65,31.799999,46.509997999999996,511.200012,40.529999,39.849998
204,2010-03-08,27.095999,62.75,,13.52,32.275002,46.869999,502.39999400000005,40.110001000000004,39.509997999999996
205,2010-03-15,26.918834999999998,63.73,,13.42,32.549999,47.27,494.799988,39.82,39.200001
206,2010-03-22,26.702303000000004,65.0,,13.31,33.200001,47.740002000000004,484.799988,39.57,38.830002
207,2010-03-29,28.306606,57.200001,,14.11,29.299999,44.810001,546.0,41.77,41.240002000000004
208,2010-04-05,28.48377,57.240002000000004,,14.21,29.299999,44.82,544.799988,42.48,41.169998
209,2010-04-12,28.36566,58.849998,,14.15,29.700001,45.369999,534.799988,42.450001,40.599998
210,2010-04-19,28.670772999999997,57.98,,14.27,28.924999,45.119999,546.0,43.130001,40.950001
211,2010-04-26,29.064467999999998,56.790001000000004,,14.51,28.174999,44.66,560.400024,43.509997999999996,41.330002
212,2010-05-03,25.964126999999998,70.230003,,12.94,34.825001,50.029999,446.799988,39.630001,36.310001
213,2010-05-10,24.920837,74.160004,,12.45,37.400002,51.68,410.799988,38.630001,34.810001
214,2010-05-17,23.070477,81.089996,,11.56,43.325001,54.200001,351.600006,35.59,32.27
215,2010-05-24,24.349981,76.099998,,12.22,38.400002,52.200001,390.399994,37.16,34.040001000000004
216,2010-05-31,23.375587,82.339996,,11.71,41.325001,54.369999,359.600006,36.0,32.68
217,2010-06-07,24.202347,75.410004,,12.13,37.349998,52.639998999999996,395.600006,37.599998,34.23
218,2010-06-14,24.753517000000002,70.040001,,12.41,35.099998,50.279999,419.200012,38.580002,35.41
219,2010-06-21,24.556670999999998,68.910004,,12.27,34.625,49.740002000000004,421.200012,38.450001,35.66
220,2010-06-28,22.657097,82.510002,,11.34,41.275002,54.799999,351.200012,35.299999,32.599998
221,2010-07-05,23.877548,74.709999,,11.98,36.924999,52.389998999999996,388.399994,37.240002000000004,34.34
222,2010-07-12,23.710228,75.550003,,11.97,37.174999,52.049999,384.0,36.91,34.16
223,2010-07-19,24.448404,70.019997,,12.12,34.424999,50.080002,412.399994,38.130001,35.389998999999996
224,2010-07-26,24.615725,70.389999,,12.33,34.525002,50.189999,410.0,38.259997999999996,35.34
225,2010-08-02,25.206266,66.720001,,12.57,32.599998,48.919998,429.60000599999995,39.18,36.200001
226,2010-08-09,23.641333,76.199997,,11.79,37.174999,52.299999,376.0,36.779999,33.790001000000004
227,2010-08-16,23.29685,79.709999,,11.62,39.049999,53.68,356.799988,36.080002,32.950001
228,2010-08-23,24.05471,77.209999,,11.82,37.099998,52.869999,372.799988,37.130001,33.57
