Name,Riskiness R
ANGL,0.00027182573882946723
CJNK,1891967368710.3284
GHYG,0.006308791010953667
HYG,0.0004458428328164124
HYGH,0.00023792218911123639
HYHG,0.0002076739746784446
HYLD,0.0001804187203812929
HYLS,2.756045707730037
HYND,0.00021449286552151223
HYS,0.6692543045685801
HYZD,0.0008292775034734139
JNK,0.0004066239024065529
PGHY,2437.761292951367
PHB,0.0004902209740579837
RIGS,1729724537089.642
SHYG,550375.0405950999
SJB,0.0004388289340301181
SJNK,1324209178293.0054
UJB,2.604625692202314
WBII,2365930700265.5596
