Name,Riskiness R
AAXJ,[1.92286162]
ACWX,[9.71480057e+11]
ADRA,[6.26673987e+10]
AIA,[0.36636251]
AXJL,[3.41739836e+11]
AXJV,[4.48374787e+11]
CHIQ,[0.64976023]
CWI,[2.11875141e+11]
DBAP,[6.10440154e+10]
DNL,[1.66102627]
EEMA,[1.5951081]
EMCG,[8.11780833e+11]
FPA,[4.22081414e+11]
FPXI,[0.65435515]
HEEM,[1.50164372e+11]
IEMG,[3.41752116]
IHDG,[7.21909625e+09]
IPOS,[8.48569009e+11]
IQDE,[1.91232647e+12]
IQDY,[3.81143051e+11]
PAF,[1.39094549]
QEMM,[6.91527909e+11]
REMX,[0.50919992]
VEU,[9.11953494e+11]
VXUS,[4.24787373e+11]
XSOE,[0.52376033]
