Name,Riskiness R
ERUS,[0.79067116]
FCOM,[0.10471056]
FONE,[0.11713834]
IXP,[0.26255175]
IYZ,[0.25774173]
LTL,[0.56496451]
VOX,[0.15854589]
WBIF,[0.13992987]
XTL,[0.12638803]
