,Date,ERUS,FCOM,FONE,IXP,IYZ,LTL,VOX,XTL
0,2014-01-01,-0.10743180754696996,-0.019637357481924606,-0.010018969258612061,-0.032842032731792065,-0.022435971525959636,-0.05261068344676482,0.010909616510308974,0.011950437429299632
1,2014-02-01,-0.055384540722031465,-0.011923508476773528,0.06119357149250677,0.018433333385371748,-0.0017342542439710087,-0.014376664625699418,-0.00639417634417208,0.015072710831644262
2,2014-03-01,0.002171475629899929,0.042236290138199406,0.011703978883684497,0.008446397555541059,0.041695573626710496,0.08634255901139548,0.05334151554237729,0.008662061427643794
3,2014-04-01,-0.06067156695047664,0.006741529393203484,-0.0012670232092240837,0.020041744287852742,-0.016569260522775766,-0.10868316847855246,-0.00810733079909337,-0.04326118008231034
4,2014-05-01,0.1176468379839051,0.03947346916395335,0.047322033485083626,0.018475126774221067,0.027957654651137198,0.08538397832253027,0.03873502178743416,0.026615227607863428
5,2014-06-01,0.04385976207458229,-0.003722828887568378,0.030844090175180222,-0.09213929593067596,0.005970104636423151,0.04286818490573645,0.0030789295942119797,0.014839915962402188
6,2014-07-01,-0.08569428249999722,0.012658620630943498,-0.02275640274363225,0.12089145670280114,0.01914959443625146,0.08128753151236226,0.011823477831134993,-0.015526957191773083
7,2014-08-01,-0.0070535789326486974,-0.00185296056204201,0.045760317374643034,0.006698962762835023,-0.0013015809862241125,-0.040706346296510945,-0.006516533234021528,0.02314741304389934
8,2014-09-01,-0.0562841132807481,-0.015224647142524863,-0.04736175599233486,-0.026772050274395633,-0.02411215828971135,-0.013728495649390163,-0.01266688991703434,-0.02981416435291261
9,2014-10-01,-0.022582658883951827,0.03286914074275875,0.02011564646927766,0.014946832139250616,0.02264551206504882,-0.10445244322781198,0.02084773075887139,0.03224004830059081
10,2014-11-01,-0.11433639266164006,0.015073409580167974,0.02315034032521438,0.01644992711702115,0.009845614402193737,0.1383418815372176,0.00886435394506835,0.01913624165033065
11,2014-12-01,-0.23277590186227848,-0.03549423486303852,-0.006501753604094995,-0.07382850438042024,-0.04842363720242801,-0.0704516139676997,-0.05772432928385389,-0.005340237320574777
12,2015-01-01,0.039036262376490244,-0.011447574650068872,0.006580049289239115,0.03614580583083424,-0.01962874982617681,-0.057912879713253984,0.007792091270683483,-0.02590482937245333
