,ETF,RiskinessR
0,EMIF,0.19889425832270352
1,FUTY,0.0
2,FXU,0.0
3,GHII,0.00017970943546383715
4,GII,0.0
5,IDU,0.0
6,IGF,0.0010195571858779466
7,INXX,0.11346215649570783
8,JXI,0.0
9,PSCU,0.0009460325504376567
10,PUI,5.7257385937206885e-06
11,PXR,0.040899459818480324
12,UPW,0.0027600834571509646
13,UTES,0.0
14,VPU,0.0
15,WBIC,0.0
16,XLU,2.6972349752843134e-05
