,ETF,RiskinessR
0,AGGY,0.0
1,AGND,0.03174554198068889
2,AGZD,0.9999999999993113
3,BIV,0.0
4,BLV,0.0
5,BND,3.44984930352263e-93
6,BOND,0.9999999164711322
7,BYLD,0.9999999999995096
8,FBND,0.9873291808365213
9,FCOR,0.0
10,FIBR,0.9999999999990941
11,FLTB,0.9999999999998331
12,FTSD,0.0
13,FWDB,0.0
14,GBF,1.512273973035366e-216
15,GVI,0.9999999999999151
16,HOLD,0.9999998030168425
17,IAGG,0.9999999999988936
18,ILTB,0.0
19,ISTB,0.999999999999852
20,IUSB,0.9987173444755729
21,KCNY,0.0
22,LDUR,0.0
23,MINC,0.9999999999997828
24,MINT,0.0
25,NEAR,0.0
26,NFLT,0.9999999999991633
27,RAVI,0.0
28,SAGG,0.9999999972611474
29,SCHZ,0.9999516579666976
30,SPAB,0.4828965524787102
31,TOTL,0.9999999999868302
32,ULST,0.0
33,VBND,0.0
34,WYDE,0.9999069662426312
35,XMPT,0.0
