,ETF,RiskinessR
0,BJK,0.11708103362983455
1,CARZ,0.9999999999998886
2,CHIQ,0.12617147967652298
3,FDIS,0.0003626788470738723
4,FXD,0.11187453160920131
5,INCO,0.006324610609754612
6,IYC,0.0003814605711859053
7,JHMC,0.03471675970312901
8,PBS,0.029572299793592646
9,PEJ,0.14974806195070928
10,PEZ,0.3575177841988522
11,PMR,0.999999999999594
12,PSCD,0.012740749103149153
13,RCD,0.12440610561458783
14,RETL,1.0894151478133982e-74
15,RTH,0.0017726786451337728
16,RXI,0.010266050427884846
17,SCC,0.9999999999999768
18,UCC,0.023818559965666515
19,VCR,0.0007641260969917344
20,WBIA,0.9999999999996529
21,XLY,0.0009233249993434239
