,ETF,RiskinessR
0,AMJ,0.9999999999999001
1,AMLP,0.9999999999998922
2,AMU,0.999999999999756
3,AMUB,0.384439529089639
4,AMZA,0.9999999999998633
5,ATMP,0.13708601837072593
6,CRAK,0.0008789197632879872
7,DDG,0.9999999999999142
8,DIG,0.9212042569394837
9,DRIP,1.1899144056980678e-216
10,DUG,0.9999999999998092
11,ENFR,0.07920582348154796
12,ENY,0.9999999999997734
13,ERY,0.6664166631456093
14,FAN,0.11374545734783836
15,FCG,0.9999999999999827
16,FENY,0.9999999999997172
17,FILL,0.014052024585850337
18,FRAK,0.9999999999998833
19,FXN,0.9999999999998933
20,GASL,5.005116977969093e-226
21,GEX,0.9999999999955983
22,GREK,0.9999999999996614
23,GRID,0.01813287245911391
24,GUSH,7.815272393080956e-238
25,ICLN,0.9999999999995517
26,IEO,0.7486018766530431
27,IEZ,0.9999999999999754
28,IMLP,0.9999999999994938
29,IXC,0.07409282020656771
30,IYE,0.9999999999970078
31,KOL,0.00021354509398408274
32,MLPA,0.9999999999998108
33,MLPB,0.3591402396304259
34,MLPC,0.999999999999749
35,MLPG,0.5074400640774317
36,MLPI,0.9999999999998197
37,MLPO,0.9611451910398597
38,MLPY,0.48072559711731866
39,NLR,0.000491619735775918
40,OIH,0.9999999999999238
41,PBD,0.9999999999996448
42,PBW,0.9999999999998348
43,PSCE,0.9999999998462011
44,PUW,0.14483426824230772
45,PXE,0.9999999999996604
46,PXI,0.9999999999996803
47,PXJ,0.9999998497175796
48,PZD,0.002652730231109673
49,QCLN,0.08946385414573214
50,RYE,0.9999999999986776
51,TAN,0.9999999999999806
52,VDE,0.9999999999980348
53,XES,0.9999999936642563
54,XLE,0.7273937376559306
55,XOP,0.9999999999989423
56,YLCO,0.0033793023589820254
57,YMLI,0.33143823449448456
58,YMLP,0.9999999999998067
59,ZMLP,0.9999999999999574
