Name,Riskiness R
BDCL,[11.2708677]
BDCS,[2.86928195e+11]
BIZD,[6.11701777e+11]
CHIX,[19.11503412]
DXJF,[2.28505944e+11]
EUFN,[9.35507114e+11]
FAS,[0.33678296]
FAZ,[1.13233712e+13]
FINU,[0.32426688]
FINZ,[1.17433423e+13]
FNCL,[0.27870913]
FXO,[0.67416646]
IAI,[0.30511162]
IAK,[0.44967256]
IAT,[0.37560131]
IXG,[9.94471834e+10]
IYF,[0.5827972]
IYG,[0.3057738]
KBE,[0.38062571]
KBWB,[0.31017914]
KBWD,[2.91059341e+12]
KBWP,[0.32121147]
KBWR,[0.42470304]
KCE,[3.1959156e+11]
KIE,[0.27272207]
KRE,[0.35084716]
LMLP,[1.51429725e+12]
PEX,[8.63582119e+10]
PFI,[4.81438795e+12]
PHDG,[2.46650574e+12]
PSCF,[0.6045046]
PSP,[1.19980222e+11]
QABA,[0.34240363]
RWW,[0.34887912]
RYF,[0.12466119]
SEF,[3.73942967e+12]
SKF,[1.22036224e+13]
UYG,[0.29546195]
VFH,[0.26002817]
VQT,[2.98679464e+12]
XLF,[0.13489269]
