AMJ,AMLP,AMU,AMZA,ATMP,CRAK,DDG,DIG,DRIP,DUG,ENFR,ENY,ERY,FAN,FCG,FENY,FILL,FRAK,FXN,GASL,GEX,GREK,GRID,GUSH,ICLN,IEO,IEZ,IMLP,IXC,IYE,KOL,MLPA,MLPB,MLPC,MLPG,MLPI,MLPO,MLPY,NLR,OIH,PBD,PBW,PSCE,PUW,PXE,PXI,PXJ,PZD,QCLN,RYE,TAN,VDE,XES,XLE,XOP,YLCO,YMLI,YMLP,ZMLP
-0.09578326204071884,-0.09786607799852834,-0.09439382354646046,-0.09510762730768746,-0.11279537033182065,0.047653080182349324,-0.006064956425896111,-0.014274559230346397,-0.07323927355435063,-0.009215804706927944,-0.081553411931742,-0.059186114655734576,-0.032765270408052286,-0.0053146149405010465,-0.052459097373205185,-0.0005161628143208079,0.0005344771684133547,-0.016023766403927338,0.0074441426570070685,-0.20927838144329905,-0.0013277851150958564,-0.1704762240638057,0.0030283321605138512,-0.024553432918058813,-0.0387754320046212,0.003526294906549821,0.021513696989273644,-0.09716420950381507,-0.012582625163736809,-0.004437542840269383,-0.08024709458318527,-0.09324185094369324,-0.03344478176627641,-0.06242902245134493,-0.060613605058485766,-0.06342856398963685,0.01665274119014046,-0.0806281325333959,-0.04227985943102306,0.017991511208815283,-0.012259109344950472,-0.040358910217960814,0.0382060443523236,-0.025498442332664517,0.03464191851905393,0.008585416068597893,0.01250007083479555,0.017453720630984826,-0.009358273083360704,-0.010464491959174704,-0.10939589959492883,0.004797047240957968,0.033600999133323685,-0.00014694650594064632,0.014203703403814013,-0.10808380627116856,-0.1154361394030952,3.0897096733327434,-0.10729595277259583
-0.016689180732746743,-0.01712887438825441,-0.017565041481331284,-0.1150795789733994,-0.03556096903542082,-0.04174753716931042,0.11378324972108665,-0.21195367020001002,0.5875758122856152,0.2154575124121152,-0.07822421635548871,-0.11271303630367872,0.3238481929669225,0.011576120725324159,-0.2283737408781873,-0.1172521992115069,-0.1271366031047571,-0.19903501388158432,-0.14716753059922474,-0.5997392151136589,0.041025654584779234,-0.08610790765647132,0.008152083378168749,0.011441668760425707,0.044586119381555434,-0.1542884185566032,-0.13386599129412602,-0.019919202155997483,-0.10704035802826664,-0.11221818349500767,-0.16107383393548294,-0.0006420542560655909,-0.2204152920091072,-0.06416473709685669,0.003496710396311566,-0.019490157061412664,-0.1841516629488901,-0.17108436275445724,-0.02466998916015012,-0.15006428923191195,0.01241126034259904,0.10747677914517466,-0.180266626733546,-0.07421498423783493,-0.1848957509293918,-0.15948921187154005,-0.14088606447816068,-0.011099840095390136,0.08299559698495015,-0.1263450870133309,0.1544836978227147,-0.1181837894737708,-0.1489569984265201,-0.11320192792254093,-0.18610290355328127,0.10587810911874326,-0.021521291527374337,-0.2112940202078884,-0.1639422241373024
-0.11425610019210035,-0.13692946058091288,-0.11361143825285648,-0.21883371957044312,-0.08221400846595152,-0.0449041803169038,0.02578146921643601,-0.08298657154271513,-0.015555852440188497,0.02824551419424477,-0.045757560081258385,0.0012644884489211366,0.012964857362964244,-0.04105565625126073,-0.04980391435965475,-0.029764952966650306,-0.0027330148948630515,-0.0040598739810325055,-0.062446467649012974,-0.3631922357266373,-0.0998423107062484,-0.09854042498549972,-0.08229251567232293,-0.245852154759735,-0.10900698907536108,-0.0686532834529753,-0.07602422544719671,-0.13405990423543446,-0.00857859276300772,-0.029058057600068164,-0.0058844969507661025,-0.1308950296706438,-0.02751898685533527,-0.11908175660445418,-0.1777002777461153,-0.14831789684745156,-0.14794805697881694,-0.14970932774538814,0.042194205122108766,-0.05940293727142117,-0.1054022220515386,-0.1465967442812365,-0.10817309648227408,-0.07142861298994335,-0.07305697488944071,-0.08615459628150772,-0.11529905659897473,-0.08472179429116168,-0.10378352936877436,-0.03829336930879098,-0.16434982281923874,-0.02979018792522606,-0.1122080990005881,-0.02623540976700666,-0.052658856726469465,-0.05876874158238121,-0.15530888158992764,-0.08760683098465004,-0.10465795427622514
-0.025720947564088548,-0.026923076923077032,-0.02352950591821542,0.011746930014579372,-0.016978689215475434,-0.03485391204818842,0.010053396357853722,-0.047183667193611036,0.3462622276548762,0.01772659076657726,0.016284672356794153,0.026825569532939384,0.027618746449349998,-0.036011023068121935,-0.20238102420579612,-0.022465090300500947,-0.013108588265052179,-0.07841611043047209,-0.08204330933306668,-0.5703324844159838,0.016102673106488476,-0.08769453837184939,0.024861017438814602,-0.3960000540480737,-0.03333321297539875,-0.09146474817890768,-0.01823707037535548,-0.025802513341307284,-0.007336640376055528,-0.022678459617306242,0.09612140255374436,-0.005537069300771178,0.03784429923153464,0.009701370011965296,4.657863786559621e-05,0.018416314632095775,-0.036739435009007206,-0.012322135974022515,0.006380616615010397,-0.00823725951518618,-0.0019703380249815085,0.004950387455309671,-0.12087914513527614,-0.014388508060438912,-0.16658371366622768,-0.06153839526592935,0.0009615137284530793,0.038304047236138686,-0.006968650119251332,-0.06534776249857968,-0.06981357752301799,-0.02213028869329295,-0.03034223358536917,-0.02800211784439234,-0.13653913286675345,-0.04856266166469178,-0.039399817266549564,-0.1639343614328237,-0.0892741875700317
0.10718367442293933,0.07905138339920956,0.10091341245261808,0.09869204834690372,0.09737238037841328,0.11833234120946085,-0.09704509201472987,0.18694822562705135,-0.5456719942247984,-0.1841510181975897,0.0854599437279458,0.1175618925228283,-0.27728619583203706,0.11494268728212535,0.2298508367731335,0.09068310674067603,0.10056898888088613,0.19039592834669009,0.1905566112170453,0.5547620568310747,0.06599807592918427,0.16744202817169762,0.10916058273529658,0.7536424267492836,0.11058246649870918,0.16547100414524346,0.1055724324158457,0.10187738612724502,0.0905393778748974,0.090624111776646,0.15846161088035038,0.11435203914791772,0.09474626645913208,0.05247607850007722,0.14254714995761078,0.08235822661070076,0.16453499904469746,0.10251791453322344,0.06602535256943873,0.10506642405610322,0.07008884965257346,-0.004926001837607944,0.2475000230158073,0.1566536802924473,0.19391376154905474,0.12905458779902393,0.1200769882940426,0.07951299387665102,0.03929823891790408,0.15101074126829614,-0.033688677681870415,0.09730189311178604,0.15179745913855744,0.093849500101168,0.2337397845751315,0.12226653189276725,0.17119925435219374,0.2003473025291196,0.100846055165069
0.10889638944125243,0.1181318681318682,0.1135966058266882,0.1363636455522813,0.1365395611485588,-0.02049081208063769,-0.08370653938269446,0.18778504904957247,-0.44117648005546223,-0.17128429817433796,0.11643108169573195,0.12658847673809634,-0.24988661466431936,0.031066647065526733,0.1808487553876692,0.10149704170215533,0.10057495480710048,0.17055911688976308,0.12181637246660662,0.5761866931015815,-0.018253717960052675,0.04249646978451492,0.04604309979927535,0.5730739933809256,-0.014989163726369784,0.12281424056680301,0.13265601917646538,0.13361315811413954,0.0914942757890769,0.09802641443500812,0.15405024482361687,0.1362704763539648,-0.05414292561106873,0.13585269300343694,0.1019923776637254,0.0964657248359368,0.10834563007313236,0.18760199400082672,-0.020713670568239195,0.1288990462416417,0.010147643327376436,0.023114164615639008,0.12950084186949035,0.11811007175551168,0.12714594196985576,0.17538335654117224,0.1329330010016557,-0.001990806175573598,0.008830628257885255,0.15103307855867226,0.05119154992652868,0.11123141529929413,0.13160310269322228,0.09843871439296638,0.18087042420127475,0.03766475715353637,0.16493927640363729,0.11881173739239335,0.1869905594945299
0.005659077551984099,0.0,0.006870776389489118,0.11053383126536656,0.009241114261098663,-0.0467789075247481,0.00676694218790457,-0.02626515041904676,-0.03271696944567388,0.01612576339265517,0.01986075478696181,-0.03364241327846888,0.013905733006914979,0.021757232514445637,0.010288014826890379,-0.010416812394010988,-0.026631915315381283,0.0006045891104463597,-0.0474383346304224,0.0150595829516435,-0.0245352230880898,0.07133761493474182,0.005502219743166723,-0.04009116698013539,-0.0521739427347994,-0.022863960777022237,-0.07098550939243434,0.0015853816322702835,-0.027631005824389168,-0.012651588165144138,-0.07709993437434016,0.001803271976264184,0.021800747156318568,0.02709506844074113,0.05325829844472599,0.04130085541153354,0.020392944672018017,0.07887337231393844,-0.0018848567996612984,-0.064247721479324,-0.012785378866462293,-0.051219591867451064,-0.07578448631528757,-0.03496499339964417,-0.02760440757803429,0.007901089767187687,-0.08554119981296213,0.022606453869719673,-0.01208036875957197,-0.015078208920840866,-0.075986555955791,-0.017011652922667736,-0.07022027522638033,-0.009333396332570763,-0.006155629587311106,-0.019963631614751627,0.033358063326400934,0.013274404430371456,0.02601010138733481
0.07178446939833434,0.04176904176904175,0.06709973578928685,0.05378314892700901,0.08749291187045613,-0.021681594707736698,-0.03136671877953268,0.05029501511639409,-0.03970578098852008,-0.07238231656673362,0.04040907068183629,0.012004590060145664,-0.107930908993028,0.029483854110473294,-0.007739225237265744,0.02105275749633405,0.017703828709432903,0.0006041622295039506,-0.01062422769119848,-0.03469731910272013,-0.022990736161635054,-0.14030911187419368,-0.04295508003430614,-0.0996624291549057,0.006880691492725082,-0.00211119998740505,0.031258596498933866,0.07532873908303114,0.03160933840380066,0.024025698172426252,0.148378785701635,0.06580346781543488,0.1925415001463106,0.0006135070158410528,0.026823417170846558,0.05171136545157511,0.0,0.03963001399634609,0.049727276452124894,0.04055493690685658,-0.01757635424412875,-0.01799497890809089,0.03459321273360201,-0.010869565720759049,-0.0792123588457665,-0.00966812382787003,0.0074503126499951295,-0.03641084854605908,-0.029212064476061176,0.02077625708515056,-0.04770572582215315,0.02246573111562746,0.033075981943213664,0.020487550007644968,-0.019988869165250386,0.043615191404835114,0.06918179849509036,0.04171708964974333,0.017259722097857602
0.00314357415656916,0.00864779874213832,0.005508364637609859,-0.024221667890351548,0.014421142344554085,0.0012973412728906149,0.030069321164732564,-0.040089705944258966,-0.0076570014577560935,0.034633823517982665,0.017621031124643517,-0.009795748880368568,0.022058898274218124,0.04151049697386212,0.011209014719864196,-0.013809388796902144,-0.012612593696005122,-0.0048308102596089815,-0.02119025999773329,-0.009172012890431331,0.05068394286706024,0.03872754012348265,0.08123932375156269,-0.07097221168510418,0.05589718427828756,-0.008638809993601998,-0.02420652379857779,0.007991860886199628,-0.004551993001031388,-0.015666488005203788,0.15092309550171906,0.0034424740773426085,0.0,0.030626017069691144,-0.023673713468947432,-0.010965937184906035,0.0,0.005082675862953556,0.004996912769279008,-0.03623929796514341,0.040331723122309024,0.038488450086565366,-0.030959732128542094,0.06802583626094755,0.042815185507794735,-0.015840161971119957,-0.07479434722413904,0.06199051055243784,0.08579107513674293,-0.004033614387744917,0.021946802881109853,-0.013582450218601152,-0.054954439732184265,-0.006094751755504536,-0.01397743020251174,0.053506970734227666,0.02191799851874867,0.048842122552723376,0.0412061964373048
-0.028517752275488764,-0.023382696804364826,-0.028386371965323193,0.06230281651085137,-0.0017772039096932465,0.04459070943195352,-0.02694602112483746,0.020408179407281457,-0.2333334145697364,-0.035490992495408116,0.026046509738858737,0.04468588494436612,-0.0673643169885507,0.015337340110188887,0.04670219067250473,0.016307165112433762,0.008662655871661635,0.04733007337382334,0.01582922094511904,0.12384280400693501,0.007656809583910234,-0.021305036661868462,0.005319275037878542,0.21034528937626976,0.009890021937191377,0.04566537666854794,-0.0053235974929546044,-0.015857232993326628,0.008214872100841835,0.011990325688533738,-0.005660393259906461,-0.019725551106065442,0.0165230159793683,-0.010875815481651795,0.022954265302740404,0.009733951779790143,0.01672152077657772,0.02603243657822033,-0.03957827180069448,-0.01986519786762197,0.007286094458668334,-0.025445189997179967,0.0920128714685228,0.038263084652836385,0.06123475877282419,0.06260063862960916,-0.04452359543254753,0.0322170505282174,-0.0310480431859932,0.0264293417889252,-0.023809578822303317,0.01897299267703753,-0.00791836771826203,0.016770759367373027,0.07416062343090804,-0.02091332153829241,-0.009383502985151884,0.012043207669925265,0.006243498002938339
