Name,Riskiness R
ARKG,[0.30292429]
BBC,[0.84570018]
BBH,[0.33508144]
BBP,[0.19428095]
BIB,[1.0179975]
BIS,[1120.38942063]
CURE,[0.36146057]
FBT,[0.32917031]
FHLC,[0.10919594]
FXH,[0.20197764]
IBB,[0.47050817]
IHE,[0.41306365]
IHF,[0.11435853]
IHI,[0.05357736]
IXJ,[0.1180335]
IYH,[0.11106606]
PBE,[0.85433198]
PJP,[0.73940971]
PPH,[1.1047776e+11]
PSCH,[0.09264036]
PTH,[0.25785079]
RXD,[2.83425923e+12]
RXL,[0.2400207]
RYH,[0.10669049]
SBIO,[0.43079257]
VHT,[0.1138822]
XBI,[0.30221214]
XHE,[0.08004898]
XHS,[0.28940304]
XLV,[0.10319409]
XPH,[2.64724653e+11]
