Name,Riskiness R
AUSE,[1.48671637e+12]
DBJP,[1.12877639]
DBKO,[1.92971811]
DFJ,[0.16521563]
DIM,[8.336246e+09]
DLS,[0.46166353]
DOL,[7.07154588e+11]
DOO,[1.28768171e+12]
DTH,[6.27836336e+11]
DVYA,[1.79670542e+12]
DWM,[6.32221455e+11]
DXJ,[1.23037539]
DXJF,[3.86127284]
DXJS,[0.26532061]
ENZL,[0.43648685]
EPP,[2.3281809e+12]
EWA,[1.70566843e+12]
EWH,[4.25199317e+11]
EWJ,[2.54204087e+11]
EWS,[9.65999933e+11]
EWT,[2.36706239]
EWV,[4.64344872e+12]
EWY,[1.5730058]
EZJ,[0.61323263]
FAUS,[6.29453164e+10]
FDT,[3.65028873e+11]
FDTS,[1.15462445e+12]
FHK,[5.6377391e+11]
FJP,[5.85243149e+10]
FKO,[3.7634504e+11]
FNDC,[0.40936535]
FNDF,[9.41914057e+11]
FPA,[3.76125643e+11]
GWX,[4.36501633e+11]
HEWJ,[1.46152959]
IDHQ,[1.64962602e+11]
IDOG,[8.63195547e+11]
IPAC,[3.79704418e+11]
JPMV,[0.51389344]
JPNL,[0.64188358]
JPXN,[1.75115968]
KORU,[0.766875]
PAF,[2.15824288e+11]
PDN,[1.21171807e+11]
PXF,[1.26264995e+12]
SCJ,[0.21600281]
VPL,[2.15510387e+11]
