,Symbol,ETF Name,Asset Class,Total Assets ,YTD,Avg Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,4 Week,1 year,3 year,5 year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETFdb.com Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Overall Rating,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
12,PEJ,Invesco Dynamic Leisure and Entertainment ETF,Equity,"$90,586,853.00",5.78%,"19,511",$42.10,-0.68%,No,No,-0.38%,3.59%,-9.05%,29.17%,34.05%,"-$29,443,233.00",$0.00,"-$29,443,233.00","-$2,505,253.50","-$116,530,534.50","-$121,363,188.50",All Cap Equities,2005-06-23,0.63%,,$0.31,2018-12-24,$0.07,0.74%,18.17,0.98,30,48.04%,35%,15%,1099,$41.10,$42.82,$41.99,$42.26,52.04,B-,B+,B-,B,B+,C+,C+,3.96,5.56%,7.75%,313.99,10.96%,0.00%
13,PSCD,Invesco S&P SmallCap Consumer Discretionary ETF,Equity,"$77,888,421.00",9.51%,"6,005",$59.99,-0.12%,No,No,-0.20%,5.69%,-0.95%,41.64%,39.76%,"$5,961,512.50","$5,961,512.50","$5,961,512.50","$5,527,434.00","-$29,328,495.00","-$56,076,791.50",Consumer Discretionary Equities,2010-04-07,0.29%,,$0.76,2018-12-24,$0.27,1.27%,17.35,1.04,95,25.49%,35%,15%,1099,$57.73,$61.10,$59.78,$60.23,54.84,B+,B-,A,A,B,B-,A-,4.54,30.00%,19.26%,42.79,4.19%,0.20%
14,RCD,Invesco S&P 500® Equal Weight Consumer Discretionary ETF,Equity,"$69,210,295.00",10.22%,"11,279",$99.04,0.00%,No,No,1.13%,8.26%,-3.92%,28.48%,41.31%,$0.00,$0.00,$0.00,"-$12,337,203.00","-$40,397,190.50","-$91,932,405.50",Consumer Discretionary Equities,2006-11-07,0.40%,Charles Schwab,$1.50,2018-12-24,$0.56,1.52%,16.09,1.04,66,17.23%,35%,15%,1099,$92.67,$99.77,$98.74,$99.19,59.92,B+,B-,A-,A-,A-,B+,B,4.61,34.44%,20.99%,86.26,5.98%,1.00%
15,PBS,Invesco Dynamic Media ETF,Equity,"$57,062,394.00",11.65%,"30,155",$31.73,0.00%,No,No,1.05%,7.93%,4.16%,35.92%,30.38%,"-$1,163,499.00","$1,560,464.50","$3,103,272.50","$6,387,459.50","-$59,222,208.50","-$260,400,349.00",All Cap Equities,2005-06-23,0.63%,Charles Schwab,$0.26,2018-12-24,$0.07,0.85%,19.49,1.02,30,48.89%,35%,15%,1099,$29.60,$31.96,$31.60,$31.88,60.69,B+,A,B,A,B,C+,B-,3.5,1.11%,3.07%,16.05,0.00%,0.25%
16,WBIA,WBI Bull|Bear Rising Income 2000 ETF,Equity,"$36,094,570.00",0.35%,"7,853",$21.22,0.14%,No,No,0.26%,0.24%,-17.55%,1.30%,,"-$1,059,105.00",$0.00,"-$1,059,105.00","$3,177,285.00","-$65,991,710.00","$51,050,610.00",All Cap Equities,2014-08-25,1.08%,,$0.21,2018-12-28,$0.03,1.00%,-9899.0,0.28,25,46.69%,35%,15%,1099,$21.06,$21.26,$21.18,$21.26,42.53,,,C,,,,,3.93,9.44%,7.30%,21.92,0.00%,0.72%
17,JHMC,John Hancock Multi-Factor Consumer Discretionary ETF,Equity,"$35,659,270.00",9.52%,"11,916",$30.73,-0.39%,No,No,1.12%,7.04%,-3.58%,37.89%,,"-$2,644,698.60",$0.00,"-$2,644,698.60","-$13,337,687.80","$14,871,796.70","$22,757,608.70",Consumer Discretionary Equities,2015-09-28,0.40%,,$0.40,2018-12-24,$0.23,1.30%,17.6,1.06,143,28.90%,39%,20%,1099,$28.97,$30.95,$30.69,$30.76,58.59,,C+,C+,,,C,,4.22,11.11%,12.02%,59.96,8.54%,1.03%
19,PEZ,Invesco DWA Consumer Cyclicals Momentum ETF,Equity,"$30,717,912.00",9.26%,"18,132",$50.99,0.30%,No,No,0.81%,7.51%,-1.70%,27.49%,32.78%,"-$24,566,131.00",$0.00,"-$24,566,131.00","-$15,462,148.00","-$198,996,594.00","$30,911,376.50",Consumer Discretionary Equities,2006-10-12,0.60%,,$0.19,2018-12-24,$0.05,0.37%,35.96,1.1,39,34.90%,35%,15%,1099,$47.88,$51.51,$50.88,$51.22,56.06,B,C+,B,B,B,B,B,4.24,12.22%,12.57%,60.73,6.80%,0.00%
20,BJK,VanEck Vectors Gaming ETF,Equity,"$28,333,512.00",14.61%,"11,368",$37.85,0.58%,No,No,3.22%,10.74%,-20.82%,34.84%,-12.13%,$0.00,$0.00,$0.00,"-$23,070,277.00","$5,688,912.50","-$40,629,518.50",Consumer Discretionary Equities,2008-01-22,0.65%,,$1.13,2018-12-20,$1.13,3.01%,14.91,1.13,43,56.02%,35%,15%,1099,$34.11,$37.73,$37.79,$37.88,64.42,B,B,C+,B,B-,A+,B,5.16,51.11%,37.48%,66.12,98.45%,0.00%
21,CARZ,First Trust NASDAQ Global Auto Index Fund,Equity,"$24,037,202.00",9.44%,"9,719",$34.31,0.20%,No,No,-0.16%,8.46%,-19.26%,14.82%,0.78%,$0.00,$0.00,$0.00,"$6,410,276.00","-$5,315,406.00","-$27,653,340.50",Consumer Discretionary Equities,2011-05-09,0.70%,,$0.89,2018-12-18,$0.24,2.60%,6.95,1.01,35,60.91%,35%,15%,1099,$31.85,$34.78,$34.25,$34.36,59.36,C+,B,C,A+,C+,C,B-,3.79,3.61%,5.50%,30.09,0.11%,7.53%
22,UCC,ProShares Ultra Consumer Services,Equity,"$20,224,435.00",16.19%,"2,679",$89.80,-2.40%,No,2x,0.96%,9.83%,-4.25%,91.05%,159.53%,$0.00,$0.00,$0.00,"-$5,439,124.00","$6,460,927.50","-$5,578,322.50",Leveraged Equities,2007-01-30,0.95%,,$0.14,2018-12-26,$0.09,0.15%,21.82,2.16,170,55.68%,35%,15%,1099,$83.18,$91.47,$89.63,$90.13,54.19,B,C+,C+,B,A-,,,4.08,0.00%,9.48%,74.53,19.62%,0.09%
23,RETL,Direxion Daily Retail Bull 3X Shares,Equity,"$19,561,899.00",20.22%,"63,629",$27.85,-2.42%,No,3x,-5.54%,10.36%,-28.72%,-11.70%,82.86%,"-$1,506,303.00",$0.00,"-$1,506,303.00","-$321,021.50","-$29,969,579.50","-$10,230,403.50",Leveraged Equities,2010-07-14,1.12%,,$0.28,2018-12-27,$0.03,0.96%,13.73,3.01,96,13.43%,35%,15%,1099,$26.10,$29.96,$27.45,$28.28,48.32,A,B+,A-,B+,B,,,4.43,0.00%,16.88%,26.95,0.77%,0.11%
25,PMR,Invesco Dynamic Retail ETF,Equity,"$7,092,006.00",5.00%,"2,918",$35.42,-0.65%,No,No,0.07%,3.71%,-8.45%,5.98%,18.85%,"-$3,514,976.50",$0.00,"-$3,514,976.50","-$5,641,080.50","-$16,103,097.50","-$27,796,069.00",Consumer Discretionary Equities,2005-10-26,0.63%,,$0.44,2018-12-24,$0.14,1.22%,17.78,0.98,31,47.50%,35%,15%,1099,$34.44,$35.90,$35.40,$35.45,51.82,B,B,B-,B-,A-,A,C+,4.8,43.33%,27.92%,28.4,0.00%,0.45%
29,SCC,ProShares Ultra Short Consumer Services,Equity,"$1,620,866.00",-15.25%,"3,011",$18.59,2.59%,Yes,2x,-1.09%,-9.71%,-8.23%,-61.32%,-76.43%,"$489,543.00",$0.00,"$489,543.00","$478,418.75","-$1,898,581.25","$2,802,811.65",Leveraged Equities,2007-01-30,0.95%,,$0.19,2018-12-26,$0.07,1.01%,0.0,-2.02,169,53.52%,35%,15%,1099,$18.17,$20.32,$18.48,$18.65,43.63,B-,C+,B-,B+,A-,,,,,,,,
