,Symbol,ETF Name,Asset Class,Total Assets ,YTD,Avg Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,4 Week,1 year,3 year,5 year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETFdb.com Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Overall Rating,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
10,REM,iShares Mortgage Real Estate ETF,Real Estate,"US$1,188,691,654.00 ",8.94%,"336,156",US$43.51 ,-0.28%,No,No,1.16%,5.99%,13.26%,60.78%,52.43%,"(US$57,563,044.00)","US$2,153,677.00 ","(US$43,479,614.50)","US$145,533,745.50 ","US$275,208,375.00 ","US$341,418,505.88 ",Real Estate,2007-05-04,0.48%,,US$3.99 ,17/12/2018,US$1.02 ,9.16%,8.99,0.45,35,71.13%,35%,15%,1099,US$40.88 ,US$43.83 ,US$43.32 ,US$43.71 ,65.81,B,A,B,C,C,A+,B,2.45,2.41%,0.19%,4.76,0.00%,0.00%
11,USRT,iShares Core U.S. REIT ETF,Real Estate,"US$1,055,135,073.00 ",11.04%,"288,639",US$49.80 ,-0.64%,No,No,3.00%,11.61%,12.92%,24.85%,54.46%,"US$54,811,325.50 ","US$22,101,195.50 ","US$52,538,902.00 ","US$581,745,247.00 ","US$928,264,353.00 ","US$917,217,853.00 ",Real Estate,2007-05-04,0.08%,,US$2.54 ,17/12/2018,US$0.30 ,5.06%,35.08,0.59,160,35.35%,20%,39%,1099,US$44.55 ,US$50.35 ,US$49.14 ,US$50.38 ,64.9,,,,,,,,4.09,31.93%,9.69%,102.74,1.13%,12.13%
12,FREL,Fidelity MSCI Real Estate Index ETF,Real Estate,"US$690,303,483.00 ",10.96%,"428,221",US$24.84 ,-0.68%,No,No,3.05%,11.46%,10.97%,29.73%,,"US$44,001,835.50 ","US$19,397,036.00 ","US$63,698,167.50 ","US$338,929,128.50 ","US$632,489,010.50 ","US$662,035,330.50 ",Real Estate,2015-02-02,0.08%,Fidelity,US$1.24 ,21/12/2018,US$0.18 ,5.01%,36.17,0.73,173,35.62%,35%,15%,1099,US$22.22 ,US$25.08 ,US$24.55 ,US$25.11 ,65.49,,,A,,,,A+,4.49,79.52%,18.18%,95.92,1.27%,9.75%
13,IFGL,iShares International Developed Real Estate ETF,Real Estate,"US$507,580,611.00 ",9.17%,"142,434",US$29.51 ,-0.47%,No,No,1.72%,7.54%,-1.58%,28.99%,26.87%,"US$7,149,654.00 ","(US$11,760,408.00)","(US$8,895,186.00)","(US$121,639,123.00)","(US$121,705,753.00)","(US$202,819,753.00)",Global Real Estate,2007-11-12,0.48%,Fidelity,US$1.11 ,18/12/2018,US$0.32 ,3.73%,8.74,0.67,213,29.59%,35%,15%,1099,US$27.33 ,US$29.79 ,US$29.45 ,US$29.56 ,69.59,A,A+,B+,A-,B+,B+,A-,5.48,80.25%,48.09%,80.67,0.00%,19.22%
14,MORL,ETRACS Monthly Pay 2xLeveraged Mortgage REIT ETN,Real Estate,"US$426,269,917.00 ",15.74%,"296,287",US$14.71 ,0.55%,No,2x,2.22%,7.84%,7.17%,109.44%,82.32%,US$0.00 ,US$0.00 ,US$0.00 ,"US$51,785,450.65 ","US$183,411,171.65 ","US$439,399,026.65 ",Leveraged Real Estate,2012-10-17,0.40%,,US$0.84 ,13/12/2018,US$0.07 ,5.69%,0.0,0.99,25,63.95%,35%,15%,1099,US$13.29 ,US$14.82 ,US$14.59 ,US$14.87 ,59.63,A+,B,A+,,B+,,,,,,,,
15,KBWY,Invesco KBW Premium Yield Equity REIT ETF,Real Estate,"US$364,328,466.00 ",18.64%,"88,018",US$31.80 ,-0.87%,No,No,2.35%,11.76%,4.03%,35.59%,41.23%,"(US$8,706,450.00)",US$0.00 ,"(US$4,584,108.50)","US$6,760,566.00 ","US$297,820,293.50 ","US$348,773,103.00 ",Real Estate,2010-12-02,0.35%,,US$2.50 ,22/1/2019,US$0.17 ,7.85%,54.32,0.85,31,43.97%,35%,15%,1099,US$28.76 ,US$32.36 ,US$31.39 ,US$32.20 ,63.03,A,B,A-,A+,B-,A,C+,2.23,0.60%,0.12%,82.24,0.00%,1.76%
16,REZ,iShares Residential Real Estate ETF,Real Estate,"US$348,004,931.00 ",9.50%,"34,539",US$68.26 ,-1.24%,No,No,2.38%,11.30%,23.48%,25.86%,71.96%,"(US$157,606.50)","US$3,372,063.50 ","(US$157,606.50)","(US$12,747,505.00)","(US$51,565,820.00)","US$29,903,718.00 ",Real Estate,2007-05-04,0.48%,,US$2.26 ,17/12/2018,US$0.54 ,3.30%,37.59,0.37,45,61.03%,35%,15%,1099,US$60.92 ,US$69.43 ,US$67.36 ,US$69.10 ,64.75,A,B+,B-,A-,A-,A-,B,3.38,18.67%,2.41%,79.78,0.00%,8.25%
17,GQRE,FlexShares Global Quality Real Estate Index Fund,Real Estate,"US$311,825,090.00 ",10.29%,"19,235",US$61.22 ,-0.76%,No,No,1.97%,9.36%,0.71%,22.61%,44.97%,"US$20,545,075.50 ","US$5,995,757.00 ","US$20,545,075.50 ","US$54,602,430.50 ","US$120,492,365.50 ","US$279,732,325.51 ",Global Real Estate,2013-11-05,0.45%,,US$1.79 ,21/12/2018,US$0.70 ,2.92%,19.65,0.67,141,31.19%,35%,15%,1099,US$55.81 ,US$62.05 ,US$60.90 ,US$61.49 ,66.11,,,A-,,,,,4.8,35.71%,27.98%,104.22,0.91%,10.30%
18,WPS,iShares International Property ETF,Real Estate,"US$233,752,483.00 ",9.63%,"124,652",US$37.80 ,-0.74%,No,No,1.91%,7.63%,-3.71%,29.42%,31.90%,"US$97,618,222.00 ","US$97,618,222.00 ","US$97,618,222.00 ","(US$80,551,430.00)","US$93,359,088.00 ","US$60,482,088.00 ",Global Real Estate,2007-08-07,0.48%,,US$1.54 ,18/12/2018,US$0.58 ,4.08%,8.93,0.64,355,26.51%,35%,15%,1099,US$34.86 ,US$38.23 ,US$37.74 ,US$37.89 ,68.86,A,B+,B,A,B+,B+,A,5.53,81.51%,49.71%,77.03,0.12%,17.96%
19,MORT,VanEck Vectors Mortgage REIT Income ETF,Real Estate,"US$157,108,275.00 ",9.43%,"43,485",US$23.32 ,0.13%,No,No,1.83%,5.95%,12.90%,61.82%,52.78%,"US$6,811,662.50 ","US$2,299,316.00 ","US$6,811,662.50 ","US$18,616,745.50 ","US$46,491,463.50 ","US$66,309,699.00 ",Real Estate,2011-08-16,0.41%,,US$1.75 ,27/12/2018,US$0.46 ,7.50%,7.02,0.5,26,63.95%,35%,15%,1099,US$21.91 ,US$23.36 ,US$23.16 ,US$23.42 ,65.29,C,B+,B+,C,C,A,C,2.44,1.81%,0.18%,4.5,0.00%,0.00%
20,SRET,Global X SuperDividend REIT ETF,Real Estate,"US$145,634,858.00 ",11.42%,"81,515",US$15.12 ,-0.72%,No,No,1.96%,8.82%,9.17%,59.98%,,"US$6,592,710.00 ","US$2,237,889.00 ","US$6,592,710.00 ","US$80,726,428.00 ","US$140,677,794.50 ","US$143,468,794.50 ",Real Estate,2015-03-16,0.55%,E*TRADE,US$1.16 ,28/12/2018,US$0.10 ,7.68%,9.35,0.66,31,34.29%,35%,15%,1099,US$13.92 ,US$15.29 ,US$15.01 ,US$15.25 ,64.75,,,C+,,,,B-,2.68,10.24%,0.36%,76.82,3.32%,2.64%
21,URE,ProShares Ultra Real Estate,Real Estate,"US$134,189,571.00 ",22.62%,"19,960",US$68.68 ,-1.17%,No,2x,5.89%,23.41%,16.61%,48.73%,100.08%,"US$455,190.00 ",US$0.00 ,"US$3,146,753.50 ","(US$39,407,742.00)","US$27,730,032.95 ","(US$180,553,217.47)",Leveraged Real Estate,2007-01-30,0.95%,,US$0.86 ,26/12/2018,US$0.44 ,1.26%,30.76,1.25,115,36.09%,35%,15%,1099,US$54.94 ,US$69.73 ,US$67.15 ,US$69.93 ,65.81,A,B+,B-,A-,A-,,,4.48,0.00%,17.89%,91.25,0.60%,8.89%
23,FRI,First Trust S&P REIT Index Fund,Real Estate,"US$115,007,660.00 ",10.92%,"67,321",US$23.98 ,-0.79%,No,No,3.10%,11.53%,13.73%,23.30%,51.37%,"(US$12,229,732.50)","(US$4,705,920.00)","(US$5,855,785.50)","(US$24,792,822.00)","(US$102,256,557.57)","(US$55,752,995.18)",Real Estate,2007-05-08,0.48%,,US$0.69 ,18/12/2018,US$0.30 ,2.89%,30.04,0.52,157,35.38%,35%,15%,1099,US$21.44 ,US$24.24 ,US$23.69 ,US$24.25 ,64.62,A-,A,B-,A-,B+,C,A,3.98,27.11%,8.03%,91.19,0.83%,11.50%
24,DRW,WisdomTree Global ex-US Real Estate Fund,Real Estate,"US$109,070,001.00 ",10.95%,"29,400",US$30.81 ,-0.58%,No,No,1.92%,9.04%,-5.72%,49.47%,53.22%,"(US$2,952,370.00)",US$0.00 ,"(US$2,952,370.00)","US$11,787,041.50 ","US$3,166,591.50 ","(US$28,417,105.50)",Global Real Estate,2007-06-05,0.58%,2 Platforms,US$1.25 ,25/9/2018,US$0.24 ,4.04%,11.36,0.8,228,23.65%,35%,15%,1099,US$27.96 ,US$31.17 ,US$30.74 ,US$30.89 ,68.18,B-,B+,B-,C,B-,A+,B+,5.38,75.63%,44.13%,87.64,0.16%,18.64%
26,MRRL,ETRACS Monthly Pay 2xLeveraged Mortgage REIT ETN,Real Estate,"US$79,133,318.00 ",13.05%,"117,618",US$14.21 ,1.00%,No,2x,3.50%,6.76%,4.03%,105.58%,,"US$18,040,165.00 ","US$6,853,250.00 ","US$11,584,865.00 ","US$72,484,899.00 ","US$57,557,724.00 ","US$57,557,724.00 ",Leveraged Real Estate,2015-10-08,0.40%,,US$0.80 ,13/12/2018,US$0.07 ,5.64%,0.0,0.95,25,63.95%,39%,20%,1099,US$13.04 ,US$14.08 ,US$14.04 ,US$14.30 ,58.41,,,B+,,,B,,,,,,,
27,ROOF,IQ US Real Estate Small Cap ETF,Real Estate,"US$71,486,588.00 ",12.40%,"11,002",US$24.65 ,-0.44%,No,No,2.37%,10.54%,6.06%,29.26%,33.82%,"(US$2,280,590.00)",US$0.00 ,"(US$1,183,570.50)","(US$19,520,358.50)","(US$2,278,429.00)","US$40,228,670.00 ",Real Estate,2011-06-14,0.70%,,US$1.49 ,27/12/2018,US$0.60 ,6.07%,23.6,0.82,72,28.45%,35%,15%,1099,US$22.37 ,US$24.86 ,US$24.43 ,US$24.78 ,63.39,A-,B,C+,A,B-,A,B+,2.87,10.84%,0.58%,71.61,2.26%,6.59%
29,GRI,Cohen & Steers Global Realty Majors ETF,Real Estate,"US$54,567,565.00 ",10.36%,"2,706",US$45.37 ,-0.66%,No,No,2.41%,9.26%,5.56%,24.04%,38.47%,"(US$2,143,495.00)",US$0.00 ,"(US$2,143,495.00)","(US$10,802,828.00)","(US$45,765,131.00)","(US$63,494,816.50)",Global Real Estate,2008-05-07,0.55%,,US$1.29 ,20/12/2018,US$0.41 ,2.81%,22.93,0.64,76,32.20%,35%,15%,1099,US$41.25 ,US$45.79 ,US$45.16 ,US$45.48 ,67.36,B,B-,B-,B+,A,A,C+,5.32,72.27%,42.54%,96.51,0.00%,17.69%
31,FFR,First Trust FTSE EPRA/NAREIT Developed Markets Real Estate Index Fund,Real Estate,"US$48,441,081.00 ",10.33%,"8,881",US$46.19 ,-0.62%,No,No,2.42%,9.66%,6.28%,26.27%,38.08%,US$0.00 ,US$0.00 ,US$0.00 ,"(US$2,176,640.50)","(US$54,687,367.50)","(US$63,051,697.19)",Global Real Estate,2007-08-30,0.60%,,US$1.41 ,18/12/2018,US$0.64 ,3.05%,14.24,0.61,336,20.17%,35%,15%,1099,US$42.04 ,US$46.61 ,US$45.89 ,US$46.37 ,67.23,B+,B,C+,B,A,B,A,4.65,21.43%,21.88%,87.08,0.77%,15.17%
32,DRN,Direxion Daily Real Estate Bull 3x Shares,Real Estate,"US$42,708,614.00 ",35.14%,"40,235",US$22.50 ,-2.05%,No,3x,9.54%,38.38%,24.46%,39.15%,119.07%,"(US$243,136.00)","(US$1,031,630.50)","(US$1,031,630.50)","(US$53,779,116.50)","(US$70,538,692.50)","(US$143,005,030.50)",Leveraged Real Estate,2009-07-16,1.08%,,US$0.52 ,27/12/2018,US$0.13 ,2.26%,34.66,1.82,153,36.10%,35%,15%,1099,US$16.07 ,US$23.07 ,US$21.57 ,US$23.32 ,64.44,B+,A+,C+,A+,C+,,,4.09,0.00%,9.69%,103.22,1.00%,8.92%
33,TAO,Invesco China Real Estate ETF,Real Estate,"US$40,774,635.00 ",11.03%,"12,187",US$27.03 ,-1.46%,No,No,2.83%,9.81%,-9.20%,84.48%,82.36%,US$0.00 ,US$0.00 ,US$0.00 ,"(US$26,381,189.50)","US$17,684,702.50 ","US$5,875,638.00 ",Global Real Estate,2007-12-18,0.70%,,US$1.90 ,24/12/2018,US$1.90 ,7.02%,8.81,1.0,68,47.30%,35%,15%,1099,US$24.21 ,US$27.24 ,US$26.94 ,US$27.16 ,63.17,C,A-,C,B-,C+,C+,C,3.77,3.78%,5.34%,109.94,0.00%,10.30%
34,PSR,Invesco Active U.S. Real Estate Fund,Real Estate,"US$33,610,984.00 ",10.24%,"2,613",US$84.15 ,-0.61%,No,No,3.20%,11.22%,10.37%,29.85%,57.09%,US$0.00 ,US$0.00 ,US$0.00 ,"US$8,070,707.50 ","(US$22,628,362.00)","(US$8,202,418.50)",Real Estate,2008-11-20,0.35%,,US$2.02 ,24/12/2018,US$0.70 ,2.40%,36.52,0.57,81,37.42%,35%,15%,1099,US$75.14 ,US$85.39 ,US$81.44 ,US$88.46 ,65.12,C+,C+,C,B+,A,C,B+,4.42,71.08%,16.53%,96.68,0.75%,10.52%
35,IFEU,iShares Europe Developed Real Estate ETF,Real Estate,"US$32,300,100.00 ",10.42%,"3,158",US$38.03 ,0.08%,No,No,2.26%,9.12%,-5.76%,17.41%,29.79%,US$0.00 ,US$0.00 ,US$0.00 ,"(US$7,421,164.00)","(US$34,249,146.00)","US$4,720,344.00 ",Real Estate,2007-11-12,0.48%,,US$1.67 ,18/12/2018,US$0.42 ,4.38%,8.2,0.74,113,45.22%,35%,15%,1099,US$34.52 ,US$38.46 ,US$37.97 ,US$38.06 ,65.85,C+,C,A-,A-,A-,C,B-,6.35,95.38%,77.53%,54.22,0.00%,24.55%
37,EWRE,Invesco S&P 500® Equal Weight Real Estate ETF,Real Estate,"US$22,935,224.00 ",10.94%,"9,934",US$28.69 ,-0.59%,No,No,2.72%,11.50%,10.60%,26.10%,,"US$1,270,211.50 ",US$0.00 ,US$0.00 ,"US$6,219,325.50 ","US$23,854,727.00 ","US$23,885,701.00 ",Real Estate,2015-08-13,0.40%,,US$0.61 ,26/12/2018,US$0.06 ,2.14%,37.06,0.8,33,32.39%,35%,15%,1099,US$25.60 ,US$29.04 ,US$28.44 ,US$28.90 ,65.76,,,B+,,,,C+,5.03,96.99%,34.17%,99.65,0.00%,11.19%
38,SRS,ProShares Ultra Short Real Estate,Real Estate,"US$21,251,512.00 ",-18.61%,"37,769",US$25.10 ,1.25%,Yes,2x,-5.64%,-19.03%,-21.20%,-47.52%,-68.51%,"(US$169,199.00)",US$0.00 ,"US$1,371,951.00 ","(US$9,267,572.50)","US$5,213,092.00 ","US$10,996,890.25 ",Leveraged Real Estate,2007-01-30,0.95%,,US$0.14 ,26/12/2018,US$0.08 ,0.57%,0.0,-1.18,114,36.19%,35%,15%,1099,US$24.43 ,US$31.03 ,US$24.57 ,US$25.69 ,34.59,B,A,C,B,A,,,,,,,,
39,DRV,Direxion Daily Real Estate Bear 3x Shares,Real Estate,"US$17,172,119.00 ",-27.21%,"136,758",US$7.97 ,2.05%,Yes,3x,-8.71%,-28.07%,-36.52%,-62.13%,-85.83%,"US$1,227,005.00 ","US$1,618,917.00 ","US$1,814,049.50 ","US$9,129,042.00 ","US$19,145,854.50 ","US$26,790,482.74 ",Leveraged Real Estate,2009-07-16,1.09%,,US$0.05 ,27/12/2018,US$0.01 ,0.59%,0.0,-1.66,185,35.67%,35%,15%,1099,US$7.55 ,US$10.99 ,US$7.68 ,US$8.29 ,35.53,B-,A-,B,B-,B,,,,,,,,
40,WREI,Invesco Wilshire US REIT ETF,Real Estate,"US$12,020,037.00 ",11.21%,"1,443",US$47.70 ,-0.65%,No,No,3.09%,11.66%,9.95%,19.32%,51.13%,US$0.00 ,US$0.00 ,US$0.00 ,"(US$2,342,245.00)","(US$6,901,455.50)","(US$6,817,088.50)",Real Estate,2010-03-09,0.32%,,US$1.15 ,26/12/2018,US$0.04 ,2.40%,37.41,0.54,110,41.60%,35%,15%,1099,US$42.29 ,US$48.44 ,US$47.70 ,US$47.70 ,65.94,B-,C,A-,B,C+,B,A-,4.31,55.42%,14.10%,105.91,0.00%,14.24%
41,REK,ProShares Short Real Estate,Real Estate,"US$8,944,468.00 ",-9.56%,"8,571",US$14.90 ,0.54%,Yes,No,-2.90%,-9.78%,-9.79%,-25.54%,-41.40%,US$0.00 ,US$0.00 ,US$0.00 ,"(US$2,427,920.50)","(US$12,403,418.00)","(US$10,330,918.00)",Real Estate,2010-03-16,0.95%,,US$0.07 ,26/12/2018,US$0.05 ,0.47%,0.0,-0.58,114,36.19%,35%,15%,1099,US$14.73 ,US$16.56 ,US$14.76 ,US$15.07 ,34.74,A-,B-,B+,B+,A+,,,,,,,,
43,LRET,ETRACS Monthly Pay 2xLeveraged MSCI US REIT ETN,Real Estate,"US$5,645,534.00 ",17.11%,"1,255",US$24.53 ,-1.21%,No,2x,5.62%,20.83%,11.44%,26.16%,,US$0.00 ,US$0.00 ,US$0.00 ,"US$638,307.00 ","(US$20,440,916.50)","(US$20,440,916.50)",Leveraged Real Estate,2015-05-06,0.85%,,US$0.77 ,13/12/2018,US$0.14 ,3.15%,0.0,1.4,185,35.67%,35%,15%,1099,US$20.08 ,US$24.98 ,US$24.26 ,US$24.67 ,62.47,,,A-,,,,,,,,,,
46,PRME,First Trust Heitman Global Prime Real Estate ETF,Real Estate,"US$2,001,689.00 ",11.34%,"1,093",US$19.98 ,-0.70%,No,No,2.54%,10.73%,2.77%,19.93%,,US$0.00 ,US$0.00 ,US$0.00 ,"US$1,028,178.50 ","(US$25,297.00)","(US$25,297.00)",Global Real Estate,2015-11-11,0.95%,,US$0.60 ,18/12/2018,US$0.21 ,2.97%,14.29,0.78,40,46.09%,39%,20%,1099,US$17.99 ,US$20.23 ,US$19.98 ,US$19.98 ,66.0,,,C,,,,,5.49,80.67%,48.37%,71.36,1.71%,20.19%
