Name,Riskiness R
Alternatives ETF List (35),[0.0227462]
Broad Asia ETF List (44),[0.09385786]
Commodity ETF List (125),[0.13102144]
Consumer Discretionary Equity ETF List (31),[0.08480607]
Consumer Staples Equity ETF List (26),[0.06504429]
Crude Oil ETF List (22),[0.2358075]
Currency ETF List (36),[0.05908257]
Developed Asia Pacific ETF List (108),[0.05350668]
Developed Markets ETF List 1 (100),[0.05445477]
Developed Markets ETF List 2 (100),[0.0548487]
Developed Markets ETF List 3 (93),[0.0642196]
Emerging Asia Pacific ETF List (114),[0.10420348]
Emerging Markets ETF List (79),[0.1239679]
Energy Equity ETF List (80),[0.08960181]
Financials Equity ETF List (51),[0.06209591]
Global ETF List (72),[0.06578692]
Gold ETF List (17),[0.29506448]
Healthcare Equity ETF List (49),[0.07200661]
Industrials Equity ETF List (37),[0.06196475]
Investment Grade Corporate ETF List (50),[0.00351819]
Junk ETF List (43),[0.01514654]
Materials Equity ETF List (62),[0.06394222]
Municipal Bond ETF List (29),[0.01041032]
Preferred Stock ETF List (12),[0.02389406]
Real Estate ETF List (48),[0.0923745]
Target Maturity Date Corporate Bond ETF List (24),[0.00968679]
Technology Equity ETF List (75),[0.06952228]
Telecom Equity ETF List (10),[0.07820054]
Total Bond Market ETF List (82),[0.00095868]
Treasuries ETF List (51),[0.00836189]
Utilities Equity ETF List (24),[0.07033884]
Volatility ETF List (18),[1.5852145e+12]
