,Date,BJK,CARZ,CHIQ,FDIS,FXD,INCO,IYC,JHMC,PBS,PEJ,PEZ,PMR,PSCD,RCD,RETL,RTH,RXI,SCC,UCC,VCR,WBIA,XLY
0,2005-03-01,,,,,,,,,,,,,,,,,,,,,,
1,2005-04-01,,,,,,,48.648509999999995,,,,,,,,,23.062603,,,,41.229656,,31.049999
2,2005-05-01,,,,,,,51.387566,,,,,,,,,25.444923,,,,44.190845,,32.970001
3,2005-06-01,,,,,,,51.588203,,13.671165,13.055807000000001,,,,,,26.13563,,,,44.586242999999996,,32.779999
4,2005-07-01,,,,,,,53.947430000000004,,13.69873,13.368144000000001,,,,,,28.076984000000003,,,,46.941738,,34.639998999999996
5,2005-08-01,,,,,,,51.922871,,13.588476000000002,12.502522,,,,,,26.260966999999997,,,,44.813373999999996,,33.5
6,2005-09-01,,,,,,,50.893147,,13.331225,12.377583,,,,,,25.406004,,,,43.913242,,32.490002000000004
7,2005-10-01,,,,,,,50.192387,,12.81311,12.681002000000001,,13.607714999999999,,,,26.091858,,,,42.819611,,31.83
8,2005-11-01,,,,,,,52.418324,,13.245425,13.510929999999998,,14.269138,,,,26.885933,,,,44.653549,,33.099998
9,2005-12-01,,,,,,,52.034222,,13.18104,13.5734,,14.225042000000002,,,,26.437561,,,,44.241333000000004,,32.650002
10,2006-01-01,,,,,,,52.758945,,13.294156,14.356929999999998,,15.039441,,,,26.544544000000002,,,,45.269253000000006,,33.23
11,2006-02-01,,,,,,,53.318352000000004,,13.294156,14.169314000000002,,15.295397,,,,27.086432000000002,,,,45.472321,,33.470001
12,2006-03-01,,,,,,,54.06130600000001,,13.478159,14.598146,,15.851427,,,,27.354929,,,,46.20002,,33.66
13,2006-04-01,,,,,,,53.881989000000004,,13.294156,14.580276999999999,,16.142681,,,,26.855652000000003,,,,46.538475,,34.09
14,2006-05-01,,,,,,,53.094882999999996,,13.156154999999998,14.222921,,15.065922,,,,26.386947999999997,,,,45.303096999999994,,33.52
15,2006-06-01,,,,,,,53.042416,,12.870954,14.410533,,15.295397,,,,26.338026,,,,45.125408,,33.389998999999996
16,2006-07-01,,,,,,,50.899483000000004,,12.454,13.114579,,14.589106,,,,25.668938,,,,43.230015,,32.279999
17,2006-08-01,,,,,,,52.142651,,12.859010000000001,13.954911,,14.668585,,,,26.207902999999998,,,,44.279243,,32.919998
18,2006-09-01,,,,,,,54.769031999999996,,13.264014999999999,14.768429000000001,,15.904951,,,,27.587128000000003,43.645325,,,46.893864,,34.950001
19,2006-10-01,,,,,,,57.615665,,13.991185999999999,15.635577,23.936056,16.823395,,,,28.475021,45.834641,,,49.838478,,37.209998999999996
20,2006-11-01,,,,,,,57.957367000000005,,14.313355,15.742856,24.610966,16.920532,,39.269794,,27.758608000000002,46.780037,,,50.794628,,37.68
21,2006-12-01,,,,,,,59.070083999999994,,14.884051999999999,16.064682,24.731154999999998,17.291447,,39.97665,,28.312227000000004,47.957615000000004,,,51.446171,,38.360001000000004
22,2007-01-01,,,,,,,61.388363,,15.366456,16.163921,25.802070999999998,18.218103,,41.288219,,29.482584000000003,49.373333,,,53.480301000000004,,39.459998999999996
23,2007-02-01,,,,,,,59.919617,,15.006742000000001,16.226677,25.774160000000002,17.758671,,40.682415,,29.129115999999996,48.65765,771.33429,16.259586,52.243904,,38.279999
24,2007-03-01,,,,,,,60.069134,,14.840715,16.262535,25.913683,17.85586,,40.383784999999996,,28.853127,49.131996,774.5457759999999,16.346474,52.098949,,38.029999
25,2007-04-01,,,,,,,61.136887,,15.181989999999999,16.473913,26.620590000000004,17.711931,,42.000164,,29.560143,50.388588,756.988953,17.169464,53.48881899999999,,38.93
26,2007-05-01,,,,,18.409838,,62.966587,,15.910647,17.075418,27.299587,17.888868,,43.273422,,30.337398999999998,52.027992,721.660522,17.483214999999998,55.032188,,40.099998
27,2007-06-01,,,,,18.446424,,61.743832,,15.799965,16.833015,26.453166999999997,17.32266,,42.042889,,29.976614,51.262383,737.7188719999999,17.019831,54.11982,,39.330002
28,2007-07-01,,,,,17.367248999999997,,58.694775,,14.658072,15.582730999999999,24.911654000000002,16.183104,,38.960564,,28.664728000000004,49.473183,841.5751949999999,15.137753,51.016048,,37.0
29,2007-08-01,,,,,16.708782,,59.373245,,14.455003,15.879289000000002,24.342503,16.324831,,38.661072,,29.270674,48.715916,814.234192,15.518378,51.143951,,37.23
