Name,Riskiness R
ADRE,[0.83333472]
BBRC,[5.87895111e+12]
BICK,[0.96360201]
BKF,[0.77596993]
DBEM,[7.60587145e+11]
DEM,[2.12276551e+13]
DGRE,[1.31020993e+11]
DGS,[2.62224331]
DVYE,[1.43519872e+13]
EDC,[6.64434521]
EDIV,[3.79899563e+12]
EDZ,[2.21153096]
EEB,[1.52192274]
EELV,[1.09016314e+13]
EEM,[2.99633055e+11]
EEMO,[2.10341828e+13]
EEMS,[4.52668156e+11]
EET,[8.38075843e+11]
EEV,[1.80420672]
EMFM,[1.36489343e+13]
EMIF,[2.86926003e+12]
EUM,[7.92960455e+12]
EWEM,[6.39258444e+12]
EWX,[2.77195287e+10]
FEM,[9.30307061]
FEMS,[2.73998988e+10]
FNDE,[0.83838472]
HILO,[2.63804242e+12]
IEMG,[6.27830844]
PIE,[2.83217988e+12]
PXH,[0.58289344]
PXR,[5.14949271]
SCHE,[0.80357262]
SPEM,[0.80159297]
TLTE,[0.8609195]
