,Date,CHIM,COPX,CROP,CUT,DUST,FLM,FMAT,FTAG,FXZ,GDX,GDXJ,GDXS,GDXX,GNR,GOEX,GRES,GUNR,HAP,HOML,IGE,ITB,IYM,JDST,JNUG,LIT,MOO,MXI,NAIL,NUGT,PAGG,PICK,PKB,PSAU,PSCM,PYZ,REMX,RING,RTM,SBM,SGDJ,SGDM,SIL,SILJ,SLVP,SLX,SMN,SOIL,UYM,VAW,VEGI,XHB,XME
0,2005-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2005-04-01,,,,,,,,,,,,,,,,,,,,18.617657,,36.597431,,,,,,,,,,,,,,,,,,,,,,,,,,,41.839729,,,
2,2005-05-01,,,,,,,,,,,,,,,,,,,,19.151321,,36.46521,,,,,,,,,,,,,,,,,,,,,,,,,,,41.839729,,,
3,2005-06-01,,,,,,,,,,,,,,,,,,,,20.503736,,36.091846000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,41.368767,,,
4,2005-07-01,,,,,,,,,,,,,,,,,,,,21.90501,,38.631054,,,,,,,,,,,,,,,,,,,,,,,,,,,43.905891,,,
5,2005-08-01,,,,,,,,,,,,,,,,,,,,23.395334,,37.389171999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,42.34108,,,
6,2005-09-01,,,,,,,,,,,,,,,,,,,,24.752878,,37.717216,,,,,,,,,,,,,,,,,,,,,,,,,,,42.614540000000005,,,
7,2005-10-01,,,,,,,,,,,,,,,,,,,,22.781267,,37.542912,,,,,,,,,,14.282893,,,,,,,,,,,,,,,,,42.234734,,,
8,2005-11-01,,,,,,,,,,,,,,,,,,,,23.443798,,39.833923,,,,,,,,,,15.176725,,,,,,,,,,,,,,,,,45.333977000000004,,,
9,2005-12-01,,,,,,,,,,,,,,,,,,,,23.984135000000002,,40.438065,,,,,,,,,,14.955570000000002,,,,,,,,,,,,,,,,,45.531467,,,
10,2006-01-01,,,,,,,,,,,,,,,,,,,,27.458509000000003,,43.443466,,,,,,,,,,16.547447000000002,,,,,,,,,,,,,,,,,49.071835,,,
11,2006-02-01,,,,,,,,,,,,,,,,,,,,24.883078,,42.211467999999996,,,,,,,,,,16.492136,,,,,,,,,,,,,,,,,48.346218,,39.029236,
12,2006-03-01,,,,,,,,,,,,,,,,,,,,26.127229999999997,,44.225291999999996,,,,,,,,,,16.741037,,,,,,,,,,,,,,,,,50.854996,,39.072876,
13,2006-04-01,,,,,,,,,,,,,,,,,,,,27.916876000000002,,46.597359000000004,,,,,,,,,,16.731819,,,,,,,,,,,,,,,,,52.321678000000006,,37.03297,
14,2006-05-01,,,,,,,,,,35.771877,,,,,,,,,,27.024256,39.065022,44.63995,,,,,,,,,,15.007935,,,,,,,,,,,,,,,,,49.890083000000004,,32.069607,
15,2006-06-01,,,,,,,,,,35.633759000000005,,,,,,,,,,27.160753000000003,35.984787,44.307102,,,,,,,,,,14.362631,,,,,,,,,,,,,,,,,49.704823,,29.692790999999996,41.943397999999995
16,2006-07-01,,,,,,,,,,35.688999,,,,,,,,,,27.874405,32.055847,42.53606,,,,,,,,,,13.287560999999998,,,,,,,,,,,,,,,,,47.813583,,27.168919,38.917175
17,2006-08-01,,,,,,,,,,37.374012,,,,,,,,,,26.822544,32.751141,43.284817,,,,,,,,,,13.637960000000001,,,,,,,,,,,,,,,,,49.118149,,27.46633,37.560894
18,2006-09-01,,,,,,,,,,32.825417,,,,,,,,,,25.488543,33.848942,42.48827,,,,,39.939116999999996,,,,,13.656401999999998,,,,,,,,,,,,,,,,,49.280258,,28.620964,35.077175
19,2006-10-01,,,,,,,,,,34.952393,,,,,,,,,,26.601692,35.640987,45.772446,,,,,42.512997,,,,,14.384865,,,26.35,,,,,,,,,,31.268922999999997,,,,52.344826,,30.073535999999997,40.310455
20,2006-11-01,,,,,,,,,,38.653877,,,,,,,,,,28.716866999999997,38.500332,47.942177,,,,,44.09877,,,,,15.150214000000002,,,27.67,,,41.177807,,,,,,,32.925552,,,,54.961693000000004,,32.440857,44.260791999999995
21,2006-12-01,,,,,,,,,,36.747887,,,,,,,,,,27.90925,38.830257,47.301662,,,,,45.174545,,,,,15.205546,,,27.690001000000002,,,41.58828,,,,,,,33.125488,,,,54.42905,,32.782790999999996,41.695194
22,2007-01-01,,,,,,,,,,36.568424,,,,,,,,,,27.831771999999997,39.158318,50.036578999999996,,,,,46.440028999999996,,,,,15.749587,,,29.440001000000002,,,43.242492999999996,,,,,,,36.202183000000005,,,,58.327968999999996,,33.583595,44.94207
23,2007-02-01,,,,,,,,,,36.928577000000004,,,,,,,,,,27.622339,35.66106,50.996342,,,,,47.351089,,,,,16.182973999999998,,,29.73,,,44.203072,,,,,,,37.083248,1602.784058,,59.260284,59.817951,,31.326534000000002,45.972198
24,2007-03-01,,,,,,,,,,36.540733,,,,,,,,,,28.936766,31.346849,51.818989,,,,,50.060287,,,,,16.358173,,,30.780001000000002,,,44.647048999999996,,,,,,,40.141876,1565.28186,,61.79561999999999,60.978535,,28.586452,48.722012
25,2007-04-01,,,,,,,,,,36.531502,,,,,,,,,,30.546053000000004,33.244568,53.646393,,,,,51.243065,,,,,17.261835,,,31.66,,,46.000141,,,,,,,42.426899,1471.8942869999998,,66.088669,62.891975,,30.080853,52.989326
26,2007-05-01,,,,,,,,,17.386745,36.162109,,,,,,,,,,33.006096,34.246947999999996,57.25354399999999,,,,,55.318851,,,,,18.755651,,,33.349998,,,47.821045,,,,,,,47.562824,1294.678711,,74.042961,66.460022,,31.401718,56.486118000000005
27,2007-06-01,,,,,,,,,17.591896,34.989338000000004,,,,,,,,,,33.124958,28.793566,56.792545,,,,,56.525619999999996,,,,,18.727985,,,33.439999,,,47.141234999999995,,,,,,,47.097225,1283.893921,,72.131332,66.193405,,26.620136,53.330467000000006
28,2007-07-01,,,,,,,,,17.523516,36.882401,,,,,,,,,,33.335834999999996,24.474415,55.900847999999996,,,,,57.06905,,,,,17.999538,,,32.799999,,,46.107746,,,,,,,47.319278999999995,1362.536133,,68.909462,64.374084,,23.343410000000002,50.495995
29,2007-08-01,,,,,,,,,17.130299,34.767708,,,,,,,,,,32.975605,21.783697,55.45421999999999,,,,,56.725403,,,,,18.036463,,,32.98,,,45.442692,,,,,,,48.057068,1365.28833,,67.255409,64.413292,,21.923046,49.445934
30,2007-09-01,,,,,,,,,18.472347,41.878242,,,,,,,,,,35.677383,18.309739999999998,60.212776,,,,38.269154,63.49441899999999,,,,,18.313381,,,35.130001,,,47.664951,,,,,,,57.225815000000004,1155.8790279999998,,78.948074,68.961609,,18.879404,54.63639499999999
31,2007-10-01,,,,,,,,,19.062168,46.72633,,,,,,,,,,37.272362,19.304928,64.12848699999999,,,,42.678421,66.131691,,,,,18.461067,,,36.48,,,47.924339,,,,,,,62.111027,1028.71936,,88.196129,72.04345699999999,,19.612097,58.566929
32,2007-11-01,,,,19.617355,,,,,18.156064999999998,42.810921,,,,,,,,,,34.933132,15.848706,60.845055,,,,41.863121,62.85508000000001,,,,,16.836493,,,34.389998999999996,,,46.036671000000005,,,,,,,60.707062,1107.929077,,78.029099,68.702805,,16.852073999999998,57.105301000000004
33,2007-12-01,,,,19.182292999999998,,,,,18.72879,42.321495,,,,,,,,,,37.288994,16.292284,62.702675,,,,47.794849,61.975986,,,,,16.85495,,,35.0,,,45.564754,,,,,,,60.914799,1022.181335,,77.57995600000001,68.961609,,17.117466,59.079765
34,2008-01-01,,,,17.304108,,,,,17.662092,47.278187,,,,,,,,,,33.768795000000004,19.435667000000002,60.02026,,,,43.959614,59.2771,,,,,15.913434,,,32.610001000000004,,,43.793339,,,,,,,55.946735,1102.873047,,74.08631899999999,66.645844,,19.54336,56.161449
35,2008-02-01,,,,17.335860999999998,,,,,18.005215,49.879185,,,,,,,,,,36.891514,17.187383999999998,62.671473999999996,,,,47.337276,62.341083999999995,,,,,15.590369,,,34.439999,,,43.628693,,,,,,,63.691101,994.206909,,81.220558,68.897049,,18.122023000000002,63.325157
36,2008-03-01,,,,16.677032,,,,,17.456221,44.78986,,,,,,,,,,35.515071999999996,18.664566,60.732178000000005,,,,44.600204,60.998074,,,,,15.313452999999999,,,34.209998999999996,,,43.513432,,,,,,,62.531254000000004,999.5262449999999,,69.03398100000001,67.568611,,19.267975,59.803298999999996
37,2008-04-01,,,,17.018351000000003,,,,,18.974527,40.939995,,,,,,,,,,38.779606,18.779781,65.579277,,,,48.876366,65.943878,,,,,15.959592,,,36.369999,,,45.769245,,,,,,,70.261208,846.1066279999999,,85.457497,71.57785799999999,,19.704113,65.50688199999999
38,2008-05-01,,,,17.661303,,,,,20.518568,43.212353,,,,,,,,,,41.743839,16.103610999999997,70.305122,,,,52.162521000000005,69.249123,,,,,16.938029999999998,,,38.52,,,47.37141,,,,,,,78.077614,728.246216,,97.65765400000001,75.730293,,17.762203,75.144249
39,2008-06-01,,,,15.208563,,,,,19.111776000000003,45.625561,,,,,,,,,,42.611416,13.334199,69.304146,,,,51.538567,66.691765,,,,,15.211920000000001,,,35.82,,,42.812664,,,,,,,76.363037,732.818298,,94.65699000000001,71.601715,,14.635557999999998,81.09474200000001
40,2008-07-01,,,,15.200626000000002,,,,,18.884864999999998,40.827315999999996,,,,,,,,,,36.307827,14.4751,64.089043,,,,46.588535,60.392796,,,,,15.351641,,,35.799999,,,43.796207,,,,,,,64.404312,839.1356199999999,,79.278824,68.912979,,15.750854,68.163872
41,2008-08-01,,,,14.867242999999998,,,,,18.574713,35.343613,,,,,,,,,,35.872597,15.486951999999999,61.299728,,,,42.096073,55.891666,,,,,15.943156,,,34.860001000000004,,,43.804497,,,,,,,57.992687,895.400452,,71.654045,67.051521,,17.687214,61.459109999999995
42,2008-09-01,,,,13.073332,,,,,15.042413,31.728498,,,,,,,,,,30.105864,16.826715,46.92514,,,,30.615326,43.537865000000004,,,19.387957,,13.096492999999999,24.787876,,27.290001,,,36.680873999999996,,,,,,,37.864548,1355.702759,,41.418518,54.339661,,17.633432,40.323151
43,2008-10-01,,,,9.239442,,22.81814,,,10.424585,19.671858,,,,,,,,,,22.43083,11.645405,35.04837,,,,22.545525,32.398388,,,14.476343,,9.723015,15.683235999999999,,20.85,,,28.936103999999997,,,,,,,24.63789,1794.4125980000001,,19.995197,41.580067,,12.648282,26.88813
44,2008-11-01,,,,8.675868,,23.516304,,,9.011667999999998,24.948984,,,,,,,,18.467932,,21.878436999999998,9.45543,29.945760999999997,,,,21.513922,29.824009000000004,,,13.425084,,9.639831,18.481869,,18.48,,,26.383653999999996,,,,,,,20.084919,1975.131836,,13.383653,36.823051,,10.684376,22.722353
45,2008-12-01,,,,9.517259,,26.947540000000004,,,10.329811999999999,31.813009,,,,,,,,19.353548,,21.192129,9.220455000000001,30.673532,,,,23.169477,31.677884999999996,,,15.501751,,10.906042999999999,23.879227,,19.440001000000002,,,26.275219,,,,,,,21.158325,993.82843,,13.544219,36.115066999999996,,10.792482000000001,23.884301999999998
