Ticker,NAV,Date
PXH,21.490000000000002,03/12/2019
PXH,21.280000000000001,03/11/2019
PXH,21.050000000000001,03/10/2019
PXH,21.050000000000001,03/09/2019
PXH,21.050000000000001,03/08/2019
PXH,21.260000000000002,03/07/2019
PXH,21.490000000000002,03/06/2019
PXH,21.490000000000002,03/05/2019
PXH,21.469999999999999,03/04/2019
PXH,21.469999999999999,03/03/2019
PXH,21.469999999999999,03/02/2019
PXH,21.469999999999999,03/01/2019
PXH,21.530000000000001,02/28/2019
PXH,21.699999999999999,02/27/2019
PXH,21.770000000000000,02/26/2019
PXH,21.850000000000001,02/25/2019
PXH,21.719999999999999,02/24/2019
PXH,21.719999999999999,02/23/2019
PXH,21.719999999999999,02/22/2019
PXH,21.550000000000001,02/21/2019
PXH,21.530000000000001,02/20/2019
PXH,21.340000000000000,02/19/2019
PXH,21.300000000000001,02/18/2019
PXH,21.300000000000001,02/17/2019
PXH,21.300000000000001,02/16/2019
PXH,21.300000000000001,02/15/2019
PXH,21.280000000000001,02/14/2019
PXH,21.309999999999999,02/13/2019
PXH,21.370000000000001,02/12/2019
PXH,21.170000000000002,02/11/2019
PXH,21.250000000000000,02/10/2019
PXH,21.250000000000000,02/09/2019
PXH,21.250000000000000,02/08/2019
PXH,21.320000000000000,02/07/2019
PXH,21.460000000000001,02/06/2019
PXH,21.629999999999999,02/05/2019
PXH,21.590000000000000,02/04/2019
PXH,21.620000000000001,02/03/2019
PXH,21.620000000000001,02/02/2019
PXH,21.620000000000001,02/01/2019
PXH,21.609999999999999,01/31/2019
PXH,21.420000000000002,01/30/2019
PXH,21.190000000000001,01/29/2019
PXH,21.140000000000001,01/28/2019
PXH,21.280000000000001,01/27/2019
PXH,21.280000000000001,01/26/2019
PXH,21.280000000000001,01/25/2019
PXH,21.120000000000001,01/24/2019
PXH,20.960000000000001,01/23/2019
PXH,20.900000000000002,01/22/2019
PXH,20.990000000000002,01/21/2019
PXH,20.990000000000002,01/20/2019
PXH,20.990000000000002,01/19/2019
PXH,20.990000000000002,01/18/2019
PXH,20.800000000000001,01/17/2019
PXH,20.830000000000002,01/16/2019
PXH,20.770000000000000,01/15/2019
PXH,20.609999999999999,01/14/2019
PXH,20.719999999999999,01/13/2019
