BTAL,CHEP,CPI,FLAG,HDG,MCRO,MNA,MOM,MRGR,QAI,RALS,RLY,SIZ,WTMF,test
-0.007894721,-0.024700329,0.007234809,-0.020387649,-0.018216685,-0.00593279,0.022836767,0.003114013,0.0081287,0.004984911,-0.0126051,-0.022097337,0.020817008,-0.010122997,-0.01
-0.010610147,-0.024208571,0.008849617,0.047901896,0.013183582,0.017354327,0.021205491,0.019014358,-0.022310903,0.020869599,-0.010260098,0.041933058,0.006540977,-0.008278487,0.01
0.028418309,0.048854898,0.000762785,0.00100097,0.003855543,0.005307133,-0.007286051,-0.03655754,0.013039998,-0.00442938,0.033992542,0.004775016,-0.006116208,0.008347593,0.01
0.023461893,0.046943282,0.003048814,0.024309729,0.001680221,-0.001885468,0,-0.021739092,0.000243192,0.00239567,0.018441995,0.028385798,-0.023846192,0.009495998,0.01
-0.005603671,-0.001737951,0.006838826,0.015017991,0.005511623,0.009066875,0.001100944,-0.004444485,-0.005100652,0.014339243,-0.017439115,0.004960137,-0.000787943,-0.009165381,0.01
-0.016393404,-0.018453951,0.005283078,0.024445341,0.008341331,0.007862288,0.019794752,0.011363677,-0.001619044,0.009424497,-0.009808538,0.017440102,0.009463683,0.016796441,0.01
0.024999888,0.00603049,-0.004880011,-0.017842798,-0.005199825,-0.010401196,-0.008626876,-0.033306581,-0.011891985,-0.013004255,0.015351944,-0.006446469,-0.025000039,0.006463942,0.01
-0.025914565,-0.007404881,0.008676108,0.037832682,0.00974098,0.007132118,0,-0.009132379,0.012582018,0.018918828,-0.004658993,0.008592164,0.004407092,0.002854467,0.01
0.014606186,-0.010301889,-0.009723331,-0.026876613,-0.01435279,-0.024599269,-0.005076203,0.008378676,0,-0.01624665,-0.015913743,-0.069790148,-0.011168688,0.034392752,0.01
0.007712067,-0.022972045,0.007552955,0.021404524,0.008832635,0.005349561,0.002551106,0.002908143,-0.016207353,0.003707412,-0.005474791,0.002515466,-0.000403388,-0.009172195,0.01
0.023469287,0,0.004122869,0.02056719,0.006152373,-0.002280464,0.017811678,0.010770547,0.00082379,0.012088712,0.003118161,-0.027474479,-0.006860371,0.016431323,0.01
0.029411763,-0.009551847,0.014931035,0.008244243,-0.005409196,-0.024761942,-0.00321429,-0.036065574,-0.003840926,-0.02488389,0.00789101,-0.035494611,-0.016253636,0,0.01
0.031961326,-0.047848568,-0.020035723,-0.031459969,-0.001655215,0.012083102,0.009315639,0.033163223,0.020512508,-0.000108247,-0.023553268,-0.000712227,0.009087196,0.006830656,0.01
-0.056780789,0.036618632,0.001502608,0.046679485,0.021316843,-0.000391219,0.018104334,-0.010288066,0.004340735,0.034137871,-0.00488169,0.028711773,0.005321285,-0.017412968,0.01
0,-0.040210444,-0.001125381,-0.017958753,0,-0.002738607,0.005578817,0.050727694,0.000270264,-0.001667169,-0.005886582,-0.038193153,0.004478868,0.019102424,0.01
-0.040298557,-0.00274083,0.006759392,0.021054216,0.002319141,0.009807809,0.00450762,-0.039968342,-0.001190336,0.002003957,0.017937419,0.035876859,0,-0.014679306,0.01
-0.00466559,0.011778608,-0.002984034,-0.002099608,0.003239243,-0.003496528,0.003796995,0.022258821,0.000811901,-0.000333336,-0.005593598,-0.015123617,-0.013781921,0.007563645,0.01
-0.015104297,0.008925041,-0.004489351,-0.034866166,-0.008302598,-0.014814784,-0.012723468,0.001612944,-0.015950298,-0.013671205,-0.007581385,-0.031460479,0.005754172,-0.028889968,0.01
0.053939784,-0.025769234,0.003382294,0.001356377,0.003953498,-0.009497453,-0.009404403,0.043075684,0.00307086,-0.000338138,-0.03422451,-0.037034949,-0.05762158,-0.035839704,0.01
