BTAL,CHEP,CPI,FLAG,HDG,MCRO,MNA,MOM,MRGR,QAI,RALS,RLY,SIZ,WTMF,test
0.025087793,-0.02013421,-0.014232277,-0.04526997,-0.025017443,-0.018777501,-0.001758106,0.034349633,0.008221381,-0.016908969,0.011509287,-0.051396011,0.016045144,-0.000971899,0.01
0.040137052,0.013698631,-0.004559206,-0.04774357,-0.015205366,-0.004885944,-0.020429745,0.058582166,-0.017395895,-0.009287935,-0.007585626,-0.031996631,-0.019632992,0.00778215,0.01
-0.051764639,-0.000397455,0.016412099,0.109327496,0.026055364,0.013502422,-0.008629942,-0.035600986,0.013831183,0.008680595,-0.004705154,0.047543388,-0.025685678,-0.000965232,0.01
-0.00694793,-0.054870777,-0.001126456,-0.020833257,-0.000705463,0,0.002901677,0.035453179,-0.021009477,-0.00516352,0.004887069,-0.026548535,-0.004021359,-0.001449247,0.01
0.03348322,0.017248668,-0.00263158,-0.032391174,-0.009647009,-0.01695603,0.015189872,-0.025061737,0.014492701,-0.015224903,-0.004095163,-0.036796404,-0.04217142,0.010885302,0.01
0.094777525,-0.007444189,-0.007063482,-0.06383691,-0.02398863,-0.001491381,0.007359245,0.026792179,-0.005871846,-0.009292541,-0.000325232,-0.025185242,-0.022482389,-0.011007375,0.01
-0.001766725,0.038333348,0,0.056397553,-0.00365147,-0.000415765,0.01748132,-0.061354018,0.022985211,0.003563833,0.012664703,0.015313272,-0.012458073,0.034115635,0.01
-0.022123881,0.037720718,0.014806376,0.064731421,0.020034241,0.028702109,0.011921427,-0.044703267,-0.000270678,0.023437472,-0.004593961,0.05987214,0.039786461,-0.020355699,0.01
-0.031221723,-0.007734007,-0.000374146,0.025070554,0.005748518,0.002830574,-0.012127477,-0.047581636,-0.011914425,0.008327582,0.017019213,0.040486449,0,0.025794188,0.01
0.001401249,-0.055728758,-0.001871161,-0.028737394,0.001667004,-0.011290256,0.011574823,0.052023165,0.00383678,-0.003441161,-0.007620077,-0.013294668,0.001866496,-0.013038426,0.01
0.084421613,-0.050763537,0.00712411,-0.012905186,-0.004755068,0.008564365,-0.014216342,0.045918367,-0.007644147,0.006906121,0.001279711,0.024842202,-0.017233303,0.002830801,0.01
-0.058924784,0.033478297,0.004839897,0.082203872,0.013616781,0.008491762,0.003517441,-0.055159475,-0.004005992,0.007887482,-0.007786229,0.013429727,0.020853128,-0.013408639,0.01
-0.022851907,0.009255337,-0.002593563,0.01152175,0.001649717,0.006415335,0.011216205,-0.039714059,-0.001106607,-0.002722025,0.003355733,-0.006517192,0.002785469,-0.021220747,-0.02
-0.016370393,0.006669469,0.001857335,0.011974215,0.004941285,0.005179284,0.01213175,0.008684822,-0.001384628,-0.000341177,-0.000514492,0.008609998,0,0.024847739,0.01
0.015691876,0.046376845,-0.007044828,-0.008980622,-0.006321792,-0.015061432,-0.01472603,-0.026650227,-0.002218596,-0.013651929,0.001632015,-0.017998655,0,-0.009032585,0.01
-0.090823984,0.069252075,-0.000746856,0.100496328,0.005183858,-0.009657896,0.015641253,-0.032855981,-0.005002791,-0.013494761,0.028880949,0.004570049,0.020833287,-0.013192528,0.01
0.014418208,0.015914166,0.005605398,0.00053099,0.009376474,0,0.002737888,-0.008275218,-0.004189854,0.005261372,0.003258073,0.009511987,-0.003628118,0.007778266,0.01
,,,,,,,,,,,,,,
