,Date,AMJ,AMLP,AMU,AMUB,AMZA,ATMP,CRAK,DDG,DIG,DRIP,DUG,ENFR,ENY,ERY,FAN,FCG,FENY,FILL,FRAK,FXN,GASL,GEX,GREK,GRID,GUSH,ICLN,IEO,IEZ,IMLP,IXC,IYE,KOL,MLPA,MLPB,MLPC,MLPG,MLPI,MLPO,MLPY,NLR,OIH,PBD,PBW,PSCE,PUW,PXE,PXI,PXJ,PZD,QCLN,RYE,TAN,VDE,XES,XLE,XOP,YLCO,YMLI,YMLP,ZMLP
18,2006-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,41.188744,36.993431,,24.603048,24.39776,,,,,,,,,,32.914916999999996,,69.738586,,,14.106842000000002,,16.81621,,,,,60.179775,24.060817999999998,40.935673,31.889496,,,,
19,2006-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,43.224468,38.391746999999995,,25.679626000000003,25.455374,,,,,,,,,,33.993359000000005,,74.092079,,22.623836999999998,14.841042999999999,24.323462,17.745384,23.268538,,,,62.984039,25.139727,42.828053000000004,33.808018,,,,
20,2006-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,46.806908,41.830059000000006,,27.384409,27.626334999999997,,,,,,,,,,37.076958000000005,,75.08717299999999,,23.308308,15.975851,26.195883,18.838531,23.946898,,44.309810999999996,,68.43807199999999,27.834545000000002,46.501427,36.994904,,,,
21,2006-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,43.197327,39.646042,,26.72743,26.866629,,,,,,,,,,35.45435,,71.811684,,23.290302,15.171024,25.079629999999998,18.109762,23.370754,,41.863411,,65.672432,26.348371999999998,45.056683,34.176064000000004,,,,
22,2007-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,44.658176,39.034015999999994,,26.277303999999997,26.662607,,,,,,,,,,34.739712,,73.08199300000001,,23.826262,15.290435,25.235149,17.836479,23.826096,,41.770657,,65.634499,26.149847,44.775112,35.236732,,,,
23,2007-02-01,,,,,,,,,54.998282999999994,,1076.696045,,,,,,,,,,,,,,,,44.296065999999996,39.086665999999994,,25.658438,26.075571,,,,,,,,,,34.549183,,76.738136,,23.916339999999998,15.153270000000001,25.325241000000002,17.927572,24.300010999999998,18.843863,41.370762,,64.721184,26.328951,43.85788,34.73362,,,,
24,2007-03-01,,,,,,,,,60.546089,,975.5282589999999,,,,,,,,,,,,,,,,46.848991,42.139893,,27.154435999999997,27.601334,,,,,,,,,,37.172385999999996,,78.48313900000001,,24.294672,16.363595999999998,26.937918,19.111814000000003,24.253548000000002,19.267214000000003,44.053288,,68.819435,28.155866999999997,46.463146,36.593379999999996,,,,
25,2007-04-01,,,,,,,,,66.693436,,887.879517,,,,,,,,,,,,,,,,49.502445,45.322956,,28.397034,29.266468,,,,,,,,,,39.956688,,80.6436,,26.028072,17.12207,28.720839,20.660436999999998,25.182802,20.452595000000002,46.67057,,72.51175699999999,29.969047999999997,49.005103999999996,38.880726,,,,
26,2007-05-01,,,,,,,,,76.102272,,774.559082,,,,,94.431816,,,,18.977627,,109.99724599999999,,,,,52.971695,48.714062,,30.390055,31.319427,,,,,,,,,,43.195591,,82.014656,,26.89327,18.60673,30.667403999999998,22.746527,26.725365000000004,20.960623000000002,50.483973999999996,,77.898041,32.319904,52.817569999999996,41.802387,,,,
27,2007-06-01,,,,,,,,,77.397301,,745.241516,,17.221693,,,92.569542,,,,19.202156,,114.10360700000001,,,,,53.007915000000004,50.46233,,31.510835999999998,31.799513,,,,,,,,,,44.622299,22.998196,86.501785,,27.370935,18.558321,30.784554999999997,23.429737,27.951981,22.042522,50.767685,,78.944069,33.010811,53.351166000000006,41.236042,,,,
28,2007-07-01,,,,,,,,,77.693764,,742.101807,,16.296991000000002,,,87.70945,,,,18.636333,,117.30920400000001,,,,,50.411678,51.938534000000004,,31.257437,31.974059999999998,,,,,,,,,,45.414024,23.921638,88.786911,,26.119324,17.478057999999997,29.809307,24.267811,27.998449,22.729292,50.003387,,78.428864,33.224354,53.513851,39.518253,,,,
29,2007-08-01,,,,,,,,,77.148949,,722.3593139999999,,15.450989000000002,,,84.893265,,,,18.250134,,115.984573,,,,,49.333313000000004,52.140648,,30.996738,32.109642,,,,,,,,,72.696472,45.67215,23.08614,87.95594799999999,,25.974817,17.494207,29.637940999999998,23.748571,27.933398999999998,22.541138,49.878078,,78.905045,33.5923,54.157555,38.780623999999996,,,,
30,2007-09-01,,,,,,,,,89.25529499999999,,620.586365,,17.064289000000002,,,92.796661,,,,19.561417000000002,,127.535347,,,,,53.692112,56.104144999999995,,33.632996,34.680653,,,,,,,,,79.561737,49.089172,25.240847,95.102104,,26.372208,18.350748,30.846535,25.260754000000002,29.494546999999997,23.547767999999998,53.445553000000004,,84.822144,35.737278,58.012104,42.306946,,,,
31,2007-10-01,,,,,,,,,91.48326899999999,,605.257446,,18.612017,,,103.107407,,,,20.226042,,146.080154,,,,,59.984730000000006,55.46779300000001,,35.192341,35.237026,,,,,,,,,83.549225,48.632309,27.474705,105.447449,,28.233991999999997,20.123545,32.407654,24.887264000000002,31.901321000000003,26.219593,56.290916,,86.672218,35.280445,59.642178,47.617542,,,,
32,2007-11-01,,,,,,,,,82.886391,,646.840088,,16.251079999999998,,,94.341003,,,,19.175217,,147.272324,,,,,55.749355,53.332062,,33.464874,33.928878999999995,,,,,,,,,73.279549,45.100464,26.665594,100.046272,,26.760835999999998,18.838028,30.483790999999997,23.511723999999997,31.529621000000002,26.191374,53.73185,,83.04231300000001,34.005997,57.130534999999995,43.66666,,,,
33,2007-12-01,,,,,,,,,87.975479,,554.126221,,16.867554000000002,,,101.01798199999999,,,,20.648160999999998,,158.84960900000002,,,,,60.31123,56.566432999999996,,34.568591999999995,36.491867,,,,,,,,,66.959755,51.370304,27.879265000000004,115.044876,,26.941585999999997,20.511618,32.660557,25.233427,33.174389,31.045801,57.177383,,88.600342,36.42025,61.702831,46.798557,,,,
