,Date,DRN,DRV,DRW,EWRE,FFR,FREL,FRI,GQRE,GRI,ICF,IFEU,IFGL,IYR,KBWY,LRET,MORL,MORT,MRRL,PRME,PSR,REET,REK,REM,REZ,ROOF,RWO,RWR,RWX,SCHH,SRET,SRS,TAO,URE,USRT,VNQ,VNQI,WPS,WREI,XLRE
263,2010-03-22,5.227207,848.993042,15.621276000000002,,23.530291000000002,,10.374007,,23.22184,42.750828000000006,19.631155,17.517971,35.291115000000005,,,,,,,34.907936,,48.776489,21.552216,23.901394,,24.078733,39.909209999999995,21.812849,,,354.275055,13.359298999999998,18.645526999999998,25.724888,33.993408,,20.623120999999998,20.860512,
264,2010-03-29,5.187341,873.506775,15.919767000000002,,23.970184,,10.294389,,23.673738,42.775116,20.581156,18.038118,35.563697999999995,,,,,,,34.397102000000004,,49.46167,22.238903,23.956606,,24.258156,39.673809000000006,22.427469,,,354.87048300000004,13.760078,18.600325,25.562079999999998,34.088749,,21.230362,20.558857,
265,2010-04-05,5.820368,764.565979,16.165423999999998,,24.41753,,10.708396,,24.243828,44.442078,20.546003,18.173422,36.829514,,,,,,,35.529488,,48.031734,22.575859,24.975267000000002,,24.760548,41.262814,22.577993,,,329.862793,13.901092000000002,19.891704999999998,26.487553000000002,35.388088,,21.406713,20.930126,
266,2010-04-12,5.216412999999999,834.882324,16.000528,,23.925447,,10.366047,,23.819917999999998,42.86441,20.243755,17.976622,35.762828999999996,,,,,,,35.035671,,48.826141,22.473305,24.21669,,24.308403,39.865078000000004,22.383574,,,348.201721,13.069847,18.713601999999998,25.707752,34.29023,,21.386368,20.643946,
267,2010-04-19,6.374444,677.413391,15.959304000000001,,24.462260999999998,,11.082592,,24.375389000000002,46.071812,19.913387,17.878218,38.173565,,,,,,,37.019455,,45.57901,22.912813,25.914463,,25.205519,42.660548999999996,22.590538000000002,,,303.426147,12.691335,21.323538,27.421602000000004,36.666579999999996,,21.311756,22.07486,
268,2010-04-26,6.119922,677.413391,15.541182999999998,,24.186403,,10.987053,,24.112272,45.662514,19.245625,17.558413,37.661541,,,,,,,36.602264,,45.57901,22.517263,26.058945,,24.904089000000003,42.263294,22.176614999999998,,,307.713135,12.453835,20.693716000000002,27.130253000000003,36.340015,,20.918352,21.896960999999997,
269,2010-05-03,4.9855480000000005,797.24823,14.210254999999998,,22.501398000000002,,10.318275,,22.504303,43.020695,17.207188000000002,16.143898,35.279247,,,,,,,34.473728,,48.925442,20.964344,24.715183,,23.145729,39.806221,20.201036,,,346.058228,11.689387,18.079239,25.467813,34.130432,,19.188725,20.930126,
270,2010-05-10,5.5225230000000005,680.384521,14.428153,,22.419392000000002,,10.684513,,22.687027,44.672768,17.087694,16.30995,36.587734000000005,,,,,,,35.214465999999994,,47.138034999999995,21.535702,25.683277,,23.569167999999998,41.329018,20.577335,,,317.001709,11.741339,19.316248,26.36758,35.422825,,19.426121,21.463820000000002,
271,2010-05-17,4.617303,782.3927,13.821582000000001,,21.420324,,10.127197,,21.576061,42.380699,16.651894,15.541197,34.681896,,,,,,,33.843681,,49.987957,20.744591,24.577919,,22.349085000000002,39.151493,19.730658,,,347.487244,11.429623,17.272699,25.05649,33.588454999999996,,18.605394,21.355534,
272,2010-05-24,4.882941000000001,709.105225,13.933473999999999,,22.240454,,10.445664,,22.3435,43.482085999999995,16.658926,15.854849,35.521038,,,,,,,34.678065999999994,,47.60474,21.770101999999998,25.502665,,22.865828,39.975429999999996,19.711845,,,325.575806,11.793291,18.065651000000003,25.819153,34.401405,,18.67322,20.783169,
273,2010-05-31,4.033586,836.863159,13.538910000000001,,21.293571,,9.752998,,21.378717,40.817928,16.307467000000003,15.504299,33.579651,,,,,,,32.62616,,50.295795,21.301291,23.768767999999998,,21.875404,37.606621000000004,19.348085,,,360.229218,11.488997,16.053829,24.439505,32.309952,,18.198421,19.421860000000002,
274,2010-06-07,4.920564,656.615662,14.310372000000001,,22.315008,,10.501392999999998,,22.657787,44.151844,16.834654,16.113157,35.961937,,,,,,,34.482239,,47.584881,21.8873,25.350943,,23.303621,40.497741999999995,20.26375,,,311.523865,12.14954,18.391893,26.196194000000002,34.741890000000005,,18.856355999999998,20.651678,
275,2010-06-14,5.285387,610.0682370000001,14.598932999999999,,22.993489999999998,,10.756166,,23.015926,45.149025,17.565676,16.482151,36.857952000000004,,,,,,,36.006271000000005,,45.618732,22.136351,26.03005,,23.676819000000002,41.115681,20.508345000000002,,,296.638367,12.320242,19.284525,26.821753,35.596542,,19.405770999999998,21.401941,
276,2010-06-21,4.734732,656.615662,14.716716,,22.352287,,10.366047,,22.708954000000002,43.318366999999995,17.087694,16.113157,35.435691999999996,,,,,,,34.601036,,47.207542,21.242693,25.141436,,23.329445,40.155632000000004,20.625110999999997,,,312.35742200000004,12.602271,18.052052,25.71632,34.158221999999995,,19.215851,20.087038,
277,2010-06-28,3.7580150000000003,824.9786379999999,13.980584,,21.511719,,9.601727,,21.461289999999998,40.24017,16.897984,15.934413000000001,33.152060999999996,,,,,,,32.407528000000006,,50.702927,21.112797,23.803888,,21.997576000000002,37.025074,19.954481,,,362.253662,12.223757,15.534751000000002,24.028181,31.871840999999996,,18.798851000000003,19.132317999999998,
278,2010-07-05,4.304719,693.259338,14.9422,,22.636372,,10.115103,,22.682602,42.579876,17.77861,16.760126,34.873505,,,,,,,33.892632,,47.932438,21.985603,25.288441,,23.177443,39.020615,20.935123,,,322.717773,12.787818,17.140068,25.159319,33.506119,,19.644281,19.770329999999998,
279,2010-07-12,4.089942,719.2070309999999,14.73175,,22.251423000000003,,9.970717,,22.336817,41.942444,18.088993,16.501698,34.392944,,,,,,,33.926765,,48.63747,21.594341,24.844532,,22.858946,38.39006,20.871862,,,330.69638100000003,12.587427,16.617094,24.876534,33.015133,,19.444956,20.104889,
280,2010-07-19,4.842235,590.0627440000001,15.615649,,23.496838,,10.532224000000001,,23.712629,44.507153,19.207834,17.415654999999997,36.372593,,,,,,,35.343575,,45.688235999999996,22.376858,26.096222,,24.299398,40.74168,22.073935000000002,,,292.470398,13.574532999999999,18.577126999999997,26.290460999999997,35.02816,,20.482845,20.984087,
281,2010-07-26,5.1293690000000005,551.636353,15.627675,,23.844049,,10.796932,,23.918636,45.414543,19.453251,17.390438,37.046825,,,,,,,36.034912,,44.873978,22.181227,26.612903999999997,,24.675795,41.594772,22.238428,,,280.800171,13.544845,19.227446,26.718921999999996,35.736591,,20.537827,21.567625,
282,2010-08-02,5.311986,525.094421,16.04859,,24.259188,,10.933296,,24.470434,45.976978,19.972970999999998,17.964032999999997,37.498703000000006,,,,,,,36.649437,,44.268246000000005,22.045794,26.838503000000003,,25.175245,42.195675,22.769875,,,273.178802,13.685858999999999,19.668564,27.01885,36.206516,,21.19768,21.505383,
283,2010-08-09,4.726233000000001,584.912781,15.42324,,23.338337,,10.516179,,23.587555,44.334656,18.753078,17.25177,36.171764,,,,,,,35.514286,,45.876915000000004,21.489006,26.183546,,24.212538000000002,40.600727,21.890451000000002,,,292.70858799999996,13.374142,18.276979,26.230476,34.915946999999996,,20.379739999999998,21.030773,
284,2010-08-16,4.632052,587.289673,15.501407999999998,,23.330778,,10.47607,,23.558125,44.229675,18.695332999999998,17.434563,36.057003,,,,,,,35.181408000000005,,45.926559000000005,21.609385999999997,26.096222,,24.21977,40.333667999999996,22.054956,,,293.542145,13.196017999999999,18.12236,26.144781,34.698509,,20.544708,20.867373999999998,
285,2010-08-23,4.866354,553.220947,15.723885999999998,,23.662895000000002,,10.636502,,23.845064,44.927094,19.09234,17.636264999999998,36.566265,,,,,,,35.676449,,45.181808000000004,21.504053,26.481911,,24.55274,41.030994,22.421898000000002,,,284.253601,13.173754,18.658987,26.504688,35.287689,,20.792145,21.131918,
286,2010-08-30,5.76451,459.72997999999995,16.259041,,24.810183,,11.294266,,25.014872,47.731758,19.741982,18.172035,38.696545,,,,,,,37.835803999999996,,42.619846,22.030746,28.061085,,25.848423,43.560669,23.408869,,,252.81543,13.589375,20.832754,27.970034000000002,37.433975,,21.479494,22.096701,
287,2010-09-06,5.440623,485.677673,16.373281,,24.734707,,11.077685,,24.933943,46.749363,19.994623,18.342222,38.043831,,,,,,,37.144474,,43.344746,22.000643,27.449790999999998,,25.652977,42.774315,23.453157,,,260.91314700000004,13.7675,20.146067000000002,27.490158,36.704533000000005,,21.575714,22.065578,
288,2010-09-13,5.731203,458.14538600000003,16.547663,,24.991339,,11.26218,,25.154660999999997,47.649277000000005,20.557648,18.531319,38.732409999999994,,,,,,,37.613903,,42.540409000000004,22.226372,28.024683000000003,,25.790518,43.174896000000004,23.408869,,,251.14823900000002,14.242495000000002,20.855495,28.030015999999996,37.405926,,21.775045000000002,22.509076999999998,
289,2010-09-20,5.635873999999999,452.401245,17.136932,,25.549887,,11.270201,,25.618177,47.071842,21.416622,19.142723,38.40247,,,,,,,37.682838000000004,,42.411316,21.970554,27.675383,,26.458118,43.412788,24.441645,,,249.12381000000002,14.710071,20.746353,27.652969,37.020153,,22.579239,22.306776,
290,2010-09-27,5.512980000000001,462.304932,17.689383,,25.957481,,11.189983,,26.066513,47.021815999999994,21.815489000000003,19.683769,38.447272999999996,,,,,,,37.40041,,42.699290999999995,22.496973,27.562157,,26.647896000000003,43.106121,24.958553,,,252.57725499999998,14.710071,20.522985000000002,27.481586,37.041969,,23.305070999999998,22.304361,
291,2010-10-04,5.932197,428.038116,18.162066,,26.689628999999996,,11.454694,,26.894728000000004,48.064384000000004,22.828819,20.363615,39.30101,,,,,,,38.350407000000004,,41.696354,22.744028,28.075696999999998,,27.392365,44.100925,25.635008,,,241.383362,15.155382999999999,21.43512,28.072863,37.983238,,24.107019,22.845308,
292,2010-10-11,6.187172,409.815277,18.380228,,27.036839,,11.607101,,27.279251000000002,48.774567,23.154524,20.668591,39.829178000000006,,,,,,,38.881031,,41.229641,22.83667,28.471854999999998,,27.669721999999997,44.729240000000004,25.922182,,,234.95280499999998,15.541317999999999,21.986960999999997,28.449915,38.492794,,24.335169,23.190266,
293,2010-10-18,6.560447,382.28299,18.113588,,26.900978000000002,,11.831703,,27.301439000000002,49.734032,23.038713,20.363615,40.545441,,,,,,,39.522911,,40.415375,22.898433999999998,28.956049,,27.895988,45.664215000000006,25.749878,,,225.783356,15.096006,22.789639,28.946928000000003,39.3279,,24.072453,23.613617,
294,2010-10-25,6.194063,403.08078,18.052989999999998,,26.719826,,11.647212,,26.783806,48.744335,23.017001999999998,20.255602,39.76405,,,,,,,38.975165999999994,,41.14027,22.697704,28.501202000000003,,27.625927,44.774117,25.77541,,,234.476471,14.992102,21.891185999999998,28.458484999999996,38.60603,,23.809746,23.268658,
295,2010-11-01,7.156538,347.025818,18.895336,,28.002978999999996,,12.224758,,28.085274,51.109028,23.378906,21.227722,41.688595,,,,,,,40.609837,,39.293278,23.361658,29.719003999999998,,28.764540000000004,47.070419,26.675213,,,212.32685899999998,16.179594,24.089423999999998,29.718155,40.54517,37.440323,24.922801999999997,24.374081,
296,2010-11-08,6.078061,400.50579799999997,17.980267,,26.508485999999998,,11.583036,,26.680281,48.434589,22.133961,20.192066,39.76405,,,,,,,38.726974,,41.001247,23.006517000000002,28.405827000000002,,27.355875,44.639480999999996,25.341454000000002,,,232.21388199999998,15.771395000000002,21.863825,28.338514,38.499874,35.826828000000006,23.789007,23.433294,
297,2010-11-15,5.669182,424.07665999999995,17.737862,,26.168820999999998,,11.374479,,26.266171000000003,47.475117,21.569391,19.861670999999998,38.87413,,,,,,,37.948153999999995,,41.835373,22.913870000000003,27.628189000000003,,27.005539000000002,43.734421000000005,25.143625,,,242.21693399999998,15.036632999999998,20.837677,27.790081,37.636459,35.28183,23.519389999999998,22.633635,
298,2010-11-22,5.8483540000000005,408.230713,17.083376,,25.768782,,11.478757,,25.866857999999997,47.981297,20.744259,19.219948000000002,39.308243,,,,,,,38.350407000000004,,41.289223,23.068274,27.995001000000002,,26.706284999999998,44.205653999999996,24.428877,,,235.78642299999998,14.517103,21.307425,28.047153,38.082316999999996,34.213337,22.710514,23.056988,
299,2010-11-29,6.125152,387.829102,17.865122,,26.568859000000003,,11.687316000000001,,26.547172999999997,48.933212,21.30883,19.906149,40.024521,15.215907000000001,,,,,,38.846798,,40.604042,23.593262,28.339802000000002,,27.560232,44.93119,25.52652,,,227.093277,15.162804000000001,22.09186,28.561314000000003,38.690956,35.57584,23.643831,23.323539999999998,
300,2010-12-06,5.894296,400.50579799999997,17.816641,,26.372622999999997,,11.550953,,26.369699,48.313705,21.750345000000003,19.810837,39.554237,15.197679999999998,,,,,,38.632832,,41.070759,23.902067000000002,28.061028999999998,,27.406969,44.467445,25.545662,,,232.332962,15.11085,21.526332999999997,28.158556,38.18848,35.439587,23.519389999999998,23.213783,
301,2010-12-13,5.722013,410.607605,17.653015,,25.972578,,11.406564,,26.221796,47.807528999999995,21.692435999999997,19.645647,39.221428,14.869541,,,,,,37.434647,,41.626841999999996,23.979277,27.906971000000002,,25.837725,43.622227,23.739667999999998,,,236.262741,14.717495999999999,21.175161,27.867207,37.891247,35.15992,23.457163,22.853148,
302,2010-12-20,6.1687959999999995,379.31189,17.004591,,25.889534,,11.550953,,25.955587,48.751888,21.142349,19.4741,39.829178000000006,15.483282,,,,,,39.213905,,40.276356,24.071920000000002,28.464506,,27.851643,45.166885,25.972454,,,223.52075200000002,14.925304999999998,22.315331,28.312804999999997,38.867882,35.633198,23.215199,23.605776000000002,
303,2010-12-27,6.532596,356.731445,18.450579,,27.197470000000003,,11.916163000000001,,27.376213,50.056908,22.448198,20.265842000000003,40.924652,15.708119,,,,,,39.795952,,39.611038,24.618303,29.128109000000002,,28.473814,46.057533,26.573126000000002,,,216.018448,14.799134,23.086081,28.895515000000003,39.186363,36.615639,24.455372,23.786089,
304,2011-01-03,6.377386,363.267883,18.341017,,27.057678000000003,,11.826692,,27.185356,49.813175,21.729141000000002,20.442293,40.756432000000004,15.4529,,,,,,39.622219,,39.819571999999994,24.792006,28.839724,,28.174248,45.702785,26.149918,,,217.20930499999997,15.787604,22.816999,28.801252,39.365134999999995,36.608398,24.405392000000003,23.754982000000002,
305,2011-01-10,6.596978999999999,349.40271,18.805023000000002,,27.562483,,11.997502,,27.5289,50.506306,22.657932000000002,20.860554,41.246421999999995,15.562322,,,,,,40.126057,,39.243629,25.013081,28.891485,,28.650471000000003,46.283962,26.784733000000003,20.580751,,211.850525,15.667947,23.405329000000002,29.058332,39.830189000000004,37.230717,24.898064,24.054979,
306,2011-01-17,6.536046,351.977692,18.573023000000003,,27.290657,,11.924299000000001,,27.429648999999998,50.567215000000004,22.553066,20.390013,41.209858000000004,15.513804,,,,,,40.204246999999995,,39.293278,24.349844,28.958035,,28.450764000000003,46.253788,26.361519,20.540222,,211.850525,15.3314,23.373404,29.144023999999998,39.679939000000005,36.608398,24.583897,23.999722,
307,2011-01-24,6.852213000000001,333.754883,18.392576000000002,,27.329497999999997,,12.127645,,27.406752,51.435534999999994,22.470675,20.220098,41.889984000000005,16.023757999999997,,,,,,41.689766,,38.637890000000006,24.444597,29.483063,,28.550627000000002,46.955742,26.252312,20.880672,,204.824539,14.792932999999998,24.062061,29.66675,40.366783,36.051196999999995,24.326841,24.410239999999998,
308,2011-01-31,7.066056,322.66272000000004,18.90169,,27.756634000000002,,12.257789,,27.986946000000003,51.869678,22.792755,20.755989000000003,42.314156,15.821014000000002,,,,,,41.533382,,38.141388,24.649889,29.601384999999997,,29.042209999999997,47.416168,26.743774,21.075212,,199.584854,15.159391000000001,24.586536,29.966665000000003,40.817551,36.905075,24.94805,24.789181,
309,2011-02-07,7.619062,297.705383,18.418356,,27.811003000000003,,12.566875,,27.880065999999996,53.385403000000004,22.987505,20.311594,43.411125,16.140499,,,,,,42.541103,,37.178173,25.170988,30.244721999999996,,29.157428999999997,48.714397,26.395651,21.650723,,189.700897,14.187154999999999,25.863533,30.78932,41.869282,35.928185,24.38397,25.357594,
310,2011-02-14,7.711038,293.743896,18.7728,,28.090584000000003,,12.640081,,28.215969,53.530113,23.669107,20.710239,43.608593,16.232666000000002,,,,,,42.619282,,37.019287,25.139412,30.407415000000004,,29.541479,48.925762,26.928071999999997,21.723677,,187.795532,14.119845000000002,26.146284,30.78932,42.019524,36.622864,24.862366,25.45233,
311,2011-02-21,7.586869999999999,296.120789,18.650357999999997,,27.865362,,12.583144,,27.994587,53.415870999999996,23.646637,20.62528,43.396515,16.15028,,,,,,42.306549,,37.426421999999995,25.218359,30.636652,,29.403216999999998,48.669128,26.900765999999997,21.618305,,189.46270800000002,13.701037,25.84528,30.737897999999998,41.790581,36.31171,24.783821,25.310228,
312,2011-02-28,7.295997,303.449493,18.979023,,27.919725,,12.428600999999999,,28.09383,52.623726,24.470556,20.932438,43.0089,15.891176999999999,,,,,,41.872181,,37.605164,24.981491000000002,30.296497,,29.418573,48.110569,27.207929999999998,21.358915,,191.725311,14.157241,25.302560999999997,30.33515,41.368454,36.847187,25.112278,24.954973000000003,
313,2011-03-07,7.277602000000001,301.270752,18.598803,,27.616840000000003,,12.420465,,27.841896000000002,52.928398,24.01366,20.468441000000002,43.096661,15.854173000000001,,,,,,41.715824,,37.257614000000004,24.728844,30.584894,,29.095971999999996,48.148319,26.559469,21.391336,,190.415375,13.940357,25.448504999999997,30.523674,41.382754999999996,36.123558,24.562471,25.081282,
314,2011-03-14,6.983278,311.768616,18.141241,,26.910118,,12.28219,,27.276965999999998,52.136253,23.968721,19.912943,42.628624,15.533377,,,,,,41.628948,,37.704468,24.555141,30.414821999999997,,28.450764000000003,47.242569,25.815448999999997,21.115734,,194.583328,13.551463,24.855623,30.180902000000003,40.867622,35.276917,23.862728,24.702339000000002,
315,2011-03-21,7.101697,305.826385,18.463467,,27.585775,,12.34726,,27.177722999999997,51.999153,24.253347,20.272377,42.431164,15.874028,,,,,,41.811378000000005,,37.406563,24.112988,30.037687,,28.969259,47.822224,26.591005,21.107639000000002,,192.20163,14.232029,25.03805,29.958101,40.788925,36.123558,24.219744,24.789181,
316,2011-03-28,7.663900999999999,282.255585,18.979288,,28.144957,,12.664482000000001,,28.310953,53.926216000000004,24.618404,20.720167,43.922173,16.159160999999997,,,,,,42.871208,,36.552578000000004,24.516909,31.29845,,29.594658000000003,49.106087,27.023211,21.807617,,182.674927,14.935027999999999,26.360567,30.643642,42.203053000000004,36.970207,24.702944,25.440464000000002,
317,2011-04-04,7.273002,295.724609,19.134957999999997,,28.043989,,12.436735,,28.062477,52.875298,24.746235000000002,20.864786,43.118095000000004,16.041391,,,,,,42.158863000000004,,37.247681,24.306953,30.865717,,29.378464,48.202068,27.146706,21.416451000000002,,189.105438,15.34636,25.364109,30.146627000000002,41.467957,37.252419,24.918438000000002,25.059452,
318,2011-04-11,7.81796,273.93649300000004,19.102528,,28.253683000000002,,12.770223,,28.474024,54.332786999999996,24.986849,20.943665,43.995937,16.376095,,,,,,43.02758,,36.453278000000005,24.290796,31.611807000000002,,29.818565000000003,49.501137,27.119255,21.986897,,181.126831,15.294006,26.461128000000002,30.840730999999998,42.498539,37.209003,24.932806,25.750031,
319,2011-04-18,8.218059,260.07132,19.290636,,28.587627,,12.997972,,28.870039000000002,55.237942000000004,25.167317999999998,21.173745999999998,44.726257000000004,16.685017000000002,,,,,,43.722557,,35.837612,24.306953,32.044548,,30.374475,50.359581,27.674952,22.378069,,175.410797,15.121995000000002,27.293034000000002,31.363462,43.233627,37.607002,25.212954999999997,25.908794,
320,2011-04-25,9.002151,233.92552200000003,19.73171,,29.356501,,13.404667000000002,,29.592169000000002,56.99456,26.829096000000003,21.587885,45.862301,17.014979999999998,,,,,,45.129878999999995,,35.043209000000004,24.888379999999998,32.962227,,31.262403000000003,52.000492,28.443312,23.087061,,166.122223,14.867721,28.728312,32.288937,44.559673,38.243801,25.801975,27.067697999999996,
321,2011-05-02,8.383612,251.950256,19.160912,,28.556555,,13.071178999999999,,28.792381,55.83625,25.543285,21.048849,44.984451,16.49824,,,,,,44.122177,,35.639008000000004,24.662268,32.163921,,30.590671999999998,50.838184000000005,27.812164000000003,22.589951,,173.029114,14.523698000000001,27.544437,31.646246,43.572342,37.266903000000006,25.227322,26.432684000000002,
322,2011-05-09,8.388213,250.761795,18.966312,,28.401239,,13.071178999999999,,28.6992,55.828602000000004,25.265060000000002,20.825342000000003,44.859028,16.373726,,,,,,44.29591,,35.688663,24.420004000000002,32.081852000000005,,30.328159000000003,50.883762,27.366229999999998,22.606249,,173.267303,14.493782000000001,27.457594,31.586258,43.622784,36.890602,24.939992999999998,26.559687,
323,2011-05-16,8.460642,248.186844,19.17388,,28.735182000000002,,13.119979999999998,,29.048621999999998,56.143101,25.678637,21.048849,45.021336,16.45384,,,,,,44.521774,,35.470203000000005,24.629969,32.245991,,30.552063,51.043304,27.668090999999997,22.679596,,171.838272,14.763017000000001,27.640427000000003,31.774782000000002,43.745312,37.245193,25.1052,26.583503999999998,
324,2011-05-23,8.876833999999999,235.90625,19.329554,,28.867209999999996,,13.364,,29.219459999999998,57.048283,26.114759,21.147453,45.530342,16.635197,,,,,,45.095127000000005,,35.063068,24.629969,32.641407,,30.968996,51.894146,27.921923,23.062618,,167.432159,14.695707999999998,28.326069,32.066128000000006,44.465992,37.476746,25.220135,26.980390999999997,
325,2011-05-30,8.414655999999999,246.00802599999997,19.44631,,28.595388,,13.144383,,28.994276,56.066387,26.438093,21.167177,44.925442,16.122383,,,,,,44.365406,,35.609219,24.339251,32.410121999999994,,30.737368,51.111668,28.004251,22.695898,,171.719193,14.650835999999998,27.443882000000002,31.689089000000003,43.730892,37.556351,25.191397,26.615244,
326,2011-06-06,7.336237,277.89797999999996,18.901449,,27.748873,,12.550611,,28.178955,53.788132,25.956854,20.621557,43.140217,15.634585999999999,,,,,,42.697479,,37.078869,23.773979,31.462590999999996,,29.702755,48.931374,27.215304999999997,21.742422,,185.532959,14.127323,25.2864,30.472258,41.871536,36.680759,24.674208,25.519838,
327,2011-06-13,7.806464,259.67514,18.804152,,27.865362,,12.843427,,28.194481,54.946453000000005,25.520726999999997,20.450647,43.848396,15.7409,,,,,,43.383759000000005,,36.413555,23.967785,31.969935999999997,12.961027,29.71047,49.523926,26.954609,22.190638,,178.864243,13.910442000000002,26.118311,31.0721,42.721939,36.355121999999994,24.566467000000003,25.829411999999998,
328,2011-06-20,7.709888,261.655914,17.947947,,27.50811,,12.623814999999999,,27.852827,54.256073,24.347701999999998,19.872162,43.346767,15.911706,,,,,,43.262142,,36.463207000000004,23.418661,31.522276,12.986605,29.677176,49.667259,26.928238,21.897263,,179.340576,14.015145,25.958332000000002,30.660776000000002,42.217468,36.138034999999995,23.919979,25.55159,
329,2011-06-27,8.749217,229.36981200000002,19.509935000000002,,29.168446999999997,,13.356373000000001,,29.451109000000002,57.08387,26.389646999999997,21.360695,45.692108000000005,16.483351000000003,,,,,,45.268871000000004,,34.854538,24.758298999999997,32.892464000000004,13.573262,31.117822999999998,51.964546,28.231657000000002,23.071953,,164.097824,14.725625,28.345484000000003,31.971874,44.430538,37.918167,25.491791,27.025558,
330,2011-07-04,9.420643,211.345062,19.442823,,29.434607,,13.702226000000001,,29.638895,58.451115,25.927887,21.293404000000002,46.674735999999996,16.923075,,,,,,46.198391,,34.070065,25.039644,33.832245,13.925896,31.374794,53.26635400000001,27.885006,23.663332,,156.952774,14.852762,29.572126,32.700268,45.615246,37.853035,25.208063,27.649040000000003,
331,2011-07-11,8.823949,225.012177,18.872362,,28.831834999999998,,13.389312,,29.044239,57.107043999999995,25.242941000000002,20.781927,45.550671,16.420528,,,,,,45.103817,,34.914120000000004,24.245262,33.343544,13.451442000000002,30.744032,52.102379,27.399684999999998,23.137659,,164.335999,14.314294,28.116640000000004,31.869045,44.604973,37.107693,24.837035999999998,26.761770000000002,
332,2011-07-18,9.598846,205.006683,19.362291,,29.55204,,13.801042,,29.936221999999997,59.061329,25.897102,21.165526999999997,46.801285,16.859823000000002,,,,,,46.632759,,33.980694,24.294912,34.403636999999996,13.707907,31.476022999999998,53.710487,27.822609000000003,23.876881,,155.404678,14.703187,29.654514000000002,32.931633000000005,45.920517,37.838561999999996,25.346287,27.904822999999997,
333,2011-07-25,8.605505,226.39869700000003,19.087120000000002,,28.769201000000002,,13.331674,,29.169428000000003,57.045265,25.219852,20.943441,44.984921,16.190732999999998,,,,,,44.982197,,35.321251000000004,22.937839999999998,33.366096,12.816696,30.712875,51.872658,27.351151,23.04731,,167.908478,14.875197,27.393463,31.663382000000002,44.365120000000005,37.657658000000005,25.04801,26.969603999999997,
334,2011-08-01,5.724357,326.624176,17.355593,,25.747459,,11.651833,,26.18833,49.931015,22.626291000000002,19.193665,39.908015999999996,14.101404,,,,,,40.021805,,39.630897999999995,22.457893,29.719742,11.181753,27.559046000000002,45.455574,25.278149,20.230048999999998,,210.302414,13.730954,21.45249,28.192837,38.906689,34.676303999999995,23.141942999999998,23.548437,
335,2011-08-08,5.738153,266.013519,17.234787,,25.825745,,11.940038000000001,,26.266575,51.352306,22.895657,18.904284,40.711987,13.886795999999999,,,,,,40.725475,,38.052017,22.474453,30.877556,11.149693,27.761511,46.680805,25.07016,20.731079,,189.700897,13.312141,21.93766,29.006908000000003,39.822502,33.959911,22.516291,24.060015,
336,2011-08-15,5.204693,283.444061,16.738146,,25.082056,,11.544785000000001,,25.617147,49.822868,21.702772,18.271673,39.446476000000004,13.646927999999999,,,11.549292999999999,,,40.03051,,39.293278,21.862108,30.200912,10.732942999999999,26.842627,45.248821,24.411505,20.074001000000003,,200.061203,12.728803,20.48674,28.055725,38.674118,32.838287,21.912464,23.820223000000002,
337,2011-08-22,5.696764,254.52520800000002,17.228073000000002,,25.763117,,11.981213,,26.094433,51.491344,22.549332,18.863909,40.682217,14.132381,,,11.500564,,,41.046909,,37.903061,21.977964,31.930119,10.84194,27.792669,46.749728999999995,25.042425,20.805,,187.200104,12.893333,21.745424,28.972637,39.924248,33.554672,22.523564999999998,24.083998,
338,2011-08-29,5.770345,245.215729,17.603908999999998,,26.131054000000002,,12.038856,,26.681269,51.815781,22.941826000000002,19.173477,40.868317,14.214882000000001,,,11.334877,,,41.533382,,37.515793,21.630411,32.178222999999996,11.015052,28.096369,47.101967,25.493084,20.911779,,183.865768,13.020472999999999,21.891888,29.272555999999998,40.294922,34.300022,22.952793,24.523638000000002,
339,2011-09-05,5.626632,245.41381800000002,16.738146,,25.387358,,11.972978999999999,,25.914473,51.421848,21.233313,18.278402,40.667309,14.221224,,,11.354368,,,41.290154,,37.704468,21.829006,32.268440000000005,10.720119,27.325428000000002,46.826298,24.314447,20.796795,,184.699356,12.422174,21.603539,29.041195000000002,40.018738,32.715275,21.977936,24.227877,
340,2011-09-12,6.318752,218.27764900000003,16.899216,,25.896202,,12.458814,,26.282221000000003,53.322033,21.51037,18.372625,42.200809,14.66544,,,11.846556,,,42.428169,,36.274536,22.656489999999998,33.065371999999996,11.047108,27.784883,48.219986,24.224318,21.601723,,171.004684,11.891183,23.287878,29.743864000000002,41.574127000000004,32.794868,22.07979,24.995243,
341,2011-09-19,4.709172,282.651764,15.342182000000001,,23.704262,,11.330687,,23.645391,48.532883,19.27853,16.737261,38.180977,13.517879999999998,,,11.261782,,,38.805415999999994,,39.521667,21.481472,29.937771,10.085372999999999,25.589848,44.22382,22.636576,19.474409,,202.323792,10.664672999999999,19.237217,27.413031,37.474861,29.922058000000003,20.268303,22.853018,
342,2011-09-26,4.472333,290.178558,14.885807000000002,,23.438089,,11.182466,,23.974878,47.397381,19.94302,16.93524,38.051189,13.696498000000002,,,11.159447,,,38.761848,,39.99831,20.587784,29.155876,10.278153,25.487764000000002,43.614002,22.41972,19.363346,,207.32531699999998,9.894362,18.775858,27.215937,37.332375,29.668784999999996,20.326742000000003,22.573257,
