Name,Riskiness R
CARZ,[3.68939406e+12]
CROP,[3.99957089e+12]
DPK,[6.45472846e+12]
DZK,[7.26833475e+09]
EDOM,[1.64870773e+12]
EFO,[9.8807068e+11]
EFU,[3.98354339e+12]
FDTS,[3.99554739e+11]
FLM,[2.12490378e+12]
FPXI,[1.01359355e+12]
FTAG,[1.50917131e+12]
FTRI,[1.30310141e+12]
GDXS,[8.38617261]
GSD,[1.06378825e+12]
HGI,[1.51353046e+12]
HGSD,[9.45451552e+11]
HSCZ,[7.03747324e+11]
IDMO,[2.35910159e+12]
IPO,[3.41383985e+11]
ISZE,[1.98255447e+12]
PAGG,[4.92268857e+11]
PEX,[6.65930091e+11]
ROGS,[2.6976509e+11]
SCID,[8.59837678e+11]
SMCP,[1.99408342e+12]
SOIL,[1.23387638e+12]
TLDH,[1.16363345e+12]
YLCO,[9.27424132e+10]
