AGG,AGND,AGZD,BIV,BLV,BND,BNDX,BOND,BSV,BYLD,FBND,FCOR,FLTB,FTSD,FWDB,GBF,GVI,HOLD,ILTB,ISTB,IUSB,KCNY,LDUR,MINC,MINT,NEAR,RAVI,SAGG,SCHZ,SPAB,ULST,VBND,WYDE,XMPT
-0.004896418390653379,0.003762802611347337,0.0035989151465856775,-0.011393119498722898,-0.00616470104849895,-0.008213369940345359,-0.0005652511718064197,-0.002114083637935205,-0.003373971454514656,0.0007160345950462186,0.002805268787656046,0.002323638227104243,0.0009413319539509935,-0.0009056870389150912,-0.012057559580607249,-0.0036749159815449273,-0.003699886328970975,-0.0015111149571393036,-0.005372117476642288,-0.0006990928819786697,-0.0007953127772594839,-0.005658208512504117,0.0010967768369852914,-0.005480802687781078,0.0002968016236961158,0.00019976172680411989,-0.0001322340103877199,-0.0020912953385234627,-0.0005735224273830693,-0.0010301813201969543,-0.001995557998387573,-0.0007280629307091424,0.0008985879101773731,-0.0011442409317623044
0.00967914311645895,-0.0044209547874050695,0.00020309272289238884,0.013748324299088623,0.015937219271688764,0.009174543253647504,0.00798864703805849,-0.006632506898256571,0.0034978769356465594,0.002481121270251312,0.0014980782844523388,0.003557990098335272,0.0016598187774862535,0.0,0.010260178862074964,0.005192207487505839,0.006237737414894074,0.001920167498826664,0.01940584669241508,0.0027001751306646826,0.00759208447623616,0.005814381489835313,-0.0009958906992585006,0.0059950713575006856,9.90674536083932e-05,0.00043980571149022696,-0.0023830034353306546,-0.00808410866117496,0.004212901286673745,0.00515567590542592,-0.0004995830419341271,0.006647860053094503,0.005258381293872568,0.003435476751116808
0.00543356503846822,-0.00754858862616339,-0.005883692206958273,0.010016074682597948,0.01653149074028493,0.006533510974966389,0.00018768632778787324,0.022597435777673158,0.0037523198899389936,0.005169048351051375,0.007284728604459363,0.010372229482398871,0.004960861366746889,0.001571759688237684,0.007050651860813808,0.008137342978860864,0.0038760259813080326,-0.0007062362647451724,0.011406440170995362,0.0010976154180027593,0.005047676740754044,0.0005759065487419915,0.0026016932218356835,0.002646485718821945,0.0003564396284962669,0.0017992837032171874,0.002769077703766756,-0.0012072813855225385,0.0071657737998297565,0.007531670470959253,0.0010533569212354496,0.006003598059462499,0.0017861444701747198,0.021532047954365044
0.004232849282331503,-0.01208043777745052,-0.004285735205092471,0.007349030405021345,0.009011695353423112,0.00601013768553778,0.006746553968193935,0.006632872362895659,0.004112211358812212,0.000791007562513065,0.0019853834884126305,0.0041503097670309175,0.003183457740803617,0.00020148877943189936,-0.0011666785077623244,0.006682389359110945,0.0036809710710713844,0.00020155460480267902,0.010041603774126773,0.0023906404972404947,0.003939018365778123,0.000287633473794606,0.0020009396798069,0.0016242955902328892,-0.0004948780551455091,0.0003988061077041283,0.001060564399117174,-0.007555075173077928,0.005121439127826653,0.0051011817935527745,0.0017487627572188688,0.004973163547502765,0.002292409693958627,0.010849216487373121
0.0018835577209485035,0.0018112898584669813,0.0010248126378897577,0.0013894033669528227,0.012319348135132696,0.00047766294823747813,0.005770475776579107,0.00375161917057386,-0.001737289179306676,0.0031618044995042893,0.0053507247926220655,0.0011808629424757801,-0.0006341806871202022,0.003324646722920105,0.0031154385805283835,-0.00560345654645515,0.001699295204070384,-0.00030226565795441135,0.009483208208160432,0.00029844260367731815,-0.0007847706629458673,-0.0017258282470834624,0.0008983935906751459,-0.0020273676504645012,0.0005943538519997706,-0.0005981832309796321,-0.0010594407939281613,0.0033495118252152714,0.0009434168978041527,0.001014868004722241,-0.0004989362821944222,0.001583617368884485,-0.010927573617665744,0.0014804187406464693
0.00599768805117284,-0.008363714310064184,-0.00020449816019747769,0.009483723649780054,0.018658877524020172,0.007404925274645938,0.0005553442689598397,0.008570973846421082,0.003356306699669516,0.003152524441443625,0.0029568905019479647,0.007076798327443059,0.002421075391549004,-0.002912046711016912,0.00038815285672766516,0.013438215783803676,0.006429798285413032,0.0012113884448598164,0.020757388002084782,0.002284989306554193,0.009816768475846172,-0.010662801425064195,0.00827940015541102,0.0014222391406748956,0.00029655966258637347,0.00019965553677776376,0.0006629758222911657,-0.011228990119177966,0.004147846005255022,0.0059152720785169395,0.0004991853438740205,0.003359702927223299,0.005652646744740414,0.01773853696940841
-0.011746142185085556,0.014938891291913425,0.006970952373827322,-0.017070051049405892,-0.0363361673981739,-0.014463564382994143,-0.007769349865457354,-0.011762309201461702,-0.0065665619250362935,-0.004713219832748726,-0.004191742653574371,-0.004981053295860468,-0.0028737407858886264,0.0009131343004240851,0.00290626145325128,-0.0128322027367167,-0.011534916112265384,0.0011089433464319949,-0.032803882465828195,-0.005055828989138429,-0.01312362284825708,0.009461719589967678,-0.005546299216771846,0.0003966209528483137,-0.0008711750550859911,-0.0007986328324463673,-0.0018558895587019273,0.009208088461621758,-0.008261404050404457,-0.012768852015100349,-0.002244857207084082,-0.009060353046930418,-0.012519085654550028,-0.018155263645090437
-0.0011354467151327976,0.007420854934258277,0.0,-0.0009547790889356127,-0.012975132328167752,-0.001957276377608295,0.0005872684918991671,-9.14581480215579e-05,0.00017153069511916026,0.0026610978416515023,-0.0004945907387143005,-0.004525047511804958,-0.001967845277249973,0.0,-0.003100808080137781,-0.001624567414056019,-0.0001965056932650789,0.001007559529049966,-0.009143133204620771,0.0018059473537832518,-0.0006745402221231602,0.002312825105856303,0.001095471469336307,0.0,0.0012878394422014506,0.0010589491631411523,0.0009105464027594916,0.0009122061333297811,-0.0017903092466583868,-0.0010661431976842788,0.00048454187187218963,-0.004770703568064176,-0.0012937644867392574,-0.01400454474933444
-0.0018957707678116968,0.008258698584355753,0.0008145364144992481,-0.003975019814349965,-0.00934480837294277,-0.0018115061937472273,-0.0005597474442383429,-0.00311555500504992,0.0,-0.001577047313153895,0.0009899388363525123,0.0,0.0008961093333646597,-0.0008050976544479875,-0.0007777819413427872,-0.002347263342442021,-0.0013483806537044993,-0.0015096216266448266,-0.010097546950239691,0.0014954398517211533,0.002867201369274613,-0.004615192357890909,0.00785979252546858,0.002436895889196099,0.0006928384799970795,0.0001997977321650484,0.0007961492752529026,0.0030387508376763287,-0.005130469910293217,-0.0015364354108047993,0.000249340266843979,-0.0033952884801945354,0.0006736010711710616,-0.0015062359347941313
0.005879648670897218,-0.007084194622744177,0.001627569693955584,0.007981964909110012,0.017170098326994628,0.00520245179507729,0.005973452560409372,0.006710002876758456,0.0016226936883613641,0.005528635572680513,0.0,0.008893556459542755,-0.002089940742331342,0.0008057463589516595,0.0015564595773632055,0.006971165516762912,0.0039613837149723285,0.00010092901054728929,0.018047540134844903,0.0,0.0058176147223165465,-0.0032453257742642728,-0.001382177389808808,-0.002228136809979902,-0.0004939647575335772,0.0007984149443249258,0.0003980320993843813,-0.003938158526827328,0.008976707412835185,0.005471253609315606,0.0017494901579787664,0.008978127126291582,-0.0011908300417032536,0.008675572271302258
