,Date,ANGL,CJNK,GHYG,HYGH,HYHG,HYIH,HYLD,HYLS,HYND,HYS,HYZD,JNK,PGHY,PHB,RIGS,SHYG,SJB,SJNK,UJB,WBII
81,2011-12-01,,,,,,,47.52,,,68.3377,,24.555096,,13.291181,,,36.758686,,35.838131,
82,2012-01-01,,,,,,,48.529999,,,69.015884,,25.689911,,13.393745999999998,,,36.124916,,37.457882,
83,2012-02-01,,,,,,,49.16,,,70.061676,,26.093439,,13.696361999999999,,,35.39212,,39.095345,
84,2012-03-01,,,,,,,49.75,,,70.51958499999999,,25.765821,,13.583682999999999,,,35.491146,,38.254478000000006,
85,2012-04-01,17.103981,,35.795277,,,,49.939999,,,71.248413,,26.155397,,13.739374,,,35.025719,20.527712,36.953384,
86,2012-05-01,16.829519,,34.682198,,,,48.700001,,,70.052361,,25.244087,,13.535810000000001,,,36.025890000000004,20.160414000000003,37.08614,
87,2012-06-01,17.037032999999997,19.523948999999998,35.217602,,,,48.68,,,71.596184,,26.301163,,13.84743,,,34.362244,20.578297,38.785545,
88,2012-07-01,17.349664999999998,19.918518,35.698051,,,,49.02,,,72.325806,,26.747444,,14.005593,,,33.886917,20.733179,40.759353999999995,
89,2012-08-01,18.048257999999997,19.844553,36.680206,,,,49.330002,,,73.14104499999999,,27.083810999999997,,14.225651000000001,,,33.520515,20.929062,41.759529,
90,2012-09-01,18.01754,20.072931,36.995159,,,,49.91,,,73.88076,,27.288425,,14.278179999999999,,,33.124413,21.162409,42.219791,
91,2012-10-01,18.338591,20.403999,37.575645,,,,49.880001,,,74.60140200000001,,27.529584999999997,,14.424616,,,32.876846,21.305609,42.839352000000005,
92,2012-11-01,18.587528,20.387203,37.533642,,,,49.610001000000004,,,74.637909,,27.833387,,14.497738,,,32.332203,21.419643,43.255356,
93,2012-12-01,18.544075,20.448605,38.451405,,,,50.07,,,75.79499799999999,,27.936327000000002,,14.596213,,,31.837069,21.475872,44.583023,
94,2013-01-01,18.935411,20.610848999999998,39.469409999999996,,,,50.720001,,,76.604225,,28.315819,,14.655316000000001,,,31.688526,21.851035999999997,44.981331,
95,2013-02-01,18.984602,20.525807999999998,39.085983,,,,50.900002,35.818859,,76.90612,,28.371307,,14.705929000000001,,,31.292417999999998,21.879457000000002,45.786777,
96,2013-03-01,19.344912,20.476725,39.321095,,,,51.25,36.162724,,77.617416,,28.665859,,14.855317000000001,,,31.005239000000003,22.04162,46.317837,
97,2013-04-01,19.651251000000002,20.85598,40.066811,,,,51.790001000000004,37.221416,,78.786163,,29.265968,,15.098681,,,30.242736999999998,22.340353,48.273945,
98,2013-05-01,19.638085999999998,20.586176000000002,39.871798999999996,,59.165248999999996,,51.040001000000004,37.056877,,78.359474,,28.590490000000003,,14.839151999999999,,,30.945823999999998,22.21076,46.503719,
99,2013-06-01,18.899620000000002,19.955652,38.821106,,57.775314,,49.900002,36.324131,,77.008202,,27.964525,18.471773000000002,14.46911,,,31.381542,21.846354,44.299786,
100,2013-07-01,19.434744,20.240078,39.822651,,59.2323,,51.18,37.00935,,78.768051,,28.666655,18.68952,14.821470000000001,,,30.450691,22.254374,46.415203000000005,
101,2013-08-01,19.11784,19.756956,39.379837,,58.389132999999994,,50.990002000000004,36.940395,,78.69928,,28.379126,18.644472,14.692363,,,30.727968,22.317111999999998,45.379622999999995,
102,2013-09-01,19.289566,20.08091,40.032539,,58.531189000000005,,51.419998,37.190659000000004,,79.479019,,28.640821000000003,18.982807,14.771467000000001,,,30.203122999999998,22.399101,46.220482000000004,
103,2013-10-01,19.737278,20.537933,41.029015,,60.082302,,52.07,38.460205,,80.663811,,29.360468,18.967464,15.182185999999998,20.194601000000002,38.071568,29.500038,22.736469,48.512924,
104,2013-11-01,19.835873,20.330719000000002,41.232834000000004,,60.120316,,51.740002000000004,38.602619,,81.269852,,29.597252,18.943962,15.207635,20.259279,38.253468,29.252470000000002,22.91958,48.68108,
105,2013-12-01,19.951760999999998,20.110955999999998,41.487648,,60.531059,,51.709998999999996,38.715271,20.073843,81.52179,24.940001000000002,29.603113,19.069448,15.242614000000001,20.266413,38.268634999999996,29.044514000000003,22.929163,48.937771000000005,
106,2014-01-01,20.169327,20.835625,41.869362,,60.358948,,52.02,39.046219,19.579325,81.523499,24.9,30.064559999999997,19.064857,15.349537,20.385082,38.703266,29.074222999999996,23.153778,49.831738,
107,2014-02-01,20.677296,20.988943,42.508831,,61.139988,,52.490002000000004,39.688697999999995,19.615101,82.729973,24.950001,30.609976,19.115917,15.663523999999999,20.66481,38.89436,28.262204999999998,23.2812,51.318718,
108,2014-03-01,20.619699,21.155554000000002,42.596672,,61.36775600000001,,52.599998,39.765415000000004,19.796561999999998,82.81459,25.120001000000002,30.603994,19.207056,15.60205,20.673395000000003,38.999748,28.113663,23.315714,51.398379999999996,
109,2014-04-01,20.897198,21.375304999999997,42.948112,,61.372276,,52.740002000000004,39.864326,19.630173000000003,83.17244699999999,25.16,30.775732,19.168394,15.733634,20.792664000000002,39.114371999999996,27.984928000000004,23.414793,52.168415,
110,2014-05-01,21.382862,21.713982,43.213955,100.139999,61.251606,,52.77,40.201384999999995,19.349979,83.426506,25.139999,31.058475,19.391026999999998,15.864917000000002,20.895142,39.127354,27.61853,23.522173000000002,53.363319,
111,2014-06-01,21.472891,21.785211999999998,43.654816,101.065002,62.026008999999995,,53.299999,40.586449,19.642870000000002,83.912033,25.23,31.357591999999997,19.459574,15.92326,20.96891,39.367699,27.321448999999998,23.61784,53.708515000000006,
112,2014-07-01,21.349791,21.559616000000002,42.785244,98.150002,61.57484399999999,,51.970001,39.804092,19.339104000000003,82.50116,24.98,30.613091999999998,19.090086,15.621379999999998,20.626082999999998,38.924659999999996,28.044341999999997,23.263212,51.365742,
113,2014-08-01,21.770275,22.066479,43.036667,99.199997,61.578793000000005,,52.549999,40.298969,19.174829000000003,83.495094,24.969998999999998,31.377031,19.197052,15.929970999999998,20.919724,39.370777000000004,27.331352000000003,23.501392000000003,53.818481000000006,22.861995999999998
