,Date,ERUS,FCOM,FONE,IXP,IYZ,LTL,VOX,WBIF,XTL
0,2005-03-07,,,,28.014954,15.91889,,34.825404999999996,,
1,2005-03-14,,,,27.714012,15.551998000000001,,33.715439,,
2,2005-03-21,,,,27.276276,15.388945999999999,,33.649368,,
3,2005-03-28,,,,27.101179,15.606218,,33.715439,,
4,2005-04-04,,,,27.549868,15.838535999999998,,34.290234000000005,,
5,2005-04-11,,,,26.865902000000002,15.394398,,33.464371,,
6,2005-04-18,,,,26.811182000000002,15.503726,,33.292587,,
7,2005-04-25,,,,27.030053999999996,15.688208,,33.596512,,
8,2005-05-02,,,,27.166854999999998,15.490060999999999,,33.556866,,
9,2005-05-09,,,,26.740049,15.209914999999999,,32.922596,,
10,2005-05-16,,,,27.221560999999998,15.722365,,34.164715,,
11,2005-05-23,,,,27.008173,15.811202999999999,,34.561131,,
12,2005-05-30,,,,26.887789,15.934192000000001,,34.871655,,
13,2005-06-06,,,,26.97533,15.99569,,34.865047,,
14,2005-06-13,,,,27.413071000000002,16.152847,,35.505928000000004,,
15,2005-06-20,,,,26.942514000000003,15.845367000000001,,35.017014,,
16,2005-06-27,,,,27.084774,16.148032999999998,,35.717358000000004,,
17,2005-07-04,,,,27.079296000000003,16.237356,,36.008064000000005,,
18,2005-07-11,,,,27.686651,16.395407000000002,,36.450726,,
19,2005-07-18,,,,27.642881,16.182392,,36.27895,,
20,2005-07-25,,,,28.244768,16.608425,,37.269993,,
21,2005-08-01,,,,28.288535999999997,16.519094,,36.873577000000004,,
22,2005-08-08,,,,28.884951,16.505354,,36.53001,,
23,2005-08-15,,,,28.677028999999997,16.436638000000002,,36.424301,,
24,2005-08-22,,,,27.998539,16.161781,,36.054306,,
25,2005-08-29,,,,28.611371999999996,16.319826000000003,,36.58947,,
26,2005-09-05,,,,28.737211,16.546581,,36.926421999999995,,
27,2005-09-12,,,,28.879477,16.491608,,36.563053000000004,,
28,2005-09-19,,,,28.168159000000003,16.079319,,35.975025,,
29,2005-09-26,,,,28.315895,16.341601999999998,,36.430908,,
30,2005-10-03,,,,27.954762,15.837403,,35.334140999999995,,
31,2005-10-10,,,,27.577222999999996,15.416089999999999,,34.541302,,
32,2005-10-17,,,,27.150429,15.485149,,34.904694,,
33,2005-10-24,,,,27.440428000000004,15.871938,,35.611637,,
34,2005-10-31,,,,27.741371,16.030794,,36.265732,,
35,2005-11-07,,,,27.675713000000002,16.127491,,36.761257,,
36,2005-11-14,,,,27.248928000000003,16.320877,,37.276604,,
37,2005-11-21,,,,27.571753,16.604059,,38.009972,,
38,2005-11-28,,,,27.320053,16.610968,,38.360146,,
39,2005-12-05,,,,27.588165000000004,16.486645000000003,,37.96373,,
40,2005-12-12,,,,27.522512,16.431395000000002,,37.871227000000005,,
41,2005-12-19,,,,26.734578999999997,15.975541,,36.516791999999995,,
42,2005-12-26,,,,27.296384999999997,16.084543,,36.999805,,
