Name,Riskiness R
Technology Equity ETF List (75),[0.08003277]
Healthcare Equity ETF List (49),[0.10079226]
Industrials Equity ETF List (37),[0.10142236]
Developed Markets ETF List 1 (100),[0.1099029]
Global ETF List (72),[0.11528865]
