Name,Riskiness R
Alternatives ETF List (35),[2.41436621e+12]
Broad Asia ETF List (44),[6.79027855e+11]
Commodity ETF List (125),[0.19276649]
Consumer Discretionary Equity ETF List (31),[0.29960292]
Consumer Staples Equity ETF List (26),[0.50599347]
Crude Oil ETF List (22),[1.13896935]
Currency ETF List (36),[7.78861295e+11]
Developed Asia Pacific ETF List (108),[0.45034776]
Developed Markets ETF List 1 (100),[0.56253857]
Developed Markets ETF List 2 (100),[0.3543448]
Developed Markets ETF List 3 (93),[4.58369338]
Emerging Asia Pacific ETF List (114),[0.37560098]
Emerging Markets ETF List (79),[4.60860929e+12]
Energy Equity ETF List (80),[1.21057715]
Financials Equity ETF List (51),[0.12160555]
Global ETF List (72),[0.75509608]
Gold ETF List (17),[1.78017841e+12]
Healthcare Equity ETF List (49),[0.19354599]
Industrials Equity ETF List (37),[0.2273798]
Investment Grade Corporate ETF List (50),[39456943.24743233]
Junk ETF List (43),[7.33866948e+11]
Materials Equity ETF List (62),[0.29661239]
Municipal Bond ETF List (29),[2.39422364e+12]
Preferred Stock ETF List (12),[3.2139421e+12]
Real Estate ETF List (48),[0.38633832]
Target Maturity Date Corporate Bond ETF List (24),[5.97764082e+11]
Technology Equity ETF List (75),[0.14764111]
Telecom Equity ETF List (10),[1.90576106e+10]
Total Bond Market ETF List (82),[359219.28791123]
Treasuries ETF List (51),[6.48245972e+11]
Utilities Equity ETF List (24),[0.2571402]
Volatility ETF List (18),[3.42563427e+12]
