ARKK,ARKW,CIBR,CQQQ,EMQQ,FDN,FTEC,FXL,HACK,IEUS,IGM,IGN,IGV,IPAY,ISRA,ITEQ,IXN,JHMT,KWEB,PNQI,PSCT,PSJ,PTF,PXQ,QQQ,QTEC,REW,ROBO,ROM,RYT,SCID,SKYY,SMH,SOCL,SOXL,SOXX,SSG,TDIV,TECL,TECS,USD,VGT,XLK,XNTK,XSD,XSW,XT
-0.03490575307048337,-0.0317593006548907,-0.04721029856664779,-0.033029042021509844,-0.01572841283373655,-0.021892999762624626,-0.030123956857367032,-0.02607667366148939,-0.04604041171404586,-0.020973010518561656,-0.020702355000413872,-0.02931953343051325,-0.016298556074413113,-0.03846752523574476,-0.036838589662904174,-0.04251096483379107,-0.031578937296497564,-0.007521767991079629,-0.011168440669334782,-0.004590437569394804,-0.035220450905504234,-0.03734915452175598,-0.04956891149205389,-0.04391058236102605,-0.018944205534605258,-0.027366058505503492,0.0863701413331821,-0.02615687956730829,-0.051325377452880835,-0.025968613090766243,-0.023544045191089588,-0.03128031327349167,-0.045161307187008386,-0.02021700523670231,-0.06854554702134465,-0.019321100674451447,-0.034001908735351624,-0.036966131813468285,-0.06947637195909863,0.042225222028657305,-0.034336754103789315,-0.031135330182181682,-0.025705000553930463,-0.024354947915569483,-0.0332006158180025,-0.031691485820534764,-0.013900180556714235
-0.18181814182884376,-0.16108583719325334,-0.1091584113883102,-0.11120627155103728,-0.11758714337791805,-0.11446188025114762,-0.055970546509385176,-0.08819684211937646,-0.13166031732119182,-0.05854311228671445,-0.0654841776884021,-0.11241247015291664,-0.08534804193917292,-0.1112375920791488,-0.05694073702560186,-0.1033194993385546,-0.046189740628911034,-0.086676637711108,-0.1235680780395357,-0.11479507925715775,-0.047361530137346834,-0.07901583157339134,-0.09045119274238993,-0.12218374254769272,-0.06626094925377164,-0.07525425791901527,0.10193857547375317,-0.08902504954345322,-0.12305289693103455,-0.06857188310918994,-0.04725219383341346,-0.0893551709035278,-0.04657382455203477,-0.08047720330670137,-0.23384392639963436,-0.07383803704509945,0.209926402757644,-0.04732673303919894,-0.12819108954869296,0.08038585209003216,-0.1690788573420908,-0.055231918679141664,-0.03228942921959251,-0.09208093829484744,-0.05009468783400682,-0.11402955667165793,-0.07161514584469518
0.0215053763440862,0.015102962422585775,0.0012714384273635189,-0.0006356839876064597,-0.03753511983545036,-0.011200211896473222,-0.010029160973365077,0.008928552457699298,-0.019119650791506383,-0.016098691613043302,-0.006976568679679781,0.0691232593548148,-0.02075878009760173,0.008874657755021205,-0.006350437842500395,0.031004204078959856,-0.01178639726694988,0.0012067341970180881,-0.026761933826227532,0.011827666211275165,0.0387783888210316,0.02106341373620086,-0.036564968676491005,0.05034569237693379,-0.015653675232012408,0.012967198304651508,-0.017197054753903932,0.02806717208249219,-0.01695674769573356,0.01834549566666068,-0.021152059804840726,0.004761948262275337,0.014279939248089204,-0.050355799861847565,0.03169182454060248,0.01734317325178494,-0.038509789606567715,0.033834514051716336,-0.028652394124823264,-0.0032738273809524037,-0.0055710712512916545,-0.009712797636195477,-0.006547072118069043,-0.00040855970021903024,0.00410448642532829,0.010051359406412644,-0.002186486781257929
0.1187133918128655,0.0725764733663422,0.0761904567376784,0.08937663935919833,0.1124876006342228,0.045308417409814186,0.08496749908246845,0.08030156450559989,0.0865821021865108,0.07868164101437762,0.07982038457633578,0.041298603562730234,0.08328852622030837,0.08869124749567901,0.05000005084346579,0.07899457289505975,0.0925702997358097,0.08678192212885821,0.0953254121994249,0.05399389944045722,0.06479682350134201,0.061132176112414074,0.06900517859087121,0.06202989566289264,0.06536603019198485,0.07756009456240734,-0.14621882248152013,0.0893805845477098,0.17573380986504647,0.07584618036712099,0.08965509967525524,0.07801699970486946,0.09220709734433802,0.061671461061929014,0.2764651991271057,0.08464543324628887,-0.13299953869141656,0.08727277931654116,0.2781198257283953,-0.23141236604501106,0.1607844253108738,0.08510016098238479,0.08274349804619932,0.07660893472824024,0.07093030696094514,0.059044639911933386,0.058720504710492075
-0.013068479512204887,0.002416574830757143,-0.008849496112042422,-0.006715347887488414,0.015144773612241263,0.017132786394306727,-0.04340814353687538,-0.035465935633134923,-0.007926504771956394,0.019183517966160846,-0.029663786116741968,-0.02359629148780706,0.004886729075694389,0.02040821575625929,-0.029717203442650095,-0.01759570242409383,-0.04817212605193385,-0.047689479505798715,0.012273421884127823,0.009242146667331756,-0.02034148350662219,0.0,-0.0279719113089293,-0.007374333612860201,-0.02899632084941992,-0.03952407390449249,0.11825676988794424,0.005280103657875037,-0.1114133452895541,-0.03471079852493245,0.0012658575812460409,-0.0102800143133686,-0.04756728377952691,0.011400658206793512,-0.14105891905508594,-0.043397973565350696,0.100677850672773,-0.04501435898419641,-0.14912513719918716,0.15656573014527742,-0.08250691744031992,-0.043138243373495186,-0.045464553896148216,-0.01862738371766814,-0.047820784526688066,0.015610601435296719,0.0062086661178200634
0.03230937671130157,0.05824494727520056,0.036309564807148066,0.009112296208323371,0.007898120809639517,0.0532681407035437,0.05499376650401384,0.056466673427107636,0.018923473573615932,0.016196085884010215,0.053796888755223586,0.008715185487447536,0.0577745777347385,0.002857138252739725,-0.0011070168213426538,0.01621709194005676,0.04797963597742405,0.062499879973882275,-0.027004714767163446,0.03048137333951965,0.04285700391615856,0.04717864566805592,0.04178203025247575,0.008915216629365199,0.04370017155286749,0.07534252877263249,-0.11249209790410586,0.02383839482540353,0.11263427583704935,0.061701045388220674,0.0029498529351202393,0.06292746793665469,0.0846359719040022,0.07031668524578166,0.26853448073144404,0.08686203273261323,-0.15123174572082848,0.04358076175898424,0.14664707942626784,-0.14108167385629805,0.17348982305793895,0.05344306492821535,0.04889629849107924,0.04880893142573255,0.07247391563723599,0.04613791435788686,0.02591524916784641
-0.01026162134427903,0.01786041482423533,-0.013210732323341684,-0.02097290788158295,-0.019503670354914314,-0.014215431152792226,-0.029958290680536917,-0.014929601244272719,-0.014032235775322843,-0.1035967784596232,-0.02525928562452594,-0.027313108755650187,-0.009605418727537842,-0.05006101670556109,-0.021056514354805076,-0.004583257628246992,-0.02279120363212657,-0.03032505862829349,-0.04616255586531128,-0.028183225102138557,-0.012097396565434477,-0.0006791073584783597,0.0042495838507068855,-0.0374080798124175,-0.02537599446056947,-0.014331080925760731,0.04319961919773038,-0.0118389708449175,-0.052584859162567374,-0.017591564786924318,-0.0600840285308953,-0.03539266819716741,0.001933158423116746,0.049649041794323716,-0.053007063733054666,-0.014004470620368664,-0.031174479933346676,-0.0003761892727345724,-0.0525085179771741,0.022291740669405383,0.002386275355824105,-0.026366060541732482,-0.018556405022496395,-0.029363013672092236,-0.02311259548826211,-0.006300418557011018,-0.02165202036634601
0.06739237597758548,0.07793197386670035,0.06952948362303124,0.037488715459937184,0.04742038710921849,0.07487512167740767,0.08323020209376529,0.05757269112519092,0.088557122798566,0.07590653723666696,0.07766084228052926,0.06666762883087148,0.049104503954943764,0.0510241264843065,0.04830187600762873,0.057178793934705874,0.09005654154438875,0.09454482502939747,0.04186461816703662,0.05891565216284642,0.06773963494736787,0.06207520572611833,0.061888323812371915,0.13140033966245432,0.07436224535998058,0.0813560847035654,-0.15927189626230046,0.054712476156877264,0.17495679465559474,0.07405016840764075,0.03898078471744163,0.08419571707842753,0.11383973807179648,0.05398931928250469,0.3473267217144584,0.11415617215447392,-0.1858529532524537,0.08773370922911318,0.22085053989621847,-0.19013006557299306,0.20551328757912407,0.07922680936991801,0.07623903170882096,0.0860303954174589,0.12715117402081694,0.06738795837768786,0.0747560082227398
0.0011656143759106806,0.012416346350855277,0.022931509235676016,0.12073443511792215,0.09622720256876004,0.019994879514765584,0.021745698124652588,0.03215625719864048,0.031237964313242574,0.01022957965708426,0.020898451595053588,0.05168213895469959,0.020858040744634238,0.030204079779736288,0.009359349910869364,0.01757994190036839,0.021254356533989018,0.033166876244387945,0.11741231320473702,0.04404145550837791,0.03576264839780033,0.02005120208568888,0.008468315125014279,0.032082748962707686,0.010500784005792468,0.05286812422355467,-0.0403248162293689,0.01855363174412912,0.04213272507388344,0.02606963504603697,0.010670239484855569,0.03820080391753115,0.042677170729754084,0.07615608097746261,0.14593864429622067,0.04711537670689607,-0.07972741010399001,0.006269731327120925,0.035505533248470916,-0.039678753702007616,0.08721030990595356,0.023350568315901446,0.011625493036148722,0.033198649556934134,0.030655095032858612,0.016344827608297814,0.0018085113252414976
0.07596778888134273,0.051722902969993136,0.05537813684178105,0.06601838206933075,0.0540990140622203,0.03149105855571013,0.023522836671038414,0.02225309156220256,0.0433806961417572,0.02565271751822226,0.02444880577182646,0.0486307515825352,0.008616782462284936,-0.005229693625793022,-0.0071327535182278265,-0.0019455753285388606,0.028616563353089836,0.026527832978708168,0.054577821302394684,0.03603927835330804,0.03338762019812808,0.01652025288700761,0.026426209214492385,0.05821904414169405,0.019580814737038845,0.03496643719878837,-0.05527352101730187,0.05553894447709939,0.04579831967011567,0.023176748170991638,0.007024361432341572,0.013946526556366249,0.04923729969431689,0.06360569719957199,0.11805718617982515,0.0375573714058272,-0.0973713876893111,0.014884092426328672,0.0529515049745246,-0.0703394181930267,0.07605692918152603,0.021036680186690804,0.01681202323502077,0.019041013033664254,0.033242617561249126,0.01608174810447233,0.014325713813224403
