Name,Riskiness R
AUSE,[2.16251354e+12]
DBJP,[1.69142038e+11]
DBKO,[1.74635942e+12]
DFJ,[9.16345835e+10]
DIM,[1.96585224e+12]
DLS,[1.20280027e+12]
DOL,[5.37345993e+12]
DOO,[3.06500714e+12]
DTH,[1.80725278e+12]
DVYA,[2.42710882e+12]
DWM,[2.5345646e+12]
DXJ,[3.98362184e+11]
DXJS,[0.67566452]
ENZL,[2.50343148e+11]
EPP,[5.55446163e+11]
EWA,[1.54936839e+12]
EWH,[4.33897427e+11]
EWJ,[9.47798558e+11]
EWS,[1.97631652e+12]
EWT,[8.06886896e+11]
EWV,[2.47782632e+12]
EWY,[4.20699066e+12]
EZJ,[9.94585473e+10]
FAUS,[8.47792083e+11]
FDT,[1.7001037e+12]
FDTS,[3.39103941e+12]
FHK,[1.3594932e+12]
FJP,[9.51027078e+11]
FKO,[4.49179061e+12]
FNDC,[1.21990165e+12]
FNDF,[2.20067497e+12]
FPA,[1.18044982e+12]
GWX,[1.340984e+12]
HEWJ,[3.77115572e+11]
IDHQ,[1.67809923e+12]
IDOG,[4.19861134e+12]
JPNL,[8.3721368e+09]
JPXN,[9.56553413e+11]
KORU,[1.11224647e+12]
PAF,[1.76864696e+12]
PDN,[1.03767961e+12]
PXF,[2.04045058e+12]
SCJ,[8.35894659e+11]
VPL,[2.35798408e+12]
