Name,Riskiness R
BDCL,[6.92250741]
BDCS,[1.05475224e+12]
BIZD,[6.198096e+11]
CHIX,[3.49924219]
DXJF,[1.51495401e+12]
EUFN,[8.8810789e+11]
FAS,[0.31167837]
FAZ,[1.95919566e+13]
FINU,[0.31521936]
FINZ,[1.19006866e+13]
FNCL,[0.27327762]
FXO,[0.36223001]
IAI,[0.29311633]
IAK,[0.31746884]
IAT,[0.37801109]
IXG,[1.74763686]
IYF,[0.38097366]
IYG,[0.29610858]
KBE,[0.4291745]
KBWB,[0.32005875]
KBWD,[6.31322119e+11]
KBWP,[0.22062884]
KBWR,[0.42697636]
KCE,[3.37988752e+11]
KIE,[0.24045623]
KRE,[0.38711497]
LMLP,[6.38367692e+11]
PEX,[2.84393712e+10]
PFI,[1.00004692e+12]
PHDG,[2.69017713e+12]
PSCF,[0.40320208]
PSP,[6.46281287]
QABA,[0.33055622]
RWW,[0.32514474]
RYF,[0.1212232]
SEF,[1.28284645e+13]
SKF,[1.4178866e+13]
UYG,[0.26791484]
VFH,[0.24549209]
VQT,[2.81861025e+12]
XLF,[0.13394871]
