Ticker,NAV,Date
EWEM,31.690000000000001,03/12/2019
EWEM,31.539999999999999,03/11/2019
EWEM,31.350000000000001,03/10/2019
EWEM,31.350000000000001,03/09/2019
EWEM,31.350000000000001,03/08/2019
EWEM,31.580000000000002,03/07/2019
EWEM,31.840000000000000,03/06/2019
EWEM,31.800000000000001,03/05/2019
EWEM,31.910000000000000,03/04/2019
EWEM,31.930000000000000,03/03/2019
EWEM,31.930000000000000,03/02/2019
EWEM,31.930000000000000,03/01/2019
EWEM,32.049999999999997,02/28/2019
EWEM,32.310000000000002,02/27/2019
EWEM,32.460000000000001,02/26/2019
EWEM,32.469999999999999,02/25/2019
EWEM,32.329999999999998,02/24/2019
EWEM,32.329999999999998,02/23/2019
EWEM,32.329999999999998,02/22/2019
EWEM,32.160000000000004,02/21/2019
EWEM,32.149999999999999,02/20/2019
EWEM,31.800000000000001,02/19/2019
EWEM,31.680000000000000,02/18/2019
EWEM,31.680000000000000,02/17/2019
EWEM,31.680000000000000,02/16/2019
EWEM,31.680000000000000,02/15/2019
EWEM,31.620000000000001,02/14/2019
EWEM,31.710000000000001,02/13/2019
EWEM,31.879999999999999,02/12/2019
EWEM,31.720000000000002,02/11/2019
EWEM,31.879999999999999,02/10/2019
EWEM,31.879999999999999,02/09/2019
EWEM,31.879999999999999,02/08/2019
EWEM,32.060000000000002,02/07/2019
EWEM,32.340000000000003,02/06/2019
EWEM,32.450000000000003,02/05/2019
EWEM,32.329999999999998,02/04/2019
EWEM,32.329999999999998,02/03/2019
EWEM,32.329999999999998,02/02/2019
EWEM,32.329999999999998,02/01/2019
EWEM,32.310000000000002,01/31/2019
EWEM,31.930000000000000,01/30/2019
EWEM,31.890000000000001,01/29/2019
EWEM,31.760000000000002,01/28/2019
EWEM,31.820000000000000,01/27/2019
EWEM,31.820000000000000,01/26/2019
EWEM,31.820000000000000,01/25/2019
EWEM,31.640000000000001,01/24/2019
EWEM,31.470000000000002,01/23/2019
EWEM,31.359999999999999,01/22/2019
EWEM,31.460000000000001,01/21/2019
EWEM,31.460000000000001,01/20/2019
EWEM,31.460000000000001,01/19/2019
EWEM,31.460000000000001,01/18/2019
EWEM,31.240000000000002,01/17/2019
EWEM,31.199999999999999,01/16/2019
EWEM,31.060000000000002,01/15/2019
EWEM,30.930000000000000,01/14/2019
EWEM,30.980000000000000,01/13/2019
EWEM,30.980000000000000,01/12/2019
EWEM,30.980000000000000,01/11/2019
EWEM,30.960000000000001,01/10/2019
EWEM,30.789999999999999,01/09/2019
EWEM,30.430000000000000,01/08/2019
EWEM,30.449999999999999,01/07/2019
EWEM,30.140000000000001,01/06/2019
EWEM,30.140000000000001,01/05/2019
EWEM,30.140000000000001,01/04/2019
EWEM,29.650000000000002,01/03/2019
EWEM,29.680000000000000,01/02/2019
EWEM,29.690000000000001,01/01/2019
EWEM,29.690000000000001,12/31/2018
EWEM,29.600000000000001,12/30/2018
EWEM,29.600000000000001,12/29/2018
EWEM,29.600000000000001,12/28/2018
EWEM,29.530000000000001,12/27/2018
EWEM,29.550000000000001,12/26/2018
EWEM,29.180000000000000,12/25/2018
EWEM,29.180000000000000,12/24/2018
EWEM,29.580000000000002,12/23/2018
EWEM,29.580000000000002,12/22/2018
EWEM,29.580000000000002,12/21/2018
EWEM,29.859999999999999,12/20/2018
EWEM,29.930000000000000,12/19/2018
EWEM,29.859999999999999,12/18/2018
EWEM,29.780000000000001,12/17/2018
EWEM,30.060000000000002,12/16/2018
EWEM,30.060000000000002,12/15/2018
EWEM,30.060000000000002,12/14/2018
EWEM,30.280000000000001,12/13/2018
EWEM,30.150000000000002,12/12/2018
EWEM,29.850000000000001,12/11/2018
EWEM,29.879999999999999,12/10/2018
EWEM,30.300000000000001,12/09/2018
EWEM,30.300000000000001,12/08/2018
EWEM,30.300000000000001,12/07/2018
EWEM,30.359999999999999,12/06/2018
EWEM,30.740000000000002,12/05/2018
EWEM,30.740000000000002,12/04/2018
EWEM,30.949999999999999,12/03/2018
EWEM,30.480000000000000,12/02/2018
EWEM,30.480000000000000,12/01/2018
EWEM,30.480000000000000,11/30/2018
EWEM,30.690000000000001,11/29/2018
EWEM,30.480000000000000,11/28/2018
EWEM,30.160000000000000,11/27/2018
EWEM,30.140000000000001,11/26/2018
EWEM,30.199999999999999,11/25/2018
EWEM,30.199999999999999,11/24/2018
EWEM,30.199999999999999,11/23/2018
EWEM,30.350000000000001,11/22/2018
EWEM,30.350000000000001,11/21/2018
EWEM,30.219999999999999,11/20/2018
EWEM,30.719999999999999,11/19/2018
EWEM,30.600000000000001,11/18/2018
EWEM,30.600000000000001,11/17/2018
EWEM,30.600000000000001,11/16/2018
EWEM,30.449999999999999,11/15/2018
EWEM,30.070000000000000,11/14/2018
EWEM,29.949999999999999,11/13/2018
