Name,Riskiness R
BIL,[6.87025554e+11]
DFVL,[9.38456193e+12]
DFVS,[1.08531586e+12]
DLBL,[2.3071223e+12]
DLBS,[2.34182976e+12]
DTUL,[3.95995357e+12]
DTUS,[4.34225475e+12]
DTYL,[1.35599454e+12]
DTYS,[2.16953005e+12]
EDV,[2.14686978e+12]
FLAT,[2.15493508e+12]
GOVT,[2.30132084e+12]
IEF,[3.39371872e+12]
IEI,[3.53854788e+12]
ITE,[2.02961741e+12]
PLW,[6.3046928e+12]
PST,[7.50730765e+12]
RISE,[8.87165643e+12]
SCHO,[1.01097349e+12]
SCHR,[4.84012748e+12]
SHV,[1.78353553e+12]
SHY,[1.84277728e+12]
SPTL,[1.19868638e+12]
SPTS,[1.78357259e+12]
STPP,[7.39889206e+12]
TAPR,[1.63367111e+12]
TBF,[5.69174802e+12]
TBT,[6.04402907e+12]
TBX,[3.78900286e+12]
TLH,[3.72710548e+12]
TLT,[1.69192443e+12]
TMF,[2.94376366e+12]
TMV,[2.37391939e+12]
TTT,[1.97936811e+12]
TUZ,[8.2922709e+11]
TYBS,[6.96241934e+12]
TYD,[9.26769009e+11]
TYNS,[5.84957027e+11]
TYO,[4.41093349e+12]
UBT,[2.36202296e+12]
UST,[5.12614801e+12]
VGIT,[4.06763342e+12]
VGLT,[5.8186474e+12]
VGSH,[1.44148728e+12]
ZROZ,[1.56382388e+12]
