,Date,FMB,ITM,MEAR,MLN,MUB,MUNI,PRB,PVI,PZA,RVNU,SHM,SHYD,SMB,SMMU,SUB,TFI,VTEB
0,2013-12-09,,0.004104301146380115,,0.0018763344128342237,0.004329957382673659,0.0032762073989854664,0.013041471802046982,0.0,0.00043302267878904334,0.011715544786402044,0.0024756758335110107,,5.1086052995169505e-06,0.0011943426655275694,0.00039467691590807356,0.004392423334088104,
1,2013-12-16,,-0.0004514729598779516,,-0.00509079955821821,-0.0001918588335873189,-0.0026895908983927915,-0.009255676962395445,0.00040451130310508934,0.004168736390385816,-0.006893402937393792,0.0,,-0.0011374494858822335,-0.000596734398337497,0.0011300910320862995,-0.00043909419622001523,
2,2013-12-23,,-0.004065040857967452,,-0.008527632152059574,-0.005376998249648821,-0.002697258983808273,-0.0040613195090675215,-0.0004003001740248845,-0.004762029025217449,0.002169489587666198,0.00041213790092366616,,-0.0005700725605013603,0.0,-0.0010345974603423761,-0.009222718700944354,
3,2013-12-30,,0.004994082598759321,,0.012008797630079412,0.007395253206216898,0.004522864920112359,-0.00024850172821655854,0.0,0.0008696352011431387,0.004328777103780919,0.00032956143435344186,,0.0011973905111112234,9.987552554169443e-05,0.0013094798129277049,0.010656598186497238,
4,2014-01-06,,0.013116248463947038,,0.02616600103556027,0.013354929208584224,0.005778985911780128,0.0044921342027675944,0.0,0.018253228709474326,0.014267389940751633,0.002059684023709178,,0.0005698372516820853,0.0013924153565787803,0.0004706641737232439,0.012384172723975826,
5,2014-01-13,,0.004910772349259772,,0.011640891205684506,0.004930354472540135,0.0032565404651551796,-0.001219477289013677,0.0,0.004695009912078976,0.00682031199234065,0.00041142005870765274,,0.0005697559736806379,0.001191745593677491,0.0008462831885555866,0.005679587717288756,
6,2014-01-20,,0.007996398899677019,,0.00602723877357824,0.0026415559793310753,0.0030544868675372546,-0.0016286127901661111,3.967384986950403e-06,0.010557721384865501,0.007620233286534682,0.0008218941348449791,0.005577618227110749,0.0034147050938442016,-0.000793650021737902,-0.0010333980198388396,0.0052127508073504985,
7,2014-01-27,,-0.001322475453935398,,0.0,0.0012233848140058374,-0.0028551895489933275,0.0012232587523783064,0.0,0.002953668575831197,0.00042032682930973227,0.0,-0.0023772478487464853,-0.0028361965649456736,0.0,0.00028204202895630326,-0.00043216748378162604,
8,2014-02-03,,0.0,,-0.0016340551185906377,-0.002537583996316843,0.002672566099277336,0.0,0.0,0.00042058827215412704,-0.0012600593942754452,0.0,-0.00039675899834521123,0.0017061693133713508,0.0011127247165392887,-0.00028196250367967584,-0.0017294173330630535,
9,2014-02-10,,0.002167174364057922,,0.0033345528472800913,0.0018801143752053009,0.0011442393212168934,0.002201252854463473,0.0,-0.00630732427903688,0.002532015534710257,-0.0005343041568096869,0.001986294236651534,0.00290266670337402,-0.0007940528155984906,5.197929548130525e-06,0.0016885686682443263,
10,2014-02-17,,0.0008830196076942401,,0.006004321434699437,0.001414325830497206,0.0028573073311499515,-0.0008134484897180161,3.926468532942021e-06,0.006708262973388673,0.008413752757069907,0.0016451386333440215,0.004361627998197979,0.0017005102921566543,0.001191719025078428,0.00028189233376968757,0.0030331602401482303,
11,2014-02-24,,0.008817815498205478,,0.01139439153063614,0.009697826980683,0.0018993227499291116,0.0020346982177897326,0.0,0.008016761540903278,0.011263877783561603,0.0036944211148440833,0.005921841475748531,0.0022635784374295566,0.0003961400254523438,0.00178783142479507,0.0060475408242007395,
12,2014-03-03,,-0.008303907101625641,,-0.010192839600105356,-0.010444022974516718,-0.0010078614994724038,0.0008123720764196166,0.0,-0.003767620516996665,-0.011551143337521932,-0.003272134818635138,-0.001177359380484509,0.0005646767812626111,0.00039718701368689804,-0.00028169455769862294,-0.006011187919853484,
13,2014-03-10,,0.008152908173237673,,0.01638907729188717,0.010843730868198068,0.003041202948344677,0.00178869110275222,0.0,0.007143347750548762,0.00876972351818273,0.001803869833788729,0.004727938001402828,-0.0011297996546795587,0.0001978813041100121,-0.0008934694785268451,0.008601539003908917,
14,2014-03-17,,-0.0052562685858413855,,-0.004815031192881125,-0.0025236780229902825,-0.003979407058651518,-0.002433349728015911,-0.00039632636138408164,0.004548063013289117,-0.0024895282814467587,-0.004099913113150665,-0.0027478510454056,-0.003958831669809879,-0.0035677232714048184,-0.0008465911429607571,-0.005150223954046253,
15,2014-03-24,,0.0026423553291539553,,0.007526224912531277,0.002530063087601241,0.00038022247829154655,-0.0028458543053969916,0.00040045242490573184,0.005002153520789482,0.0024957415004954226,-0.0020583524028204127,-0.0035412182431925673,-0.0005679075429338439,0.0,0.00047096188597092937,0.0025887201232878882,
16,2014-03-31,,-0.00043951148837012284,,-0.0010674021491305224,-0.00028056731328399186,0.0011412842459494633,0.0024465043486405153,-0.0004002921269528229,0.00041453018056884853,0.004978960481062445,0.0016503610318320153,-0.0011851967953260792,0.0005682302451762027,0.00019852934494401763,-0.000470740185285465,0.0008604703731674435,
17,2014-04-07,,0.012723849603556318,,0.014745601873313198,0.010188346741795985,0.0064141558841061055,0.0013847017199076766,0.0,0.0082920719798923,0.004993204816812115,0.0015251665615865656,0.0021771444659629807,-0.00011240782089807697,0.00027913971342937593,0.0011229329792017055,0.010685007073898517,
18,2014-04-14,,0.0004351793106886149,,-0.004226724337309375,-0.002504675780179155,0.001134504863599723,0.00040621450082378464,0.0,-0.004934132857129498,0.011536607951299129,0.0,-0.0019776030072531673,-0.0005683949305271428,0.0011936138714812197,9.405513879613455e-05,-0.0008524470690382673,
