,ANGL,CJNK,GHYG,HYGH,HYHG,HYIH,HYLD,HYLS,HYND,HYS,HYZD,JNK,PGHY,PHB,RIGS,SHYG,SJB,SJNK,UJB,WBII
0,0.02518522308652139,0.007358454569997239,0.015272957825342508,,0.012939920689141309,,0.009035024990388192,0.016454320455458225,0.001827233574191065,0.01479909492108527,0.0020080722891566965,0.018141492840740042,0.002678226225352735,0.02045579615854217,0.013722191551645396,0.004937412775448968,-0.027929138467432075,0.005503291946566961,0.029840018824950385,
1,-0.0027855189576044027,0.007938036708184859,0.00206641768154004,,0.003725352383124521,,0.002095560979403324,0.0019329684234034342,0.009251086701006654,0.0010228094719672445,0.006813626981417682,-0.00019542648448987637,0.004767702224277384,-0.003924659610442738,0.000415440548449619,0.002709595941416643,-0.005255853179184094,0.001482483720770471,0.0015522991045880399,
2,0.013457955909055647,0.010387390469661171,0.008250409797272514,,7.365431449037028e-05,,0.002661673105006536,0.0024873624479966093,-0.008404944252441168,0.004321183018595896,0.0015923168155925502,0.0056116204963313375,-0.0020129060903452457,0.008433763511846208,0.005769202397573889,0.002939095914158376,-0.00457909024519485,0.004249451678811967,0.014981697866742104,
3,0.02324062776263114,0.01584431192911636,0.006189864644108144,,-0.001966197245153446,,0.0005687902704290035,0.008455153612781603,-0.014273638851782155,0.003054605331018174,-0.0007949523052464469,0.00918720633517344,0.011614588055733926,0.008344099017429895,0.004928565190107502,0.0003318984643290152,-0.01309269046538207,0.004585989720259288,0.022904740349117256,
4,0.004210334425765889,0.0032803748294532023,0.010201820222194386,0.009237098154954083,0.012642982781545345,,0.010043566420314507,0.009578376466382932,0.015136502215325264,0.005819817025538508,0.003579992186952787,0.009630769057398953,0.00353498553738277,0.0036774853596775146,0.0035303899825136946,0.0061426336163698915,-0.010756582627677817,0.004067098732757487,0.006468788045211648,
5,-0.005732809801903287,-0.010355464982392782,-0.019919268472005428,-0.028842823354419032,-0.007273803478150758,,-0.024953058629513223,-0.01927631067206704,-0.0154644407869111,-0.01681371490546529,-0.009908838684106223,-0.02374225673961185,-0.018987466015443117,-0.018958429366850906,-0.01634929998745761,-0.011253870844724729,0.026458808974589857,-0.015015259651179011,-0.043620141052122086,
6,0.019694993735535953,0.023509834312447995,0.005876395142213111,0.010697860199737903,6.413333341161149e-05,,0.011160246081195884,0.012432817208843816,-0.008494447312553876,0.012047515453116003,-0.000400360288230546,0.024954650121588404,0.005603222531318083,0.019754400699554066,0.01423639185394519,0.011461037809964015,-0.02542366656347274,0.010238482974750303,0.04775048319169643,
7,-0.017004011203349673,-0.01879579429051647,-0.026779861925645833,-0.023891079351544768,-0.02693224272843429,,-0.04605134245578196,-0.01861903712722765,-0.015901680270525756,-0.01568028655671665,-0.017621065984023576,-0.024110248034621255,-0.01625301634855189,-0.01806086150439306,-0.01579518926731525,-0.016757784587283994,0.014492770061283357,-0.01607747319818356,-0.04656123609285833,-0.016321934445268953
8,-0.0005338761845567274,0.015084296759398636,0.005053438948780348,0.0027883506601601243,0.0009432189785046134,,-0.05226417210723768,0.016557610664801208,-0.012335984307721159,0.00977148540636554,0.005707256188045125,0.009037272158937326,0.005614390478983421,0.010833599386073403,0.011863253390973648,0.008838906553975194,-0.014642885235174343,0.004709700920044757,0.026693703027399103,0.009384830985532238
9,-0.003115341263887938,-0.005224010949334038,-0.01758060956660539,-0.015241967358227982,-0.02267961495014026,,-0.05177855406350476,-0.0017304973063023228,-0.018252265986333338,-0.006544317438907008,-0.013376570733684711,-0.014609099988157452,-0.0031785465484567145,-0.010160498627474158,0.0005061067607827856,-0.005026198511450021,0.010873544810891932,-0.009939630139803554,-0.023561002878573115,0.008835149831950781
10,-0.04513931245305613,-0.008642391696702924,-0.018999635842569716,-0.02038281676272275,-0.011577521618277303,,-0.08657041257647972,-0.020907985518476817,-0.02779580748023355,-0.02015057424547531,-0.0517666392769105,-0.019921389661152058,-0.02126418317415108,-0.0032222080165897724,-0.0039146822075683315,-0.011034441155909491,0.003585491334984103,-0.01610353606011994,-0.02430200706629519,0.0003984636986469214
11,0.04387022262205597,0.025840853480036743,0.003233226840840689,-0.008230893408437868,-0.014642712104734034,,-0.004131275619379162,0.0013864691089639275,-0.03412147103371774,0.01341009590601201,0.02989601386481808,0.01817593577124216,-0.0019807147606669363,0.002656301620484989,0.010167901304732352,0.009935458721373904,-0.008574529442639164,0.011080314784160683,0.015436718219822012,0.005724417470769984
12,0.02512159366466981,0.007927628614157273,0.034635811925593826,0.024757749736108677,0.03995536840335193,,0.036115153733528714,0.03254304998147097,0.04921606318638426,0.018405897524883856,0.017669373159444644,0.021571635453471318,0.012826082265754908,0.023501800719827697,0.017326538888925377,0.014790754147631436,-0.025225209226630383,0.018288527440439056,0.03727576883328521,0.012859795551563295
13,0.006065318425430578,-0.006250526529219386,-0.033671625906897415,-0.01652308875597967,-0.013495290837039335,,-0.025200189006127867,0.0014070212049001303,-0.009593207975248133,-0.0033462434467672014,-0.01033484868396657,-0.009417830314928074,-0.003477188993068038,-0.005798673866054343,-0.004253736442685446,-0.001946173554104458,0.007024006872065835,-0.007392803596785313,-0.026868139518682086,-0.015105311418684307
14,0.018049028053454434,-0.0038130142600868843,0.026544773953931674,0.0030226857960063726,0.011752209498022574,0.0012210800613293475,0.00821456893487709,0.00934176132144899,0.017891420721125526,0.004930351686691154,-0.005430325587705594,0.01040300073023762,0.023721474485695667,0.007891192106986031,0.006866343058095294,0.006931943762813872,-0.008810538555258268,0.009555818813878767,0.08294274259312155,0.010300676412070553
15,0.002384109533520753,-0.0019681407747339824,-0.0003317683001432934,0.0008518155318148983,0.0028212183348496093,0.0032518862231959984,-0.006230505631440054,-0.0007876872224265503,0.01579770746706617,0.005505692770523823,0.015959765475000543,0.004322151556267183,-0.0018390329817430226,-0.0011530025034185826,0.0013475985184830954,0.005020417371225034,-0.0044444083731754675,0.0021316011334904894,-0.036211918857059655,0.011521077274598262
16,-0.014500743955176951,-0.01482541429397764,-0.012569352864645375,-0.03149270202133632,-0.014782487431912161,-0.010451878687273566,-0.02097909281458672,-0.010301010018005766,0.007532194336020163,-0.015586777851061164,-0.01736258712845854,-0.02043380585980511,-0.0001920182894537836,-0.012249526740134159,-0.009751525562164486,-0.009768798629933023,0.017113074693066128,-0.00837099680728381,-0.05286803858331672,-0.00512048295357796
17,-0.0016206311370222607,-0.0033808135883501953,-0.013420256585384097,0.0020872459857985133,-0.018876306840261266,-0.008685975677075316,-0.03128069119609314,0.002757976918899454,-0.028636150142862783,-0.004639677305064807,-0.0033655448043752975,-0.007312759978895034,0.015995594164250157,-0.004452705639739957,0.0034011298002094474,-0.010139122987275805,0.001097330589779103,-0.012880223233068115,-0.00764470629764336,-0.0006721433778065004
18,-0.025994000238100102,-0.0025395774313529554,-0.022156088712356692,-0.03058540856626377,-0.026343317794809737,-0.015289923578806293,-0.029239815446742173,-0.000657474352606937,-0.0355640813283897,-0.011896603226413742,-0.029970492614162337,-0.020475816262352026,-0.02241891867686431,-0.011484588255632297,-0.012691471717019934,-0.014859613172095089,0.014249181436910625,-0.0192563322792886,-0.028505149592516505,-0.01425549523592853
19,-0.019759906428016876,-0.015492445937333742,-0.012833714704808352,-0.036978355761619425,-0.045425676422169506,-0.042679703940630365,-0.05316914614981663,-0.024725603675354122,-0.02959721509544794,-0.024744382521699457,-0.018711966927763304,-0.03180468190707886,0.0052916540202187475,-0.019363403450601967,-0.015179960717777542,-0.023545465321212905,0.028818438667205837,-0.02472797169972592,-0.07298748881826624,-0.0019652984787560755
