,Date,ARKK,ARKW,CIBR,CQQQ,EMQQ,FDN,FTEC,FXL,HACK,IEUS,IGM,IGN,IGV,IPAY,ISRA,ITEQ,IXN,IYW,JHMT,KWEB,PNQI,PSCT,PSI,PSJ,PTF,PXQ,QQQ,QTEC,REW,ROBO,ROM,RYT,SCID,SKYY,SMH,SOCL,SOXL,SOXS,SOXX,SSG,TDIV,TECL,TECS,USD,VGT,XLK,XNTK,XSD,XSW,XT
656,2017-10-02,33.497054999999996,36.044857,22.337383,57.803946999999994,36.884686,105.040001,46.146587,48.699532,31.007137,53.887814,157.013123,46.663712,149.388,32.971424,29.170690999999998,31.621225,142.416519,150.42961100000002,38.477207,56.025185,113.533524,80.160286,49.912189,63.66,51.535465,45.659485,145.851807,68.343811,19.084436,38.791378,76.845955,135.459137,25.254868,42.212478999999995,91.77334599999999,31.624376,119.676422,19.882303,158.576874,24.652655,31.605413000000002,92.76396899999999,42.310066,34.70702,151.98143000000002,58.685238,60.815380000000005,65.885094,67.047112,34.166775
657,2017-10-09,33.272273999999996,36.114124,22.018135,58.834759,37.122463,105.440002,46.746528999999995,49.107433,30.367815000000004,54.764114,158.987595,46.068504,149.887222,33.279198,29.278151,31.769964,144.901398,152.365799,38.961945,56.957336,114.31333899999998,80.47841600000001,51.231411,64.489998,52.584759,45.353778999999996,146.52346799999998,69.509392,18.509722,39.60804,78.787018,136.947693,25.722219,42.390469,94.017616,32.067848,128.182343,18.537031,162.30496200000002,23.622985999999997,31.875128000000004,95.277008,41.22266,36.202564,153.84887700000002,59.223637,61.216831000000006,66.723701,67.26576999999999,34.4324
658,2017-10-16,33.324883,36.166073,22.237619,58.206455000000005,36.587471,105.550003,47.149772999999996,49.833698,30.577595000000002,54.080402,159.999619,46.18755,153.002396,33.229557,29.385610999999997,32.01984,145.887451,153.906845,39.3993,56.236599,113.2136,79.911751,51.876144000000004,65.239998,52.89455400000001,45.34391,146.88896200000002,70.526794,18.103462,39.538321999999994,80.698204,138.377106,25.443604,42.756329,95.16877,31.368149,131.733078,17.99299,163.90833999999998,23.127954000000003,32.279713,97.82978100000001,40.085827,36.884440999999995,155.23474099999999,59.810974,62.027302,66.703979,68.00123599999999,34.363533000000004
659,2017-10-23,33.334446,36.815453000000005,22.30047,56.822227000000005,36.052479,107.25,48.379166,50.46048,30.597571999999996,53.839661,164.7621,45.770908,155.68821699999998,33.676323,28.818997999999997,32.067436,149.338654,158.134827,40.18121,53.497803000000005,113.243591,80.806503,52.927555000000005,65.709999,53.174366000000006,45.067783,149.38797,71.326897,17.033304,39.976532,85.01831800000001,140.033264,25.326767,43.280396,97.316307,32.077702,141.791809,16.588369,168.09874,21.345835,32.944378,104.65373199999999,37.16959,39.832699,159.215347,61.220604,63.049847,68.894234,68.24971,34.334019
660,2017-10-30,33.764877,37.508125,21.928345,59.256905,36.954037,107.389999,49.156147,50.967865,30.367815000000004,54.47521999999999,166.776245,45.632023,156.09758,33.676323,28.486846999999997,31.824501,152.316544,161.078613,40.586967,55.22756999999999,114.033409,77.45614599999999,53.32431,65.339996,54.063766,44.554981,151.39309699999998,72.156624,16.547773,40.544209,88.213585,140.683899,25.677279000000002,43.596817,99.579926,32.235378000000004,154.728745,15.173858,173.12528999999998,19.920139000000002,33.310432,109.580482,35.489052,42.991776,161.77079799999998,62.150562,63.610367000000004,70.21627,68.27951800000001,34.481586
661,2017-11-06,33.190971000000005,37.222396999999994,21.71884,61.878105000000005,37.063019,106.190002,49.215153,51.723976,29.928282,53.512253,166.587723,45.572506,155.628311,33.656467,28.115622,30.956872999999998,152.316544,161.108246,40.595852,56.918896,112.423782,77.257301,52.808525,64.410004,53.813933999999996,44.693042999999996,151.798096,72.07759899999999,16.587406,40.474495000000005,88.094131,140.831757,25.218916,43.606705,99.50254100000001,31.890459000000003,155.500229,15.015591,173.597427,19.781528,33.214096000000005,109.501015,35.390194,43.196014,161.977203,62.160343000000005,63.686108,71.636963,67.891914,34.215965000000004
662,2017-11-13,33.93705,38.157501,21.948299,63.35069300000001,38.575855,107.879997,49.156147,52.291061,30.387794,53.310028,166.93498200000002,46.99107,157.205872,33.934456,28.408695,31.135357,152.701126,160.782272,40.961135999999996,57.774166,115.00318100000001,77.774277,53.15569300000001,65.43,54.803276000000004,45.018475,152.064758,73.14439399999999,16.627045000000003,40.833031,87.725822,142.014694,25.200943,44.308765,99.879814,33.260292,156.934372,14.807864000000002,174.17781100000002,19.68252,33.454921999999996,108.65671499999999,35.587906,43.011542999999996,161.819977,62.013507999999995,64.564743,71.311386,68.67707800000001,34.452076
663,2017-11-20,35.333557,39.690037,22.51696,64.891998,39.163353,111.010002,50.080647,53.32573299999999,31.296831,54.542629000000005,170.258804,48.211227,158.93318200000002,34.520218,28.965538000000002,31.844332,155.777618,163.87423700000002,41.563362,58.168170999999994,117.322639,80.28954300000001,54.554264,66.769997,56.342243,46.606204999999996,154.346481,74.280312,16.022604,42.416553,91.438728,144.01593,25.659304000000002,45.099815,102.317551,34.176796,169.426224,13.680212,178.78138700000002,18.791464,33.975094,114.378098,33.759087,45.040726,164.896347,63.139252,65.746361,73.560829,69.730591,35.022663
664,2017-11-27,35.773556,39.239803,22.626701,59.364891,36.349693,108.440002,49.008621000000005,51.206635,31.356765999999997,54.542629000000005,166.528183,48.121947999999996,154.889465,34.2323,29.219535999999998,31.887959999999996,151.034683,160.22908,40.540565,53.478584,112.84368899999998,76.939171,50.140327,63.939999,52.954517,46.438559999999995,152.59819,71.139206,16.636951,41.400707000000004,86.839912,141.02891499999998,25.74918,44.84272,96.136131,31.841186999999998,139.170822,16.291616,167.90202299999999,20.791395,33.676472,108.974579,35.241909,40.363052,161.28921499999998,62.170128000000005,63.678539,69.476318,68.70689399999999,34.638992
665,2017-12-04,35.142258,39.006023,22.417192,58.844574,36.597374,108.800003,48.988949,50.788784,31.137001,54.301888,166.478577,47.665623,153.930954,34.281937,29.053459000000004,31.323757,151.074127,160.15991200000002,40.443813,53.632343000000006,112.823692,75.318665,49.713814,63.439999,52.364909999999995,46.004646,152.805603,70.912018,16.587406,40.623886,86.829964,140.90074199999998,25.69166,44.803169,94.80117800000001,32.324073999999996,132.28694199999998,17.033497,165.27563500000002,21.543846,33.464558000000004,109.203033,35.093628,38.801628,161.28921499999998,62.25823199999999,63.686108,68.41078900000001,68.70689399999999,34.530777
