Name,Riskiness R
ACWI,[0.06585896]
ACWV,[0.0406254]
ACWX,[0.10956826]
CGW,[0.07399965]
CRBN,[0.06702769]
CWI,[0.10739235]
DBEF,[0.12432343]
DIM,[0.09944826]
DLS,[0.07604485]
DOL,[0.13461057]
DTH,[0.13750124]
DWM,[0.11404386]
DWX,[0.11346124]
EFA,[0.11838764]
EFAV,[0.07448219]
EFG,[0.10148241]
EFV,[0.15830432]
EWS,[0.14276906]
EZU,[0.15350642]
FDT,[0.09051858]
FGD,[0.09903451]
FNDC,[0.06925127]
FNDF,[0.10064855]
GDX,[0.32857086]
GDXJ,[0.34512369]
GII,[0.07837569]
GNR,[0.09096444]
GSIE,[0.09043786]
GUNR,[0.08914558]
GWX,[0.10432583]
HDEF,[0.15045189]
HEFA,[0.12819828]
HEZU,[0.17066484]
HFXI,[0.11312948]
IDLV,[0.07248878]
IDOG,[0.12957553]
IDV,[0.10824553]
IEFA,[0.10702165]
IGF,[0.09117473]
IHDG,[0.08945698]
INTF,[0.0984623]
IOO,[0.06310045]
IQDF,[0.13219858]
IQLT,[0.10640218]
IVLU,[0.14776064]
IXC,[0.1476276]
IXG,[0.1227187]
IXJ,[0.09675926]
IXP,[0.19593746]
IXUS,[0.1000993]
JNUG,[1.35538866]
JPGE,[0.06026611]
JPIN,[0.08966609]
JXI,[0.08790536]
KXI,[0.09104934]
LIT,[0.11638601]
MOO,[0.06176627]
MXI,[0.08968199]
NFRA,[0.08024452]
NUGT,[1.36640071]
PDN,[0.07708414]
PICK,[0.17116514]
PID,[0.17383682]
PPH,[0.401587]
PSP,[0.09561836]
PXF,[0.11596214]
QEFA,[0.0859273]
ROBO,[0.0682752]
RODM,[0.07055842]
RXI,[0.07177477]
SCHC,[0.08688965]
SCHF,[0.09955877]
SCZ,[0.07750991]
SDIV,[0.09158789]
SIL,[0.39392191]
SMH,[0.07267021]
SPDW,[0.12954283]
TAN,[3.25257499e+11]
TLTD,[0.09752587]
URA,[1.01401374]
URTH,[0.06429267]
VEA,[0.09694535]
VEU,[0.10035498]
VSS,[0.08202307]
VT,[0.06254591]
VXUS,[0.10087117]
WDIV,[0.08384002]
WOOD,[0.07447169]
XT,[0.05576303]
