,Date,ALTS,BTAL,CHEP,CPI,DIVA,DIVY,FLAG,FMF,FTLS,HDG,HTUS,MCRO,MNA,MOM,MRGR,QAI,QED,QLS,QMN,RALS,RLY,SIZ,VAMO,WTMF
0,2009-03-01,,,,,,,,,,,,,,,,22.588564,,,,,,,,
1,2009-04-01,,,,,,,,,,,,,,,,23.105446,,,,,,,,
2,2009-05-01,,,,,,,,,,,,,,,,23.749279,,,,,,,,
3,2009-06-01,,,,,,,,,,,,23.03574,,,,23.667669,,,,,,,,
4,2009-07-01,,,,,,,,,,,,23.633478,,,,24.030388000000002,,,,,,,,
5,2009-08-01,,,,,,,,,,,,23.228859,,,,23.930641,,,,,,,,
6,2009-09-01,,,,,,,,,,,,23.964529000000002,,,,24.529131,,,,,,,,
7,2009-10-01,,,,24.403154,,,,,,,,24.139252,,,,24.402182,,,,,,,,
8,2009-11-01,,,,24.646117999999998,,,,,,,,24.773767000000003,24.244223,,,24.900925,,,,,,,,
9,2009-12-01,,,,24.383718,,,,,,,,24.277189,24.591534,,,24.601681,,,,,,,,
10,2010-01-01,,,,24.344847,,,,,,,,24.211226,24.718889,,,24.419365,,,,,,,,
11,2010-02-01,,,,24.325409,,,,,,,,24.220507,25.046928,,,24.410221,,,,,,,,
12,2010-03-01,,,,24.267096,,,,,,,,24.684679,25.114468,,,24.876657,,,,,,,,
13,2010-04-01,,,,24.23794,,,,,,,,24.703247,25.471453,,,24.830925,,,,,,,,
14,2010-05-01,,,,24.383718,,,,,,,,23.895585999999998,24.419788,,,23.797451000000002,,,,,,,,
15,2010-06-01,,,,24.43231,,,,,,,,24.155523000000002,24.313660000000002,,,24.154135,,,,,,,,
16,2010-07-01,,,,24.286533,,,,,,,,24.916764999999998,24.998688,,,24.785196,,,,,,,,
17,2010-08-01,,,,24.519776999999998,,,,,,,,24.991032,24.670645,,,24.830925,,,,,,,,
18,2010-09-01,,,,24.616962,,,,,,,,25.57589,24.882908,,,25.39797,,,,,,,,
19,2010-10-01,,,,24.68499,,,,,,,,25.678007,24.612755,,,25.55345,,,,,,,,
20,2010-11-01,,,,24.704426,,,,,,,,25.232403,24.593458,,,25.196758,,,,,,,,
21,2010-12-01,,,,24.762741000000002,,,,,,,,25.566608,23.831247,,,25.068718,,,,36.810871,,,,
22,2011-01-01,,,,24.591688,,,,,,,,25.275898,24.605745000000002,,,25.162222,,,,37.371815000000005,,,,48.826294
23,2011-02-01,,,,24.718045999999998,,,,,,,,25.266562,24.478661,,,25.227219,,,,37.478317,,,,49.801468
24,2011-03-01,,,,24.74721,,,,,,,,25.770585999999998,24.977224,,,25.366489,,,,37.469437,,,,50.303535
25,2011-04-01,,,,24.883291,,,,,,,,26.470621,24.811035,,,25.849307999999997,,,,37.154716,,,,51.423538
26,2011-05-01,,,,24.756930999999998,,,,,,,,26.134605,24.771932999999997,,,25.849307999999997,,,,36.737140999999994,,,,50.168365
27,2011-06-01,,,,24.620852,,,,,,,,25.95726,24.635069,,,25.570763,,,,36.292931,,,,48.903538
28,2011-07-01,,,,24.737492,,,,,,39.435749,,26.358614000000003,24.566639000000002,,,25.747170999999998,,,,34.947041,,,,48.584915
29,2011-08-01,,,,25.10685,,,,,,38.369389,,26.031931,24.107178,,,25.580046,,,,34.253085999999996,,,,48.198704
30,2011-09-01,,25.447070999999998,23.679351999999998,24.999931,,,,,,37.125294,,24.417187,23.491298999999998,23.680618,,25.013664000000002,,,,34.03067,,24.195313,,45.987667
31,2011-10-01,,21.923628,24.35725,25.204051999999997,,,,,,39.001305,,25.462574,24.283142,24.4489,,25.645039,,,,34.151775,,24.701654,,44.104904
32,2011-11-01,,22.863214000000003,24.140698999999998,25.330414,,,,,,37.885571,,24.967882,23.872557,24.1766,,25.440769,,,,33.785999,,25.108717000000002,,44.606976
33,2011-12-01,,23.205769,23.88649,25.272095,,,,,,38.369389,,24.519861,24.028973,21.969,,25.143648000000002,,,,34.232079,,24.800938000000002,,43.670421999999995
34,2012-01-01,,21.753906,24.553852,25.558372,,,,,,39.159283,,25.760912,24.742603,23.09,,25.920451999999997,,,,33.928989,,25.610001,,42.840076
