Name,Weight
Target Maturity Date Corporate Bond ETF List (24),0.2
Junk ETF List (43),0.2
Developed Asia Pacific ETF List (108),0.2
Preferred Stock ETF List (12),0.2
Consumer Staples Equity ETF List (26),0.2
