Alternatives ETF List (35),Healthcare Equity ETF List (49),Developed Markets ETF List 1 (100),Target Maturity Date Corporate Bond ETF List (24),Global ETF List (72),Municipal Bond ETF List (29),Junk ETF List (43),Commodity ETF List (125),Volatility ETF List (18),Currency ETF List (36),Developed Markets ETF List 2 (100),Industrials Equity ETF List (37),Financials Equity ETF List (51),Broad Asia ETF List (44),Preferred Stock ETF List (12),Emerging Asia Pacific ETF List (114),Energy Equity ETF List (80),Emerging Markets ETF List (79),Telecom Equity ETF List (10),Technology Equity ETF List (75),Consumer Staples Equity ETF List (26),Developed Asia Pacific ETF List (108),Materials Equity ETF List (62),Real Estate ETF List (48),Utilities Equity ETF List (24),Consumer Discretionary Equity ETF List (31),Total Bond Market ETF List (82),Developed Markets ETF List 3 (93),Treasuries ETF List (51),Gold ETF List (17),Crude Oil ETF List (22),Investment Grade Corporate ETF List (50)
-0.005507649350658917,0.042022398028767484,-0.0389467501638489,-0.017747016384843207,0.004051661991159345,-0.004274907394580897,-0.010250123492479533,0.035217800567096336,-0.16771334942823973,0.00614427538561972,-0.03337987642863592,-0.03138009152605332,-0.0037670065282269473,-0.04519807401856001,-0.015912453826374674,-0.13646847778269228,-0.084082691118557,-0.031728143177591005,-0.025441569302149674,-0.03610254677305078,-0.011942240084400882,-0.04420364206596751,0.0405917248705041,-0.04974305451656932,-0.05735304465208059,0.006145170258822509,-0.0008567088625661709,0.03679573304902561,0.007119623988930091,-0.004552081240215568,0.008575703479776436,-0.013920790224740192
-0.007490227182483355,0.03244494693941004,0.01876751088063624,0.007537625530760384,0.10790986602732847,0.00516022740714227,-0.020179876088335318,0.03592771453199682,-0.19053840247718395,-0.024656357531824602,0.003783762265937591,0.005207353473264913,0.03389515738023642,-0.0073366192995041,0.015667018601267978,-0.1458855111837818,-0.15312779741888155,-0.06117922343094835,0.00806908119450447,0.013940866356238216,0.025172404236192564,0.009379283027778209,0.12848521114104802,0.044081016230506774,0.5011078394127908,0.031230172891685275,0.0016124475952076288,0.09080080666960855,-0.008473179087747092,-0.008064544810241828,0.09444025728815364,0.009998581410879396
-0.012936643295144434,-0.010292471557950045,-0.064327779613551,-0.0028524572964770574,-0.07941313469362263,-0.0007286128531254656,-0.025718645372220916,-0.047093592072494556,0.6260085533316567,-0.0127194484682577,-0.03751502479230144,-0.05923471707494117,-0.04275582718598779,-0.07796606384394614,-0.0042660785530379735,-0.26864366874048085,-0.05861457740075184,-0.09722013757646661,-0.03572812718208366,-0.051563054559519116,-0.052825513290618166,-0.06536895976374689,-0.1791036232532231,-0.048553946466809994,-0.045852782442659064,-0.06285512049377182,-0.001089514001472037,-0.06804203414681961,0.0016504177012573319,0.0033301137470283975,-0.02582412603974183,-0.004241547088534925
0.002881560753886562,-0.26799428995755264,-0.030945916122552913,0.013355288024427347,-0.028336730019098526,0.006571153782705147,-0.03674109126257456,0.11372235719797419,88.46748224743905,0.0010466676384980975,-0.028168264401954336,-0.04315225505244188,-0.018361326579613393,-0.0335681054604068,-0.005930247262097897,-0.01623342172590771,-0.14439061676955714,-0.041116869961873526,-0.05111182153554551,-0.01043353951248983,-0.004182941487976372,-0.05039566296730754,0.14281927913870507,-0.005999909742612509,-0.13366176558867043,-0.028604125147116615,-2.8978901024428407e-05,-0.010390466229404314,-0.003385361444934536,0.0025036683431199306,0.18247567654681487,0.0012841911403323036
0.009947088724592112,0.05584876293368751,0.06444031320024887,0.004684184890336129,0.03184346018565033,0.0034694893441793986,0.021765814341995957,-0.08922731942059683,-0.4194604366237396,0.005706888875795663,0.04806642111567385,0.08060623705062286,0.05505956507870056,0.07233674626006761,0.022090566912849042,0.13246928986629114,-0.08656769511395716,0.10263576338382807,0.0993913330430031,0.08731275774294928,0.0577157686856446,0.07434627301418548,-0.07247572253889713,0.06582597774273563,0.055302143942332925,0.0766822255414262,0.00046708985619103513,-0.0021226546997261896,-0.0005943672052565023,0.0029281725756091772,-0.01368902030830579,0.006314436969016436
-0.00885444280282064,0.11355308481305246,-0.0007491789787137326,0.0033046972557151956,0.04087246468307868,0.00214461992550013,-0.019201931994834342,-0.1695226272734339,99.07394228262312,-0.005213613783989393,-0.009427768371066195,0.008329356347035135,0.008848373952591027,-0.007924602324264451,0.00595541887438996,-0.023988981138303934,-0.07130037062567997,-0.0010784787297339143,-0.006678649871251455,0.00333996349898317,-0.005169867804009456,-0.00970163589586923,-0.0004588768624630535,-0.014647654603730164,-0.024125948476249097,-0.009192649567261109,4.339056028001371e-05,0.026582906644613526,-0.0006356892255590283,-0.014327961869196198,-0.07595365461218524,-0.0036593453115474164
-0.016475132658888135,-0.04278228562389549,-0.02752883990326225,-0.008981209375776173,-0.026707775644844063,0.0026492260299885565,-0.042841673976173014,0.09523654875777349,0.0014202850779381868,-0.016142840741289764,-0.019343316716662562,-0.04540424888196395,-0.020863467430596475,-0.028968043307051446,-0.0037083138739866656,-0.026914768167546954,-0.04418867831352731,-0.04091174046159468,-0.021281477617590326,-0.02858308523176727,-0.024816893726334603,-0.026180240024748065,-0.04018480898398055,-0.004594889995335813,-0.0066633820837422005,-0.03493693045399403,-0.001409862833454284,-0.03510544551961175,-0.001999194833718905,-0.005177971012670521,0.06672157758867417,-0.007462081733528389
-0.00957529210573214,-0.34039043112108186,-0.03565582117914756,0.011545184389997881,-0.07677304092106653,0.00997339441013154,-0.025066160197937802,-0.05196458482314507,0.11631196003234437,-0.00846057982641978,-0.021386538935871374,-0.04727212171857483,-0.0399070824832606,-0.04769017622467262,0.00546025056159562,-0.21915393040282122,-0.1513393345917077,-0.07224649797651019,-0.01225661539442181,-0.05244467833986214,-0.014194232895474982,-0.04275896407293711,-0.06025063056481998,-0.03388794186261455,0.02583317007443328,-0.051046541865828264,0.002112633859628224,-0.0563426093316714,-0.004248621633018638,0.011544464829282274,0.05020034484207969,0.0036755204361548196
-0.008655479617676048,-0.09615665327918402,-0.018768229085512917,0.009045279652009925,-0.11103072237509592,0.0017219728894549296,-0.003149292171892386,-0.08359503271770466,-0.0023195138711551767,0.008165759112148414,-0.0033469031541378085,0.010762871033870667,-0.0025675805849512943,-0.00944799622902256,-0.0011790774870569158,-0.07270908138923583,-0.1595180635152326,0.0046445122942318,0.04924708029416598,-0.0032219345346238258,0.003345757645454338,-0.03339591326627141,0.08014374186817816,0.0023774018320415133,0.015768241403031506,0.011479994488446351,-0.0005533836383878863,-0.09783308216405878,-0.006111851140460486,0.02759269410472459,-0.011209005713813855,0.004441275238191685
0.026869018969220487,0.06508049332990277,0.06393793759067713,0.02447968077964574,0.034325792452478396,0.0024700439306318536,0.03289522561349371,-0.04569527913083643,-0.15518588856653306,0.02943829111678023,0.04425272584256079,0.07275246686188148,0.05475523121002559,0.0895212328404756,0.021737281416664804,0.26283300058845427,0.22034878177279799,0.10680347108953332,0.047565178355729563,0.08685721247728206,0.046657383875963056,0.0670565955619162,-0.0188427126542905,0.08426765562043727,0.07713630877713588,0.06488393707169356,0.003141551541615311,0.04451606195077952,0.0007699837742278064,-0.0014112130373078332,-0.03997329369913464,0.025531620741542638
