Name,Riskiness R
AGG,[0.03251998]
AGND,[4.23059379e+11]
AGZD,[1.01979366e+10]
BIV,[0.04716166]
BLV,[0.12618964]
BND,[0.0387947]
BNDX,[0.01714929]
BOND,[0.03128955]
BSV,[0.0156393]
BYLD,[0.0235147]
FTSD,[0.02192894]
FWDB,[0.05222248]
GBF,[0.04140964]
GVI,[0.02398158]
HOLD,[0.01043063]
ILTB,[0.09549768]
ISTB,[0.00796928]
IUSB,[0.02186508]
LDUR,[0.01419794]
MINC,[0.00920094]
MINT,[0.00143455]
NEAR,[0.00236966]
RAVI,[0.00551399]
SAGG,[9.81863509e+11]
SCHZ,[0.02855027]
SPAB,[0.02924263]
ULST,[0.00692224]
XMPT,[0.0490689]
