,Date,AIRR,CGW,CHII,EDOM,EVX,EXI,FIDU,FIW,FXR,IEV,ITA,IYJ,IYT,JETS,PHO,PIO,PPA,PSCI,RGI,SEA,SIJ,UXI,VIS,XAR,XLI,XTN,_PRN
637,2017-05-22,22.917095,31.469133000000003,13.012144000000001,26.015707,,81.573174,33.135674,41.668144,34.547996999999995,42.888816999999996,154.605774,127.01673899999999,162.29512,30.292097,26.625291999999998,23.263634,45.446751,54.477177000000005,103.279282,10.901499000000001,22.06024,55.924023,122.57389099999999,69.236526,64.802277,51.891739,52.627743
638,2017-05-29,23.344611999999998,31.834719,13.012144000000001,26.392082000000002,,83.243286,33.589317,42.566887,34.981196999999995,43.513412,156.509247,128.763779,165.038422,30.654116,27.180811,23.768728,45.919334,56.391079000000005,104.748863,10.929475,21.504013,57.739543999999995,124.30313100000001,70.101738,65.571327,52.86803100000001,53.648384
639,2017-06-05,24.000807000000002,31.565341999999998,13.193133,26.054264,,82.553871,33.492805,42.734787,34.774445,42.803641999999996,155.076721,128.266006,164.960037,30.791094,26.863371,23.215065,45.436904999999996,56.746239,104.340111,10.677686,21.464287,56.876427,123.907051,69.590469,65.282928,53.400562,53.519569
640,2017-06-12,23.513634,31.825102,12.802577000000001,26.024889,,83.486038,33.869236,42.813793,34.843361,42.803641999999996,155.42013500000002,129.89592,166.361084,30.360585999999998,27.012171000000002,23.234491000000002,45.348293,55.868214,104.89484399999999,10.64971,21.225904,58.70186999999999,125.491386,69.089043,66.02314,53.321663,53.34120600000001
641,2017-06-19,23.24519,31.507616,13.126453,25.88719,,82.223747,33.588245,42.152081,34.498764,41.857288,154.703857,128.832092,166.20431499999998,30.595409000000004,26.830253999999996,23.310825,45.38987,55.597823999999996,104.198639,10.724314999999999,21.345095,57.372478,124.100273,68.744644,65.688499,53.36578000000001,53.570251
642,2017-06-26,23.593689,31.382547,13.326492000000002,25.777029000000002,,82.99424,33.704498,42.383415,34.8657,42.717777000000005,154.38990800000002,128.344101,168.585098,30.840015,26.810373,23.1644,45.310909,56.043636,105.52626000000001,11.022730000000001,21.355028,57.82872,124.051956,69.31572,65.785072,54.729068999999996,53.10355799999999
643,2017-07-03,23.61359,31.199757,13.28839,26.398863000000002,,83.033447,33.849823,42.393326,35.378437,42.669585999999995,157.79136699999998,129.53921499999998,171.56173700000002,31.867363,26.770611,22.998451,46.080734,56.182339,106.190079,11.151472,20.957724,58.066864,125.288948,70.743385,66.316315,55.608288,53.689406999999996
644,2017-07-10,23.812610999999997,31.959787,13.907563,27.061798,,84.33728,34.227657,43.027096,35.71368,43.643074,160.348602,131.28298999999998,172.37741100000002,31.926071000000004,27.13842,23.496296,46.791336,56.479538,107.13698600000001,11.61454,20.878263,59.624706,126.65682199999999,71.964287,67.060028,56.586296,55.11926999999999
645,2017-07-17,23.772806,32.31575,13.993294,27.124357,,83.60204300000001,34.053272,43.561836,35.388294,43.604523,161.322327,130.802979,167.571686,30.742174,27.436646000000003,23.506058,47.126903999999996,56.677689,106.25841499999999,11.595641,20.530626,59.09881600000001,125.78373700000002,72.48613,66.43222,55.588524,55.397305
646,2017-07-24,23.693197,31.940546,13.983768,27.488506,,83.435379,33.878887,43.126121999999995,34.954440999999996,43.749096,162.945206,130.401306,163.178726,29.646335999999998,27.088717,23.242491,47.383507,55.91484499999999,105.55554199999999,11.784649,20.947792,58.364540000000005,124.959122,72.27936600000001,66.065186,54.55124300000001,55.56610500000001
