,Date,BIL,DFVL,DFVS,DLBL,DLBS,DTUL,DTUS,DTYL,DTYS,EDV,FLAT,GOVT,IEF,IEI,ITE,PLW,PST,RISE,SCHO,SCHR,SHV,SHY,SPTL,SPTS,STPP,TAPR,TBF,TBT,TBX,TLH,TLT,TMF,TMV,TTT,TUZ,TYBS,TYD,TYNS,TYO,UBT,UST,VGIT,VGLT,VGSH,ZROZ
0,2005-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2005-04-01,,,,,,,,,,,,,57.26106600000001,,,,,,,,,63.390533,,,,,,,,,56.799213,,,,,,,,,,,,,,
2,2005-05-01,,,,,,,,,,,,,58.326042,,,,,,,,,63.64173100000001,,,,,,,,,58.58865,,,,,,,,,,,,,,
3,2005-06-01,,,,,,,,,,,,,58.609818000000004,,,,,,,,,63.798992000000005,,,,,,,,,59.850697,,,,,,,,,,,,,,
4,2005-07-01,,,,,,,,,,,,,57.328357999999994,,,,,,,,,63.562813,,,,,,,,,57.841213,,,,,,,,,,,,,,
5,2005-08-01,,,,,,,,,,,,,58.465835999999996,,,,,,,,,63.98487900000001,,,,,,,,,59.835751,,,,,,,,,,,,,,
6,2005-09-01,,,,,,,,,,,,,57.442413,,,,,,,,,63.75694300000001,,,,,,,,,57.687012,,,,,,,,,,,,,,
7,2005-10-01,,,,,,,,,,,,,56.724678000000004,,,,,,,,,63.698799,,,,,,,,,56.369026,,,,,,,,,,,,,,
8,2005-11-01,,,,,,,,,,,,,57.06889,,,,,,,,,63.947849,,,,,,,,,56.729881000000006,,,,,,,,,,,,,,
9,2005-12-01,,,,,,,,,,,,,57.652046,,,,,,,,,63.973521999999996,,,,,,,,,58.18481800000001,,,,,,,,,,,,,,
10,2006-01-01,,,,,,,,,,,,,57.641318999999996,,,,,,,,,64.469414,,,,,,,,,57.895466000000006,,,,,,,,,,,,,,
11,2006-02-01,,,,,,,,,,,,,57.399174,,,,,,,,,64.29291500000001,,,,,,,,,58.329674,,,,,,,,,,,,,,
12,2006-03-01,,,,,,,,,,,,,56.616955000000004,,,,,,,,,64.378433,,,,,,,,,55.666157,,,,,,,,,,,,,,
13,2006-04-01,,,,,,,,,,,,,56.26360699999999,,,,,,,,,64.53070799999999,,,,,,,,,54.11920500000001,,,,,,,,,,,,,,
14,2006-05-01,,,,,,,,,,,,,56.17811999999999,,,,,,,,,64.640663,,,,,,,,,54.00798399999999,,,,,,,,,,,,,,
15,2006-06-01,,,,,,,,,,,,,56.30616,,,,,,,,,64.78913100000001,,,,,,,,,54.641842000000004,,,,,,,,,,,,,,
16,2006-07-01,,,,,,,,,,,,,57.237407999999995,,,,,,,,,65.211433,,,,,,,,,55.82893000000001,,,,,,,,,,,,,,
