,Date,DGL,DGLD,DGP,DGZ,DZZ,GLD,GLL,IAU,OUNZ,SGOL,UBG,UGL,UGLD
0,2005-03-07,,,,,,44.43,,4.45,,,,,
1,2005-03-14,,,,,,43.889998999999996,,4.395,,,,,
2,2005-03-21,,,,,,42.389998999999996,,4.247,,,,,
3,2005-03-28,,,,,,42.619999,,4.263,,,,,
4,2005-04-04,,,,,,42.689999,,4.268,,,,,
5,2005-04-11,,,,,,42.400002,,4.247,,,,,
6,2005-04-18,,,,,,43.389998999999996,,4.347,,,,,
7,2005-04-25,,,,,,43.349998,,4.343,,,,,
8,2005-05-02,,,,,,42.52,,4.259,,,,,
9,2005-05-09,,,,,,41.950001,,4.194,,,,,
10,2005-05-16,,,,,,41.650002,,4.17,,,,,
11,2005-05-23,,,,,,41.880001,,4.197,,,,,
12,2005-05-30,,,,,,42.169998,,4.225,,,,,
13,2005-06-06,,,,,,42.619999,,4.27,,,,,
14,2005-06-13,,,,,,43.630001,,4.371,,,,,
15,2005-06-20,,,,,,43.900002,,4.391,,,,,
16,2005-06-27,,,,,,42.700001,,4.274,,,,,
17,2005-07-04,,,,,,42.259997999999996,,4.231,,,,,
18,2005-07-11,,,,,,42.049999,,4.207,,,,,
19,2005-07-18,,,,,,42.450001,,4.248,,,,,
20,2005-07-25,,,,,,42.82,,4.289,,,,,
21,2005-08-01,,,,,,43.599998,,4.365,,,,,
22,2005-08-08,,,,,,44.490002000000004,,4.452,,,,,
23,2005-08-15,,,,,,43.599998,,4.369,,,,,
24,2005-08-22,,,,,,43.610001000000004,,4.366,,,,,
25,2005-08-29,,,,,,44.25,,4.427,,,,,
26,2005-09-05,,,,,,44.84,,4.489,,,,,
27,2005-09-12,,,,,,45.82,,4.587,,,,,
28,2005-09-19,,,,,,46.279999,,4.628,,,,,
29,2005-09-26,,,,,,46.700001,,4.68,,,,,
30,2005-10-03,,,,,,47.360001000000004,,4.752,,,,,
31,2005-10-10,,,,,,46.799999,,4.683,,,,,
32,2005-10-17,,,,,,46.52,,4.656,,,,,
33,2005-10-24,,,,,,47.220001,,4.725,,,,,
34,2005-10-31,,,,,,45.509997999999996,,4.558,,,,,
35,2005-11-07,,,,,,46.799999,,4.674,,,,,
36,2005-11-14,,,,,,48.459998999999996,,4.849,,,,,
37,2005-11-21,,,,,,49.419998,,4.953,,,,,
38,2005-11-28,,,,,,50.32,,5.033,,,,,
39,2005-12-05,,,,,,52.400002,,5.238,,,,,
40,2005-12-12,,,,,,50.09,,5.018,,,,,
41,2005-12-19,,,,,,50.119999,,5.018,,,,,
42,2005-12-26,,,,,,51.580002,,5.173,,,,,
43,2006-01-02,,,,,,53.720001,,5.382,,,,,
44,2006-01-09,,,,,,55.439999,,5.554,,,,,
45,2006-01-16,,,,,,55.200001,,5.523,,,,,
46,2006-01-23,,,,,,55.630001,,5.571,,,,,
47,2006-01-30,,,,,,56.5,,5.658,,,,,
48,2006-02-06,,,,,,54.790001000000004,,5.488,,,,,
49,2006-02-13,,,,,,54.959998999999996,,5.504,,,,,
50,2006-02-20,,,,,,55.639998999999996,,5.575,,,,,
51,2006-02-27,,,,,,56.279999,,5.64,,,,,
52,2006-03-06,,,,,,53.830002,,5.39,,,,,
53,2006-03-13,,,,,,55.119999,,5.52,,,,,
54,2006-03-20,,,,,,55.709998999999996,,5.577,,,,,
55,2006-03-27,,,,,,58.099998,,5.823,,,,,
56,2006-04-03,,,,,,58.59,,5.872,,,,,
57,2006-04-10,,,,,,59.5,,5.968,,,,,
58,2006-04-17,,,,,,63.200001,,6.332,,,,,
59,2006-04-24,,,,,,65.089996,,6.518,,,,,
60,2006-05-01,,,,,,67.989998,,6.805,,,,,
61,2006-05-08,,,,,,71.120003,,7.122,,,,,
62,2006-05-15,,,,,,65.58000200000001,,6.57,,,,,
63,2006-05-22,,,,,,65.099998,,6.51,,,,,
64,2006-05-29,,,,,,63.5,,6.36,,,,,
65,2006-06-05,,,,,,60.450001,,6.028,,,,,
66,2006-06-12,,,,,,57.68,,5.769,,,,,
67,2006-06-19,,,,,,57.990002000000004,,5.81,,,,,
68,2006-06-26,,,,,,61.23,,6.123,,,,,
69,2006-07-03,,,,,,62.630001,,6.27,,,,,
70,2006-07-10,,,,,,65.849998,,6.608,,,,,
71,2006-07-17,,,,,,61.709998999999996,,6.185,,,,,
72,2006-07-24,,,,,,63.110001000000004,,6.315,,,,,
73,2006-07-31,,,,,,64.279999,,6.436,,,,,
74,2006-08-07,,,,,,62.709998999999996,,6.28,,,,,
75,2006-08-14,,,,,,61.040001000000004,,6.11,,,,,
76,2006-08-21,,,,,,61.77,,6.175,,,,,
77,2006-08-28,,,,,,62.139998999999996,,6.228,,,,,
78,2006-09-04,,,,,,60.639998999999996,,6.068,,,,,
79,2006-09-11,,,,,,57.400002,,5.744,,,,,
80,2006-09-18,,,,,,58.5,,5.856,,,,,
81,2006-09-25,,,,,,59.470001,,5.952,,,,,
82,2006-10-02,,,,,,56.990002000000004,,5.685,,,,,
83,2006-10-09,,,,,,58.57,,5.86,,,,,
84,2006-10-16,,,,,,58.779999,,5.871,,,,,
85,2006-10-23,,,,,,59.400002,,5.945,,,,,
86,2006-10-30,,,,,,62.299999,,6.239,,,,,
87,2006-11-06,,,,,,62.490002000000004,,6.248,,,,,
88,2006-11-13,,,,,,61.779999,,6.177,,,,,
89,2006-11-20,,,,,,63.5,,6.349,,,,,
90,2006-11-27,,,,,,64.120003,,6.415,,,,,
91,2006-12-04,,,,,,62.049999,,6.207,,,,,
92,2006-12-11,,,,,,61.0,,6.111,,,,,
93,2006-12-18,,,,,,61.650002,,6.159,,,,,
94,2006-12-25,,,,,,63.209998999999996,,6.325,,,,,
95,2007-01-01,22.918194,,,,,60.169998,,6.021,,,,,
96,2007-01-08,23.697333999999998,,,,,62.169998,,6.22,,,,,
97,2007-01-15,23.944382,,,,,63.0,,6.312,,,,,
98,2007-01-22,24.33395,,,,,64.16999799999999,,6.418,,,,,
99,2007-01-29,24.409966,,,,,64.279999,,6.435,,,,,
100,2007-02-05,25.113094,,,,,66.120003,,6.62,,,,,
101,2007-02-12,25.179605,,,,,66.360001,,6.642,,,,,
102,2007-02-19,25.711702,,,,,67.720001,,6.778,,,,,
103,2007-02-26,24.162917999999998,,,,,63.709998999999996,,6.369,,,,,
104,2007-03-05,24.362454999999997,,,,,64.25,,6.445,,,,,
105,2007-03-12,24.504984,,,,,64.620003,,6.47,,,,,
106,2007-03-19,24.695017,,,,,65.150002,,6.523,,,,,
107,2007-03-26,24.932562,,,,,65.739998,,6.583,,,,,
108,2007-04-02,25.331630999999998,,,,,66.860001,,6.695,,,,,
109,2007-04-09,25.730705,,,,,67.839996,,6.791,,,,,
110,2007-04-16,25.977751,,,,,68.699997,,6.867,,,,,
111,2007-04-23,25.616685999999998,,,,,67.559998,,6.76,,,,,
112,2007-04-30,25.92074,,,,,68.190002,,6.826,,,,,
113,2007-05-07,25.322132,,,,,66.449997,,6.655,,,,,
114,2007-05-14,24.904055,,,,,65.519997,,6.56,,,,,
115,2007-05-21,24.657010999999997,,,,,64.940002,,6.499,,,,,
116,2007-05-28,25.236616,,,,,66.440002,,6.656,,,,,
117,2007-06-04,24.447971,,,,,64.220001,,6.424,,,,,
118,2007-06-11,24.647507,,,,,64.849998,,6.493,,,,,
119,2007-06-18,24.590498,,,,,64.779999,,6.49,,,,,
120,2007-06-25,24.476475,,,,,64.269997,,6.441,,,,,
