Name,Riskiness R
DBJP,[0.24335865]
DBKO,[0.21187047]
DFJ,[0.05786487]
DIM,[0.34772671]
DLS,[1.83915892]
DOL,[1.67439391e+12]
DOO,[1.99714669e+12]
DTH,[2.68213979e+12]
DVYA,[6.02687353e+12]
DWM,[5.27394393e+11]
DXJ,[1.16030962]
DXJF,[0.82212354]
DXJS,[0.11912332]
ENZL,[0.32129813]
EPP,[2.03076415e+12]
EWA,[2.3519629e+12]
EWJ,[0.1802162]
EWS,[1.44417057e+13]
EWT,[0.80629527]
EWV,[4.4777986e+13]
EWY,[0.71109328]
FAUS,[0.86889971]
FDT,[0.47632111]
FDTS,[0.97132972]
FHK,[0.90913573]
FJP,[0.19905853]
FKO,[3.29016737]
FNDC,[0.15468097]
FNDF,[2.09217005e+12]
FPA,[0.28942095]
GWX,[0.65506331]
HEWJ,[0.21594353]
IDHQ,[0.19136229]
IDOG,[6.66112012e+12]
JPN,[1.90071118e+13]
JPNL,[0.57630724]
JPXN,[0.1303412]
PAF,[3.90593862]
PDN,[0.76466523]
PXF,[5.82939366e+11]
SCJ,[0.06245808]
VPL,[0.25744434]
