Name,Riskiness R
FPE,[6.99541627e+11]
IPFF,[5.23838353e+11]
PFF,[3.85628153e+12]
PFXF,[4.0328223e+11]
PGF,[2.05710824e+12]
PGX,[4.77069573e+11]
PSK,[2.70055303e+12]
SPFF,[3.06123761e+12]
