CBND,CORP,GSY,ICSH,IGIB,IGSB,LQD,LQDH,PFIG,QLTA,SLQD,SPLB,USIG,VCLT,VCSH
-0.00926877745376626,-0.01578361617224598,-0.0004337097420225417,0.00010025526598040794,-0.007882555982466316,-0.0014501321577921461,-0.01675957280294151,-0.007238847562858672,-0.005857164941149383,-0.011930930727489457,-0.007307979314477932,-0.0264005728174007,-0.014115488072902704,-0.02959904658138318,-0.003105575804668098
0.003130286212795124,0.010924564795332228,0.0008666508351390115,0.000279665803161343,0.007515627077874938,0.002564878942593286,0.012316298387337991,-0.004550296603461821,0.0007855852625917464,0.009387122162125238,0.0037804020605014203,0.017661424005515597,0.012592183011428127,0.0229149252299623,0.004682571561805441
-0.0014909277382141293,0.003240291386047343,0.00027741622745478233,-0.0011194679553168402,0.004660084533602898,0.0008835777277196934,0.009143458577282972,-0.0037811138922239297,0.004317111459968582,0.0052695375217472525,-0.0015857680557826025,0.01016823579241437,0.005264849832869823,0.006108894335616279,0.002155349516973445
0.010179469487015107,0.0005241554920024995,-0.002982907919709013,-0.00122153757192165,-0.005904802556691579,-0.0020776171477921955,-0.0028634164189605877,-0.003872043959499865,-0.007424775302852726,0.00200974901889393,-0.0013897161284438435,0.004297070994175865,0.0020322800094713413,0.014142266554409097,-0.005308383442081462
0.03542353655503778,0.03294353120831834,0.005058122655058891,0.0017043483274337547,0.021790561700229926,0.00434150432541051,0.04324965753245856,0.0019057966121388847,0.017322834645669343,0.032197364186470595,0.009940358050504135,0.06886987533827096,0.03384701552463498,0.027571218948464475,0.014306971861937447
-0.016167375055765654,-0.01099094264502649,0.0014013105142242398,0.0014013219281732053,-0.005481956508158159,-0.0009482303739072383,-0.016869868482173308,0.006558794612672767,-0.00696594427244581,-0.012023030959014731,-0.003740118183860649,-0.0287016400579414,-0.013840540678742113,0.014847441966851218,-0.0034837334919777963
0.002916013788507765,0.0006268465520144288,0.0016422481729327831,-0.0010196764884244133,0.002062516497513658,0.002430508500109464,0.001971935376360613,-0.003283855946706145,0.0031176929072485697,0.001598281551172506,0.0025686820278861488,-0.003600927019020133,0.0030635006733283144,-0.013747067645408794,0.0029458063090527647
-0.004902867338761281,-0.0051028211316089,0.0009602970376850076,0.0019421615610484848,-0.0004525159030211378,0.0009880845924894082,-0.011886577528237305,-0.00251783161403868,-0.006604506604506533,-0.008249814191166164,-0.001182538384606237,-0.028076983428424032,-0.009147406086761718,-0.02065804114859324,0.0005514003525057672
-0.0163637346416159,-0.006017143276350836,0.0020995460446201525,0.00042050837245713636,-0.001919837117354153,0.000578397746200105,-0.011250946651165026,-0.0005484495230081784,-0.001564294094642224,-0.0071076730391755796,-0.0019731254932912265,-0.02545277786773715,-0.011840346755665558,-0.03125052473333178,0.0010483518441112866
-0.01426158234726507,-0.017414492819742042,0.00038088720627377546,-0.0016196559580330429,-0.008099244168239816,-0.0007780081609189847,-0.01886037969142124,-0.006796763372791663,-0.006658832484965361,-0.017946777392359618,-0.003361051666229744,-0.035496269034556695,-0.014926332241488663,-0.03209090517646601,-0.004703824169041702
