,Date,AGG,AGGY,AGND,AGZD,BIV,BLV,BND,BNDX,BOND,BSV,BYLD,FBND,FCOR,FIBR,FLTB,FTSD,FTSM,FWDB,GBF,GVI,HOLD,IAGG,ILTB,ISTB,IUSB,KCNY,LDUR,MINC,MINT,NEAR,NFLT,RAVI,SAGG,SCHZ,SPAB,TOTL,ULST,VBND,WYDE,XMPT
0,2005-03-07,63.483765000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2005-03-14,63.458645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2005-03-21,63.232925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2005-03-28,63.446064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2005-04-04,63.549209999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005-04-11,64.21615600000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2005-04-18,64.241364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2005-04-25,64.37975300000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2005-05-02,64.002274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2005-05-09,64.552719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2005-05-16,64.47068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2005-05-23,64.73577900000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2005-05-30,64.96305100000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2005-06-06,64.987297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2005-06-13,65.00625600000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2005-06-20,65.443329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2005-06-27,65.03795600000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2005-07-04,65.082893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2005-07-11,65.000282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2005-07-18,64.78424100000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2005-07-25,64.803322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
