Name,Riskiness R
BIL,[63340.72600359]
DFVL,[0.24407221]
DFVS,[2.0874531e+13]
DLBS,[6140.22095868]
DTUL,[0.60016471]
DTUS,[2.03744398e+13]
DTYL,[0.37159351]
DTYS,[1.9616579e+13]
EDV,[0.26083393]
FLAT,[4.8705193e+11]
GOVT,[1.10372454e+12]
IEI,[48098498.31212022]
ITE,[4.46263017e+12]
PLW,[0.16474217]
SCHO,[3.13922516e+12]
SCHR,[8.10960548e+11]
SHV,[2.44445786e+12]
SHY,[3.73927093e+12]
SPTL,[0.17858607]
SPTS,[3.4417391e+12]
STPP,[1.10020775e+13]
TBF,[7.53237988e+12]
TBX,[4.38114616e+12]
TLH,[0.15033049]
TMF,[0.45345322]
TMV,[720.80854803]
TTT,[6.33701363e+13]
TUZ,[3.79501796e+12]
TYBS,[3.63802355e+13]
TYD,[0.38306069]
TYNS,[4.67997254e+13]
TYO,[1.1930325e+13]
UBT,[0.31678533]
UST,[0.26719417]
VGIT,[1.07008345e+12]
VGLT,[0.16911842]
VGSH,[3.55364884e+12]
ZROZ,[0.24662431]
