,Date,ACWI,ACWV,ACWX,CGW,CRBN,CWI,DBEF,DIM,DLS,DOL,DTH,DWM,DWX,EFA,EFAV,EFG,EFV,EWS,EZU,FDT,FGD,FNDC,FNDF,GDX,GDXJ,GII,GNR,GSIE,GUNR,GWX,HDEF,HEFA,HEZU,HFXI,IDLV,IDOG,IDV,IEFA,IGF,IHDG,INTF,IOO,IQDF,IQLT,IVLU,IXC,IXG,IXJ,IXP,IXUS,JNUG,JPGE,JPIN,JXI,KXI,LIT,MOO,MXI,NFRA,NUGT,PDN,PICK,PID,PPH,PSP,PXF,QEFA,ROBO,RODM,RXI,SCHC,SCHF,SCZ,SDIV,SIL,SMH,SPDW,TAN,TLTD,URA,URTH,VEA,VEU,VSS,VT,VXUS,WDIV,WOOD,XT
0,2005-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2005-04-01,,,,,,,,,,,,,,34.404984000000006,,,,8.66019,22.854067,,,,,,,,,,,,,,,,,,,,,,,20.487499,,,,18.436386,43.729735999999995,19.385185,26.606924,,,,,,,,,,,,,,,23.682861,,,,,,,,,,,,22.579475,,,,,,,,,,,,,
2,2005-05-01,,,,,,,,,,,,,,34.107815,,,,8.755355999999999,22.955564000000003,,,,,,,,,,,,,,,,,,,,,,,20.679707,,,,18.777367,43.970772,19.385185,26.526131,,,,,,,,,,,,,,,23.537592,,,,,,,,,,,,25.214539000000002,,,,,,,,,,,,,
3,2005-06-01,,,,,,,,,,,,,,34.596484999999994,,,,9.005168,23.292811999999998,,,,,,,,,,,,,,,,,,,,,,,20.645388,,,,20.071720000000003,44.831593,19.162589999999998,26.698477,,,,,,,,,,,,,,,23.280023999999997,,,,,,,,,,,,24.711416,,,,,,,,,,,,,
4,2005-07-01,,,,,,,,,,,,,,35.633259,,,,9.647542999999999,24.353659,,,,,,,,,,,,,,,,,,,,,,,21.242607,,,,21.129473,45.899006,19.749792000000003,27.80262,,,,,,,,,,,,,,,23.163335999999997,,,,,,,,,,,,27.420429,,,,,,,,,,,,,
5,2005-08-01,,,,,,,,,,,,,,37.000217,,40.314308000000004,31.591831,9.31446,24.753115,,,,,,,,,,,,,,,,,,,,,,,21.393631,,,,22.460933999999998,45.933437,19.711409,27.953428000000002,,,,,,,,,,,,,,,22.803236,,,,,,,,,,,,27.145884000000002,,,,,,,,,,,,,
6,2005-09-01,,,,,,,,,,,,,,38.367172,,41.610817,32.792965,9.492899000000001,25.185308,,,,,,,,,,,,,,,,,,,,,,,21.805508,,,,23.616112,47.310749,19.903299,27.872637,,,,,,,,,,,,,,9.641667,22.471382000000002,,,,,,,,,,,,27.156397,,,,,,,,,,,,,
7,2005-10-01,,,,,,,,,,,,,,37.1455,,40.628845,31.905696999999996,9.112231,24.235788,,,,,,,,,,,,,,,,,,,,,,,21.252905,,,,21.451898999999997,47.847912,19.57708,27.571015999999997,,,,,,,,,,,,,,9.167176,21.505781,,,,,,,,,,,,24.664894,,,,,,,,,,,,,
8,2005-11-01,,,,,,,,,,,,,,38.003966999999996,,41.219555,32.702431,9.338252,24.681074,,,,,,,,,,,,,,,,,,,,,,,21.743721,,,,21.720972,49.845024,19.638493,27.000093,,,,,,,,,,,,,,9.534118,21.175341,,,,,,,,,,,,27.497628999999996,,,,,,,,,,,,,
9,2005-12-01,,,,,,,,,,,,,,39.245464,,43.421307,33.99411,9.397730000000001,25.424328,,,,,,,,,,,,,,,,,,,,,,,21.606432,,,,21.716341,50.636974,20.033785,26.208361,,,,,,,,,,,,,,9.730236999999999,22.417887,,,,,,,,,,,,26.986626,,,,,,,,,,,,,
