Name,Riskiness R
CARZ,985795316024.406
CROP,185628016871.22833
DPK,9830595994033.18
DZK,1.2734024628122107
EFO,2.6391129229590486
EFU,4102331985750.1055
FDTS,1.5273720277204133
FLM,101248907074.70145
FPXI,0.00016707484948093857
FTAG,7005728415166.887
FTRI,1131713883269.3696
GDXS,0.011036197561624056
HGI,672622905783.846
IDMO,568622009065.0969
IPO,344643617023.38074
PAGG,1274623936085.1934
PEX,25.225674424706053
ROGS,0.4288859788656279
SCID,127152812294.54138
SMCP,945718692052.2649
SOIL,2085734980552.166
YLCO,996829814277.706
