,0
0,1.0005120520833333
1,1.0010243663640026
2,1.0015369429762666
3,1.002049782054453
4,1.0025628837329577
5,1.0030762481462456
6,1.003589875428851
7,1.0041037657153766
8,1.004617919140494
9,1.005132335838944
10,1.005647015945536
11,1.0061619595951488
12,1.0066771669227301
13,1.007192638063297
14,1.0077083731519352
15,1.0082243723238
16,1.0087406357141158
17,1.0092571634581762
18,1.0097739556913439
19,1.0102910125490514
20,1.0108083341668
21,1.0113259206801606
22,1.0118437722247737
23,1.0123618889363493
24,1.0128802709506664
