,0
2017-01-02,0.0012750292176072135
2017-01-09,0.0016902162633386222
2017-01-16,-0.0005634231078684306
2017-01-23,3.5473693777393584e-05
2017-01-30,4.577897789004682e-05
2017-02-06,0.0029714397751223905
2017-02-13,-0.00016970477701014675
2017-02-20,0.0029082768228647087
2017-02-27,-0.0042829172412883944
2017-03-06,-0.0007888156985072684
2017-03-13,0.0016207978784949055
2017-03-20,0.0026926511344961407
2017-03-27,0.0012492562068902565
2017-04-03,2.7679804928681397e-06
2017-04-10,0.00345793610177868
2017-04-17,0.0006897849524541342
2017-04-24,-0.0014027305861627718
2017-05-01,-0.0012000241861833323
2017-05-08,0.0027373994406550543
2017-05-15,0.0017511758514800115
2017-05-22,0.0005134602941689939
2017-05-29,0.0006396631062354371
2017-06-05,0.00022323211456356796
2017-06-12,0.0005412147533501547
2017-06-19,0.000327412669395393
2017-06-26,-0.0013221082677315657
2017-07-03,-0.0014634595006506085
2017-07-10,0.003317267286438412
2017-07-17,0.0017436463241782987
2017-07-24,1.033828298574233e-05
2017-07-31,-0.0004546750628320544
2017-08-07,0.002432654614650502
2017-08-14,-0.00012073100087374794
2017-08-21,0.00045198646813378914
2017-08-28,-0.0005995957454421772
2017-09-04,0.0026373219961221732
2017-09-11,-0.0017939944492407318
2017-09-18,1.5999681360548868e-05
2017-09-25,-0.000500201926507193
2017-10-02,-0.001139208411587607
2017-10-09,0.002332411959432063
2017-10-16,-0.0005135888346632356
2017-10-23,-0.0005012493341219931
2017-10-30,-0.0005968455238258064
2017-11-06,0.0005935706674722822
2017-11-13,-0.00035298618313184884
2017-11-20,-0.0004332393564493022
2017-11-27,-0.0013262586011943084
2017-12-04,0.001301987993016741
2017-12-11,0.00038044842524130975
2017-12-18,-0.0016216263757068581
2017-12-25,0.0004159221078624988
2018-01-01,0.0007231285854736437
2018-01-08,0.00016385033881681312
2018-01-15,-0.0002897451066191546
2018-01-22,-0.0002946937335117207
2018-01-29,-0.0031682532148833123
2018-02-05,-0.002536954173574968
2018-02-12,0.0008887651837437502
2018-02-19,0.0008304341589488765
2018-02-26,-0.0017940785793636135
2018-03-05,0.0016799489949958267
2018-03-12,-0.00017301395915877307
2018-03-19,-0.002740820692717949
2018-03-26,0.0018694385478272315
2018-04-02,-0.000716606010834625
2018-04-09,0.0023230709956698083
2018-04-16,-0.0018482181431867658
2018-04-23,9.849473023334842e-05
2018-04-30,-0.0011232294207015121
2018-05-07,0.0024027175822604724
2018-05-14,0.0006541923329388338
2018-05-21,0.0016539984045298235
2018-05-28,-0.00022676148105170348
2018-06-04,0.0012521880481482738
2018-06-11,0.0005353504842255465
2018-06-18,-0.00030372800376026853
2018-06-25,-0.0006783230438218778
2018-07-02,-0.0005319351967050507
2018-07-09,0.002456451587250982
2018-07-16,0.0001542091828748949
2018-07-23,0.00037729001790985374
2018-07-30,-0.0008920834201762902
2018-08-06,0.002011714815555366
2018-08-13,0.0010271049000321526
2018-08-20,0.0007793479791657651
2018-08-27,0.0009817106304672203
2018-09-03,-0.0020475232480297026
2018-09-10,0.001698562287563698
2018-09-17,0.0007723514788898649
2018-09-24,0.000166004393598104
2018-10-01,-0.002996469700021296
2018-10-08,-0.000302460210161834
2018-10-15,0.0003189797234574563
2018-10-22,0.0003612376633810245
2018-10-29,4.446649998495844e-05
2018-11-05,0.0021349365249485664
2018-11-12,9.700583700588994e-05
2018-11-19,-0.0011588017582878684
2018-11-26,0.0005574215633973357
2018-12-03,-6.074571075427202e-05
2018-12-10,0.0018641859711049293
2018-12-17,-0.00034767255083684244
2018-12-24,0.0012260249722162396
2018-12-31,0.0011977557341694282
