,0
2017-01-01,0.017732153369726642
2017-02-01,0.029581625711933086
2017-03-01,0.0010384272616356374
2017-04-01,0.012895813615253382
2017-05-01,0.022509159592335744
2017-06-01,-0.01287414626112883
2017-07-01,0.0193628297216519
2017-08-01,-0.001486415446356014
2017-09-01,0.002613656202399139
2017-10-01,0.0030773727586827448
2017-11-01,0.005519154417367656
2017-12-01,0.0016198179634062371
2018-01-01,0.011133407866933717
2018-02-01,-0.03517090358874998
2018-03-01,-0.007619315637053947
2018-04-01,0.00044313294837216525
2018-05-01,0.022969555543157234
2018-06-01,-0.0037617488875691892
2018-07-01,0.011532027742279297
2018-08-01,0.018616117232010725
2018-09-01,0.0017856846169757323
2018-10-01,-0.06658526060457443
2018-11-01,0.000827032114559126
2018-12-01,-0.07098332487285744
2019-01-01,0.0428281219593449
